Time s, total number of superparticles-
10.004141, 10829.849
20.60349, 3995.1013
31.736023, 2911.6926
42.584393, 2432.8755
54.993843, 2065.8108
65.314285, 1844.8828
75.379776, 1772.9154
89.25104, 1572.5565
102.321465, 1533.4137
112.98028, 1450.1393
126.77251, 1375.8943
142.59341, 1282.2924
169.59946, 1214.6711
181.3832, 1166.5221
193.43687, 1111.5625
212.64473, 1097.5632
224.34773, 1120.0
241.98785, 981.0
260.51187, 1075.0
271.9116, 992.95
283.54352, 1014.3653
298.2867, 993.1757
309.19302, 991.0
320.75186, 921.0
332.57407, 957.0
347.3159, 873.0
363.04065, 916.0
384.21808, 848.9282
399.2076, 930.0
415.37927, 860.9402
430.5317, 830.6324
443.5159, 872.0
457.58667, 892.0
468.32144, 819.0
479.4181, 834.0
493.498, 867.0
508.62622, 814.0
528.36865, 769.0155
542.2951, 813.0
577.1393, 771.13556
606.07697, 763.4257
619.93677, 798.96075
632.38696, 788.0
645.91327, 810.0
745.91327, 794.0
766.0475, 737.4664
777.7898, 812.0
877.7898, 773.0
977.7898, 727.0
1077.7898, 771.0
