Energy (in eV), SEEE yield of material gr2k-NASCAP at incidence 90.0 degree
   X,       Y
0.0, 0.0
10.0, 0.0
20.0, 0.0
30.0, 0.0
40.0, 0.0
50.0, 0.0
60.0, 0.0
70.0, 0.0
80.0, 0.0
90.0, 0.42683157
100.0, 0.40183294
110.0, 0.3755734
120.0, 0.43265525
130.0, 0.47085607
140.0, 0.50937384
150.0, 0.5435349
160.0, 0.5801758
170.0, 0.6167273
180.0, 0.6529606
190.0, 0.6890949
200.0, 0.7252482
210.0, 0.76131034
220.0, 0.7972224
230.0, 0.8328417
240.0, 0.8680304
250.0, 0.90251446
260.0, 0.9359134
270.0, 0.96764344
280.0, 0.99688804
290.0, 1.0224864
300.0, 1.0428662
310.0, 1.0559599
320.0, 1.0591724
330.0, 1.0494561
340.0, 1.0235626
350.0, 0.9785723
360.0, 0.9127471
370.0, 0.8266137
380.0, 0.7239309
390.0, 0.61191136
400.0, 0.5000635
410.0, 0.39764366
420.0, 0.3108386
430.0, 0.24143732
440.0, 0.18774846
450.0, 0.14665617
460.0, 0.11516163
470.0, 0.09090083
480.0, 0.07210921
490.0, 0.0574761
500.0, 0.04602292
510.0, 0.037014544
520.0, 0.029895626
530.0, 0.024244316
540.0, 0.019738434
550.0, 0.01613075
560.0, 0.01323049
570.0, 0.010889825
580.0, 0.008993659
590.0, 0.0074519916
600.0, 0.00619413
610.0, 0.005164353
620.0, 0.0043185265
630.0, 0.0036215815
640.0, 0.0030455422
650.0, 0.0025680147
660.0, 0.0021710047
670.0, 0.0018400146
680.0, 0.0015633139
690.0, 0.0013313867
700.0, 0.0011364907
710.0, 9.723051E-4
720.0, 8.336554E-4
730.0, 7.1629626E-4
740.0, 6.1673025E-4
750.0, 5.320719E-4
760.0, 4.599332E-4
770.0, 3.9833307E-4
780.0, 3.4562394E-4
790.0, 3.0043194E-4
800.0, 2.6160997E-4
810.0, 2.2819651E-4
820.0, 1.9938474E-4
830.0, 1.7449594E-4
840.0, 1.5295802E-4
850.0, 1.342876E-4
860.0, 1.18075885E-4
870.0, 1.0397583E-4
880.0, 9.1692724E-5
890.0, 8.097561E-5
900.0, 7.1610506E-5
910.0, 6.341453E-5
920.0, 5.6231293E-5
930.0, 4.9926577E-5
940.0, 4.438517E-5
950.0, 3.9507962E-5
960.0, 3.5209574E-5
