Energy (in eV), SEEE yield of material ka2k-NASCAP at incidence 0.0 degree
   X,       Y
0.0, 0.0
10.0, 0.34473944
20.0, 0.64621043
30.0, 0.91242886
40.0, 1.1457858
50.0, 1.3479649
60.0, 1.5206678
70.0, 1.6657839
80.0, 1.7854003
90.0, 1.8817564
100.0, 1.9571792
110.0, 2.0140152
120.0, 2.0545707
130.0, 2.0810595
140.0, 2.0955627
150.0, 2.1
160.0, 2.0961115
170.0, 2.085449
180.0, 2.069375
190.0, 2.0490692
200.0, 2.025536
210.0, 1.9996223
220.0, 1.9720298
230.0, 1.9433322
240.0, 1.9139922
250.0, 1.8843776
260.0, 1.8547748
270.0, 1.8254037
280.0, 1.7964287
290.0, 1.7679704
300.0, 1.7401127
310.0, 1.7129129
320.0, 1.6864048
330.0, 1.6606071
340.0, 1.6355255
350.0, 1.6111553
360.0, 1.5874861
370.0, 1.5645038
380.0, 1.5421891
390.0, 1.5205222
400.0, 1.4994813
410.0, 1.4790447
420.0, 1.4591902
430.0, 1.4398962
440.0, 1.4211413
450.0, 1.4029047
460.0, 1.3851668
470.0, 1.3679082
480.0, 1.3511105
490.0, 1.334756
500.0, 1.3188279
510.0, 1.3033103
520.0, 1.2881874
530.0, 1.2734448
540.0, 1.2590685
550.0, 1.245045
560.0, 1.2313617
570.0, 1.2180064
580.0, 1.2049674
590.0, 1.1922334
600.0, 1.1797943
610.0, 1.1676395
620.0, 1.1557595
630.0, 1.1441451
640.0, 1.1327873
650.0, 1.1216775
660.0, 1.110808
670.0, 1.1001707
680.0, 1.0897582
690.0, 1.0795634
700.0, 1.0695795
710.0, 1.0597998
720.0, 1.0502181
730.0, 1.0408282
740.0, 1.0316247
750.0, 1.0226015
760.0, 1.0137537
770.0, 1.0050758
780.0, 0.99656314
790.0, 0.9882107
800.0, 0.98001415
810.0, 0.9719688
820.0, 0.96407074
830.0, 0.95631564
840.0, 0.9486997
850.0, 0.94121885
860.0, 0.93386984
870.0, 0.92664903
880.0, 0.9195528
890.0, 0.912578
900.0, 0.90572155
910.0, 0.8989802
920.0, 0.89235127
930.0, 0.8858316
940.0, 0.87941873
950.0, 0.8731097
960.0, 0.86690223
970.0, 0.86079353
980.0, 0.8547815
990.0, 0.8488635
1000.0, 0.8430375
1010.0, 0.83730125
1020.0, 0.8316526
1030.0, 0.8260895
