Energy (in eV), SEEE yield of material ka2k-NASCAP at isotropic incidence
   X,       Y
0.0, 0.0
10.0, 0.35732284
20.0, 0.68439835
30.0, 0.9859499
40.0, 1.2629287
50.0, 1.5157975
60.0, 1.7450384
70.0, 1.9512904
80.0, 2.1353803
90.0, 2.2983077
100.0, 2.441219
110.0, 2.56537
120.0, 2.6720898
130.0, 2.762744
140.0, 2.8387084
150.0, 2.9013386
160.0, 2.9519491
170.0, 2.991797
180.0, 3.0220687
190.0, 3.0438712
200.0, 3.0582266
210.0, 3.066072
220.0, 3.068257
230.0, 3.0655487
240.0, 3.0586329
250.0, 3.0481198
260.0, 3.0345504
270.0, 3.0183997
280.0, 3.0000868
290.0, 2.9799743
300.0, 2.9583807
310.0, 2.935581
320.0, 2.911812
330.0, 2.8872795
340.0, 2.8621602
350.0, 2.836605
360.0, 2.8107436
370.0, 2.7846868
380.0, 2.7585285
390.0, 2.7323492
400.0, 2.7062163
410.0, 2.6801875
420.0, 2.6543114
430.0, 2.6286278
440.0, 2.6031702
450.0, 2.5779674
460.0, 2.5530415
470.0, 2.5284119
480.0, 2.5040927
490.0, 2.4800963
500.0, 2.4564319
510.0, 2.433106
520.0, 2.410123
530.0, 2.3874867
540.0, 2.3651984
550.0, 2.3432584
560.0, 2.3216665
570.0, 2.30042
580.0, 2.2795172
590.0, 2.2589557
600.0, 2.238731
610.0, 2.2188396
620.0, 2.1992767
630.0, 2.1800387
640.0, 2.1611197
650.0, 2.1425147
660.0, 2.124219
670.0, 2.106227
680.0, 2.0885324
690.0, 2.0711315
700.0, 2.0540178
710.0, 2.0371857
720.0, 2.0206294
730.0, 2.0043445
740.0, 1.9883245
750.0, 1.972565
760.0, 1.95706
770.0, 1.9418046
780.0, 1.9267936
790.0, 1.9120219
800.0, 1.8974841
810.0, 1.8831756
820.0, 1.8690919
830.0, 1.8552281
840.0, 1.8415791
850.0, 1.8281407
860.0, 1.814909
870.0, 1.8018788
880.0, 1.7890463
890.0, 1.7764074
900.0, 1.7639577
910.0, 1.7516935
920.0, 1.7396107
930.0, 1.727706
940.0, 1.7159749
950.0, 1.7044147
960.0, 1.6930212
970.0, 1.6817912
980.0, 1.6707214
990.0, 1.6598083
1000.0, 1.649049
1010.0, 1.6384403
1020.0, 1.627979
1030.0, 1.6176623
1040.0, 1.6074873
