Energy (in eV), SEEE yield of material osr2k-NASCAP at incidence 0.0 degree
   X,       Y
0.0, 0.0
10.0, 0.14781672
20.0, 0.2920218
30.0, 0.43289283
40.0, 0.5704725
50.0, 0.7047425
60.0, 0.83566296
70.0, 0.96318394
80.0, 1.0872545
90.0, 1.2078255
100.0, 1.3248512
110.0, 1.4382919
120.0, 1.5481133
130.0, 1.6542886
140.0, 1.7567967
150.0, 1.8556248
160.0, 1.9507662
170.0, 2.0422218
180.0, 2.129999
190.0, 2.2141123
200.0, 2.2945817
210.0, 2.3714347
220.0, 2.4447048
230.0, 2.5144296
240.0, 2.580654
250.0, 2.643426
260.0, 2.7028012
270.0, 2.7588363
280.0, 2.8115947
290.0, 2.8611417
300.0, 2.907548
310.0, 2.9508848
320.0, 2.9912283
330.0, 3.0286562
340.0, 3.063248
350.0, 3.0950868
360.0, 3.1242535
370.0, 3.1508348
380.0, 3.1749146
390.0, 3.196579
400.0, 3.215915
410.0, 3.2330084
420.0, 3.2479455
430.0, 3.2608132
440.0, 3.2716963
450.0, 3.28068
460.0, 3.2878478
470.0, 3.2932827
480.0, 3.297067
490.0, 3.2992792
500.0, 3.2999997
510.0, 3.299305
520.0, 3.29727
530.0, 3.2939687
540.0, 3.2894723
550.0, 3.2838511
560.0, 3.2771723
570.0, 3.269501
580.0, 3.2609022
590.0, 3.251435
600.0, 3.2411597
610.0, 3.2301328
620.0, 3.21841
630.0, 3.2060423
640.0, 3.1930811
650.0, 3.1795743
660.0, 3.1655676
670.0, 3.151106
680.0, 3.13623
690.0, 3.1209815
700.0, 3.105396
710.0, 3.089511
720.0, 3.0733595
730.0, 3.0569746
740.0, 3.0403864
750.0, 3.0236232
760.0, 3.0067122
770.0, 2.9896789
780.0, 2.9725466
790.0, 2.9553373
800.0, 2.9380732
810.0, 2.9207726
820.0, 2.9034534
830.0, 2.886133
840.0, 2.8688264
850.0, 2.851548
860.0, 2.8343122
870.0, 2.8171296
880.0, 2.8000128
890.0, 2.7829714
900.0, 2.7660153
910.0, 2.749152
920.0, 2.7323904
930.0, 2.7157376
940.0, 2.699199
950.0, 2.682781
960.0, 2.6664884
970.0, 2.6503253
980.0, 2.6342964
990.0, 2.6184042
1000.0, 2.6026528
1010.0, 2.5870438
1020.0, 2.5715795
1030.0, 2.5562618
1040.0, 2.541092
