Energy (in eV), SEEE yield of material sc2k-NASCAP at incidence 90.0 degree
   X,       Y
0.0, 0.0
10.0, 0.121974505
20.0, 0.24331374
30.0, 0.3641809
40.0, 0.48460656
50.0, 0.6045924
60.0, 0.7241298
70.0, 0.84320426
80.0, 0.9618012
90.0, 1.0799023
100.0, 1.1974866
110.0, 1.3145356
120.0, 1.4310309
130.0, 1.5469522
140.0, 1.6622795
150.0, 1.7769945
160.0, 1.8910779
170.0, 2.0045114
180.0, 2.1172757
190.0, 2.2293541
200.0, 2.3407302
210.0, 2.4513855
220.0, 2.5613036
230.0, 2.6704702
240.0, 2.778867
250.0, 2.8864808
260.0, 2.9932945
270.0, 3.0992968
280.0, 3.2044709
290.0, 3.308806
300.0, 3.412286
310.0, 3.5149019
320.0, 3.6166394
330.0, 3.7174869
340.0, 3.8174334
350.0, 3.916469
360.0, 4.0145817
370.0, 4.1117625
380.0, 4.208001
390.0, 4.3032894
400.0, 4.3976164
410.0, 4.490978
420.0, 4.583361
430.0, 4.6747622
440.0, 4.765173
450.0, 4.854586
460.0, 4.942995
470.0, 5.030395
480.0, 5.1167803
490.0, 5.2021456
500.0, 5.2864847
510.0, 5.3697963
520.0, 5.452073
530.0, 5.533313
540.0, 5.613512
550.0, 5.692668
560.0, 5.7707767
570.0, 5.847838
580.0, 5.9238477
590.0, 5.9988065
600.0, 6.0727115
610.0, 6.1455617
620.0, 6.217357
630.0, 6.288098
640.0, 6.357781
650.0, 6.426411
660.0, 6.4939857
670.0, 6.5605063
680.0, 6.625973
690.0, 6.6903906
700.0, 6.7537565
710.0, 6.8160763
720.0, 6.8773494
730.0, 6.93758
740.0, 6.9967704
750.0, 7.0549235
760.0, 7.112042
770.0, 7.168129
780.0, 7.223191
790.0, 7.277228
800.0, 7.330247
810.0, 7.382251
820.0, 7.4332447
830.0, 7.483234
840.0, 7.532222
850.0, 7.5802145
860.0, 7.6272187
870.0, 7.673237
880.0, 7.718278
890.0, 7.762346
900.0, 7.805446
910.0, 7.8475866
920.0, 7.8887725
930.0, 7.9290113
940.0, 7.9683084
950.0, 8.006673
960.0, 8.044107
970.0, 8.080626
980.0, 8.116228
990.0, 8.150926
1000.0, 8.184726
1010.0, 8.217635
1020.0, 8.249661
1030.0, 8.280812
1040.0, 8.311095
1050.0, 8.34052
1060.0, 8.369094
