Energy (in eV), SEEE yield of material sc2k-NASCAP at isotropic incidence
   X,       Y
0.0, 0.0
10.0, 0.121718235
20.0, 0.24258956
30.0, 0.3628364
40.0, 0.48250794
50.0, 0.601591
60.0, 0.72007227
70.0, 0.8379606
80.0, 0.9552398
90.0, 1.0718417
100.0, 1.1877646
110.0, 1.3030183
120.0, 1.417539
130.0, 1.5313052
140.0, 1.644315
150.0, 1.756526
160.0, 1.8679197
170.0, 1.978484
180.0, 2.088186
190.0, 2.1970117
200.0, 2.3049417
210.0, 2.4119406
220.0, 2.5180147
230.0, 2.6231358
240.0, 2.727286
250.0, 2.8304422
260.0, 2.9326012
270.0, 3.0337358
280.0, 3.1338432
290.0, 3.2329023
300.0, 3.330902
310.0, 3.4278307
320.0, 3.5236762
330.0, 3.6184285
340.0, 3.7120736
350.0, 3.8046136
360.0, 3.8960254
370.0, 3.986306
380.0, 4.0754576
390.0, 4.1634555
400.0, 4.2503085
410.0, 4.336005
420.0, 4.4205427
430.0, 4.503908
440.0, 4.58611
450.0, 4.6671367
460.0, 4.7469897
470.0, 4.825664
480.0, 4.9031596
490.0, 4.9794774
500.0, 5.0546126
510.0, 5.128567
520.0, 5.201342
530.0, 5.272939
540.0, 5.343357
550.0, 5.4125996
560.0, 5.4806685
570.0, 5.5475674
580.0, 5.613298
590.0, 5.6778646
600.0, 5.7412715
610.0, 5.803522
620.0, 5.8646226
630.0, 5.9245777
640.0, 5.9833922
650.0, 6.041074
660.0, 6.0976253
670.0, 6.1530557
680.0, 6.207371
690.0, 6.2605786
700.0, 6.3126864
710.0, 6.363701
720.0, 6.4136305
730.0, 6.462483
740.0, 6.5102677
750.0, 6.556993
760.0, 6.602666
770.0, 6.6472993
780.0, 6.690899
790.0, 6.733475
800.0, 6.775038
810.0, 6.8155985
820.0, 6.855164
830.0, 6.8937473
840.0, 6.9313564
850.0, 6.9680033
860.0, 7.003697
870.0, 7.0384493
880.0, 7.072271
890.0, 7.1051717
900.0, 7.1371636
910.0, 7.168257
920.0, 7.198463
930.0, 7.227793
940.0, 7.256259
950.0, 7.2838707
960.0, 7.31064
970.0, 7.336578
980.0, 7.3616962
990.0, 7.386006
1000.0, 7.4095197
1010.0, 7.4322467
1020.0, 7.4541993
1030.0, 7.475391
1040.0, 7.495829
1050.0, 7.5155287
1060.0, 7.5344973
