Energy (in eV), SEEE yield of material te2k-NASCAP at incidence 90.0 degree
   X,       Y
0.0, 0.0
10.0, 0.21815382
20.0, 0.43204817
30.0, 0.6424041
40.0, 0.84911
50.0, 1.0519215
60.0, 1.2505581
70.0, 1.4447366
80.0, 1.634185
90.0, 1.818649
100.0, 1.9978945
110.0, 2.17171
120.0, 2.3399096
130.0, 2.5023289
140.0, 2.6588285
150.0, 2.809293
160.0, 2.9536314
170.0, 3.0917728
180.0, 3.223671
190.0, 3.3493004
200.0, 3.4686549
210.0, 3.581748
220.0, 3.6886134
230.0, 3.7892995
240.0, 3.8838727
250.0, 3.9724147
260.0, 4.0550203
270.0, 4.1317973
280.0, 4.2028666
290.0, 4.2683573
300.0, 4.328411
310.0, 4.3831754
320.0, 4.4328065
330.0, 4.4774666
340.0, 4.517324
350.0, 4.552549
360.0, 4.5833187
370.0, 4.60981
380.0, 4.6322017
390.0, 4.6506763
400.0, 4.665413
410.0, 4.676592
420.0, 4.6843915
430.0, 4.688989
440.0, 4.6905594
450.0, 4.6892743
460.0, 4.6853027
470.0, 4.678808
480.0, 4.669953
490.0, 4.6588917
500.0, 4.645777
510.0, 4.6307554
520.0, 4.6139693
530.0, 4.5955544
540.0, 4.575642
550.0, 4.5543594
560.0, 4.531825
570.0, 4.508155
580.0, 4.483459
590.0, 4.4578404
600.0, 4.4313984
610.0, 4.4042263
620.0, 4.3764114
630.0, 4.3480387
640.0, 4.319185
650.0, 4.2899237
660.0, 4.2603235
670.0, 4.2304497
680.0, 4.2003593
690.0, 4.1701117
700.0, 4.139754
710.0, 4.1093364
720.0, 4.078902
730.0, 4.048491
740.0, 4.018141
750.0, 3.9878852
760.0, 3.957754
770.0, 3.9277756
780.0, 3.8979762
790.0, 3.8683763
800.0, 3.8389976
810.0, 3.809859
820.0, 3.7809749
830.0, 3.75236
840.0, 3.7240267
850.0, 3.6959856
860.0, 3.6682467
870.0, 3.6408162
880.0, 3.6137006
890.0, 3.5869064
900.0, 3.5604362
910.0, 3.5342934
920.0, 3.5084805
930.0, 3.4829986
940.0, 3.4578485
950.0, 3.4330294
960.0, 3.4085407
970.0, 3.3843813
980.0, 3.3605492
990.0, 3.3370423
1000.0, 3.3138573
1010.0, 3.2909923
1020.0, 3.268443
1030.0, 3.246206
1040.0, 3.2242782
1050.0, 3.2026546
