Energy (in eV), SEEP yield of material gr2k-NASCAP at incidence 0.0 degree
   X,       Y
0.0, 0.0
200.0, 0.19873641
400.0, 0.2870898
600.0, 0.3526961
800.0, 0.40721306
1000.0, 0.45484316
1200.0, 0.49764243
1400.0, 0.53679854
1600.0, 0.5730729
1800.0, 0.6069897
2000.0, 0.6389283
2200.0, 0.6691745
2400.0, 0.69795036
2600.0, 0.7254319
2800.0, 0.7517627
3000.0, 0.7770604
3200.0, 0.8014239
3400.0, 0.82493687
3600.0, 0.84767073
3800.0, 0.8696879
4000.0, 0.8910415
4200.0, 0.91177964
4400.0, 0.9319436
4600.0, 0.95157087
4800.0, 0.9706947
5000.0, 0.9893445
5200.0, 1.0075475
5400.0, 1.0253285
5600.0, 1.0427091
5800.0, 1.0597099
6000.0, 1.0763495
6200.0, 1.0926448
6400.0, 1.1086116
6600.0, 1.1242646
6800.0, 1.1396171
7000.0, 1.1546816
7200.0, 1.1694697
7400.0, 1.1839924
7600.0, 1.1982598
7800.0, 1.2122813
8000.0, 1.2260658
8200.0, 1.2396219
8400.0, 1.2529572
8600.0, 1.2660794
8800.0, 1.2789952
9000.0, 1.2917116
9200.0, 1.3042343
9400.0, 1.3165697
9600.0, 1.3287233
9800.0, 1.3407005
10000.0, 1.3525064
10200.0, 1.3641455
10400.0, 1.3756229
10600.0, 1.3869425
10800.0, 1.3981092
11000.0, 1.4091263
11200.0, 1.419998
11400.0, 1.430728
11600.0, 1.4413197
11800.0, 1.4517766
12000.0, 1.4621016
12200.0, 1.4722984
12400.0, 1.4823692
12600.0, 1.4923177
12800.0, 1.5021461
13000.0, 1.5118573
13200.0, 1.5214537
13400.0, 1.5309378
13600.0, 1.5403123
13800.0, 1.5495791
14000.0, 1.5587406
14200.0, 1.567799
14400.0, 1.5767559
14600.0, 1.585614
14800.0, 1.594375
15000.0, 1.6030406
15200.0, 1.6116124
15400.0, 1.6200927
15600.0, 1.6284829
15800.0, 1.636785
16000.0, 1.645
16200.0, 1.6531298
16400.0, 1.6611762
16600.0, 1.6691402
16800.0, 1.6770233
17000.0, 1.6848271
17200.0, 1.6925528
17400.0, 1.7002015
17600.0, 1.7077751
17800.0, 1.7152742
18000.0, 1.7227001
18200.0, 1.7300545
18400.0, 1.7373378
18600.0, 1.7445515
18800.0, 1.7516968
19000.0, 1.7587746
