Energy (in eV), SEEP yield of material ka2k-NASCAP at isotropic incidence
   X,       Y
0.0, 0.0
200.0, 0.39837778
400.0, 0.5671163
600.0, 0.6960415
800.0, 0.8042689
1000.0, 0.89921457
1200.0, 0.98468834
1400.0, 1.0629562
1600.0, 1.1354975
1800.0, 1.2033411
2000.0, 1.2672374
2200.0, 1.3277537
2400.0, 1.3853315
2600.0, 1.4403225
2800.0, 1.4930123
3000.0, 1.5436363
3200.0, 1.592392
3400.0, 1.6394466
3600.0, 1.6849436
3800.0, 1.7290066
4000.0, 1.7717426
4200.0, 1.8132474
4400.0, 1.8536041
4600.0, 1.8928865
4800.0, 1.9311625
5000.0, 1.9684905
5200.0, 2.0049245
5400.0, 2.0405145
5600.0, 2.0753036
5800.0, 2.109333
6000.0, 2.1426396
6200.0, 2.175258
6400.0, 2.2072186
6600.0, 2.238552
6800.0, 2.269284
7000.0, 2.2994401
7200.0, 2.3290434
7400.0, 2.3581154
7600.0, 2.3866773
7800.0, 2.414747
8000.0, 2.4423423
8200.0, 2.4694812
8400.0, 2.496178
8600.0, 2.5224485
8800.0, 2.548306
9000.0, 2.5737648
9200.0, 2.5988357
9400.0, 2.6235328
9600.0, 2.6478655
9800.0, 2.6718457
10000.0, 2.6954827
10200.0, 2.7187865
10400.0, 2.7417662
10600.0, 2.7644308
10800.0, 2.7867894
11000.0, 2.8088481
11200.0, 2.830617
11400.0, 2.852101
11600.0, 2.8733094
11800.0, 2.894248
12000.0, 2.9149222
12200.0, 2.9353402
12400.0, 2.9555066
12600.0, 2.9754274
12800.0, 2.9951081
13000.0, 3.0145547
13200.0, 3.033771
13400.0, 3.0527635
13600.0, 3.0715358
13800.0, 3.0900939
14000.0, 3.1084394
14200.0, 3.1265798
14400.0, 3.1445172
14600.0, 3.1622565
14800.0, 3.1798017
15000.0, 3.197156
15200.0, 3.2143233
15400.0, 3.2313068
15600.0, 3.2481096
15800.0, 3.2647362
16000.0, 3.281189
16200.0, 3.2974718
16400.0, 3.3135867
16600.0, 3.3295364
16800.0, 3.3453252
17000.0, 3.3609545
17200.0, 3.3764284
17400.0, 3.3917482
17600.0, 3.4069169
17800.0, 3.4219368
18000.0, 3.436811
18200.0, 3.4515412
18400.0, 3.4661293
18600.0, 3.480579
18800.0, 3.494891
19000.0, 3.5090675
19200.0, 3.523112
