Energy (in eV), SEEP yield of material np2k-NASCAP at incidence 0.0 degree
   X,       Y
0.0, 0.0
200.0, 0.20464323
400.0, 0.28899705
600.0, 0.35344422
800.0, 0.40754247
1000.0, 0.455
1200.0, 0.4977216
1400.0, 0.5368403
1600.0, 0.57309586
1800.0, 0.6070026
2000.0, 0.6389358
2200.0, 0.6691789
2400.0, 0.697953
2600.0, 0.7254336
2800.0, 0.75176376
3000.0, 0.7770611
3200.0, 0.80142426
3400.0, 0.8249371
3600.0, 0.847671
3800.0, 0.86968803
4000.0, 0.8910416
4200.0, 0.9117797
4400.0, 0.9319437
4600.0, 0.95157087
4800.0, 0.9706946
5000.0, 0.9893444
5200.0, 1.0075475
5400.0, 1.0253284
5600.0, 1.0427091
5800.0, 1.0597099
6000.0, 1.0763495
6200.0, 1.0926448
6400.0, 1.1086117
6600.0, 1.1242646
6800.0, 1.1396171
7000.0, 1.1546816
7200.0, 1.1694697
7400.0, 1.1839925
7600.0, 1.1982598
7800.0, 1.2122813
8000.0, 1.2260658
8200.0, 1.239622
8400.0, 1.2529573
8600.0, 1.2660794
8800.0, 1.2789952
9000.0, 1.2917116
9200.0, 1.3042344
9400.0, 1.3165698
9600.0, 1.3287233
9800.0, 1.3407005
10000.0, 1.3525063
10200.0, 1.3641455
10400.0, 1.3756227
10600.0, 1.3869425
10800.0, 1.3981092
11000.0, 1.4091264
11200.0, 1.419998
11400.0, 1.430728
11600.0, 1.4413197
11800.0, 1.4517767
12000.0, 1.4621017
12200.0, 1.4722985
12400.0, 1.4823693
12600.0, 1.4923176
12800.0, 1.5021461
13000.0, 1.5118572
13200.0, 1.5214537
13400.0, 1.5309377
13600.0, 1.5403122
13800.0, 1.5495791
14000.0, 1.5587406
14200.0, 1.5677989
14400.0, 1.5767559
14600.0, 1.585614
14800.0, 1.594375
15000.0, 1.6030406
15200.0, 1.6116124
15400.0, 1.6200929
15600.0, 1.628483
15800.0, 1.6367849
16000.0, 1.645
16200.0, 1.6531298
16400.0, 1.6611763
16600.0, 1.6691402
16800.0, 1.6770234
17000.0, 1.684827
17200.0, 1.6925528
17400.0, 1.7002015
17600.0, 1.707775
17800.0, 1.7152741
18000.0, 1.7227001
18200.0, 1.7300544
18400.0, 1.7373377
18600.0, 1.7445517
18800.0, 1.7516968
19000.0, 1.7587748
