Energy (in eV), SEEP yield of material osr2k-NASCAP at isotropic incidence
   X,       Y
0.0, 0.0
200.0, 0.38138595
400.0, 0.5501729
600.0, 0.6791463
800.0, 0.78742164
1000.0, 0.8824151
1200.0, 0.9679364
1400.0, 1.0462515
1600.0, 1.1188401
1800.0, 1.1867307
2000.0, 1.2506738
2200.0, 1.3112365
2400.0, 1.3688607
2600.0, 1.4238977
2800.0, 1.4766335
3000.0, 1.5273032
3200.0, 1.5761046
3400.0, 1.6232048
3600.0, 1.668747
3800.0, 1.7128549
4000.0, 1.7556356
4200.0, 1.7971854
4400.0, 1.8375862
4600.0, 1.8769131
4800.0, 1.915233
5000.0, 1.952605
5200.0, 1.9890828
5400.0, 2.0247161
5600.0, 2.0595486
5800.0, 2.0936213
6000.0, 2.126971
6200.0, 2.1596322
6400.0, 2.191636
6600.0, 2.2230115
6800.0, 2.2537858
7000.0, 2.2839842
7200.0, 2.3136294
7400.0, 2.3427432
7600.0, 2.3713465
7800.0, 2.3994575
8000.0, 2.4270945
8200.0, 2.4542742
8400.0, 2.481012
8600.0, 2.5073233
8800.0, 2.5332215
9000.0, 2.5587208
9200.0, 2.5838323
9400.0, 2.6085694
9600.0, 2.6329422
9800.0, 2.6569617
10000.0, 2.6806386
10200.0, 2.7039816
10400.0, 2.727001
10600.0, 2.7497048
10800.0, 2.772102
11000.0, 2.7942002
11200.0, 2.8160074
11400.0, 2.8375306
11600.0, 2.858777
11800.0, 2.8797543
12000.0, 2.9004662
12200.0, 2.9209223
12400.0, 2.941126
12600.0, 2.9610848
12800.0, 2.980803
13000.0, 3.000287
13200.0, 3.0195408
13400.0, 3.0385702
13600.0, 3.0573797
13800.0, 3.075974
14000.0, 3.0943565
14200.0, 3.1125336
14400.0, 3.1305075
14600.0, 3.1482828
14800.0, 3.165864
15000.0, 3.1832545
15200.0, 3.2004566
15400.0, 3.217476
15600.0, 3.234315
15800.0, 3.2509773
16000.0, 3.2674649
16200.0, 3.2837822
16400.0, 3.2999325
16600.0, 3.315917
16800.0, 3.3317409
17000.0, 3.3474052
17200.0, 3.3629127
17400.0, 3.378267
17600.0, 3.39347
17800.0, 3.4085243
18000.0, 3.4234324
18200.0, 3.4381964
18400.0, 3.4528177
18600.0, 3.467301
18800.0, 3.4816463
19000.0, 3.4958565
19200.0, 3.5099342
