Time (s), average differential potential (V), average absolute potential (V)
10.004141, 4.27843, -143.8311
20.60349, 9.0111265, -420.91583
31.736023, 6.641078, -768.74774
42.584393, 6.327466, -1069.0295
54.993843, 4.4028673, -1435.3472
65.314285, -6.060422, -1825.1741
75.379776, -12.41278, -2132.824
89.25104, -18.596855, -2431.192
102.321465, -18.919468, -2677.4023
112.98028, -32.454205, -3084.0427
126.77251, -31.657352, -3346.7842
142.59341, -26.639725, -3607.8716
169.59946, -17.362629, -3990.1277
181.3832, -15.376584, -4255.9966
193.43687, -33.63265, -4631.4185
212.64473, -37.424805, -4991.491
224.34773, -29.464188, -5169.592
241.98785, -23.945719, -5419.936
260.51187, -14.65951, -5558.9756
271.9116, -32.609295, -5936.7544
283.54352, -33.404335, -6101.4453
298.2867, -37.781586, -6370.39
309.19302, -34.24082, -6472.923
320.75186, -34.13234, -6652.602
332.57407, -29.778923, -6716.235
347.3159, -29.238699, -6925.828
363.04065, -23.167559, -7011.3047
384.21808, -30.094395, -7305.061
399.2076, -24.925716, -7449.247
415.37927, -25.814247, -7626.7686
430.5317, -27.683575, -7797.7773
443.5159, -26.464903, -7979.7085
457.58667, -23.150595, -8034.4683
468.32144, -24.046267, -8165.7715
479.4181, -19.675934, -8213.748
493.498, -19.763239, -8374.344
508.62622, -15.033028, -8412.589
528.36865, -16.973547, -8596.448
542.2951, -11.538426, -8680.106
577.1393, -2.9692156, -8823.251
606.07697, 6.0230746, -8965.921
619.93677, 8.866608, -9069.51
632.38696, 6.8395715, -9206.619
645.91327, 13.669575, -9223.77
745.91327, 58.08716, -9424.903
766.0475, 52.30098, -9592.258
777.7898, 56.218307, -9659.487
877.7898, 96.5511, -9804.028
977.7898, 137.01904, -9946.351
1077.7898, 169.08984, -10077.259
