Time (s), variation of the average surface potential of esn 3 (s-1.V)
10.004141, -14.285273
20.60349, -37.512573
31.736023, -32.089977
42.584393, -23.426817
54.993843, -24.822056
65.314285, -40.23385
75.379776, -8.400754
89.25104, -32.19738
102.321465, -15.871047
112.98028, -16.340935
126.77251, -19.73664
142.59341, -19.931507
169.59946, -12.620484
181.3832, -23.557407
193.43687, -35.117725
212.64473, -11.156374
224.34773, -6.403986
241.98785, -12.466721
260.51187, -13.990159
271.9116, -36.48022
283.54352, -13.594161
298.2867, -10.879599
309.19302, -2.1836817
320.75186, -13.04396
332.57407, -4.899531
347.3159, -12.636092
363.04065, -5.0593815
384.21808, -14.4298935
399.2076, -4.5538607
415.37927, -11.291061
430.5317, -10.029608
443.5159, -11.549854
457.58667, -3.1180234
468.32144, -11.412423
479.4181, -3.176986
493.498, -10.250487
508.62622, -2.2393196
528.36865, -10.065209
542.2951, -1.9799559
577.1393, -3.6977422
606.07697, -3.76435
619.93677, -6.8092537
632.38696, -8.765653
645.91327, -1.0248381
745.91327, -0.76021487
766.0475, -11.850211
777.7898, -1.035752
877.7898, -1.8004882
977.7898, -0.13990234
1077.7898, -0.5436914
