Time (s), esn 1 net current (A), esn 1 collected current (A), esn 1 emitted current (A)
10.004141, -2.738044E-5, -4.8115035E-5, -2.0734593E-5
20.60349, -2.5435602E-5, -4.5322813E-5, -1.9887211E-5
31.736023, -2.5399162E-5, -4.4815442E-5, -1.9416279E-5
42.584393, -2.5156878E-5, -4.430042E-5, -1.9143541E-5
54.993843, -2.6463069E-5, -4.531497E-5, -1.8851902E-5
65.314285, -2.3028602E-5, -4.2180898E-5, -1.9152296E-5
75.379776, -2.2831915E-5, -4.172618E-5, -1.8894267E-5
89.25104, -2.2637754E-5, -4.1672123E-5, -1.9034367E-5
102.321465, -2.1579108E-5, -4.0681316E-5, -1.9102208E-5
112.98028, -2.1306656E-5, -4.0576415E-5, -1.9269759E-5
126.77251, -2.0071071E-5, -3.9330072E-5, -1.9259001E-5
142.59341, -2.1140699E-5, -4.0346804E-5, -1.9206105E-5
169.59946, -1.924742E-5, -3.8654547E-5, -1.9407127E-5
181.3832, -1.9042927E-5, -3.8360064E-5, -1.9317135E-5
193.43687, -1.860046E-5, -3.7937447E-5, -1.9336989E-5
212.64473, -1.6586238E-5, -3.6384055E-5, -1.9797819E-5
224.34773, -1.6580048E-5, -3.6228892E-5, -1.9648844E-5
241.98785, -1.8507548E-5, -3.8063547E-5, -1.9555999E-5
260.51187, -1.6391423E-5, -3.6011097E-5, -1.9619674E-5
271.9116, -1.5595217E-5, -3.5399597E-5, -1.980438E-5
283.54352, -1.7025593E-5, -3.6833404E-5, -1.9807809E-5
298.2867, -1.6950831E-5, -3.6788544E-5, -1.9837711E-5
309.19302, -1.4330151E-5, -3.4148252E-5, -1.98181E-5
320.75186, -1.397272E-5, -3.4047607E-5, -2.0074887E-5
332.57407, -1.3973302E-5, -3.4005945E-5, -2.0032643E-5
347.3159, -1.3830055E-5, -3.3822525E-5, -1.999247E-5
363.04065, -1.3338344E-5, -3.3446893E-5, -2.010855E-5
384.21808, -1.2620881E-5, -3.307324E-5, -2.0452359E-5
399.2076, -1.488608E-5, -3.5551966E-5, -2.0665886E-5
415.37927, -1.2276048E-5, -3.266474E-5, -2.038869E-5
430.5317, -1.154944E-5, -3.2124455E-5, -2.0575015E-5
443.5159, -1.1386874E-5, -3.2001233E-5, -2.061436E-5
457.58667, -1.0960168E-5, -3.1734493E-5, -2.0774325E-5
468.32144, -1.0969234E-5, -3.1675496E-5, -2.0706262E-5
479.4181, -1.0654025E-5, -3.145689E-5, -2.0802865E-5
493.498, -1.0533524E-5, -3.1266823E-5, -2.07333E-5
508.62622, -1.0081183E-5, -3.1110976E-5, -2.1029793E-5
528.36865, -1.0084928E-5, -3.094483E-5, -2.08599E-5
542.2951, -9.756401E-6, -3.0735308E-5, -2.0978907E-5
577.1393, -9.79936E-6, -3.076238E-5, -2.0963022E-5
606.07697, -9.300306E-6, -3.0305973E-5, -2.1005666E-5
619.93677, -9.062254E-6, -3.0360517E-5, -2.1298263E-5
632.38696, -9.0544945E-6, -3.0132023E-5, -2.1077529E-5
645.91327, -8.792622E-6, -2.9857993E-5, -2.106537E-5
745.91327, -8.457047E-6, -2.982718E-5, -2.1370133E-5
766.0475, -9.777692E-6, -3.1083542E-5, -2.1305852E-5
777.7898, -1.0547305E-5, -3.1987125E-5, -2.143982E-5
877.7898, -7.5752578E-6, -2.9251001E-5, -2.1675743E-5
977.7898, -7.68336E-6, -2.9088827E-5, -2.1405467E-5
1077.7898, -7.038885E-6, -2.8952443E-5, -2.1913558E-5
