Time (s) , total current (A)
10.004141, -1.537423E-4
20.60349, -2.6119145E-4
31.736023, -3.207377E-4
42.584393, -2.523305E-4
54.993843, -2.7963772E-4
65.314285, -2.2913639E-4
75.379776, -2.0570328E-4
89.25104, -3.3030016E-4
102.321465, -1.7254725E-4
112.98028, -1.1751735E-4
126.77251, -1.6356759E-4
142.59341, -3.0045293E-4
169.59946, -2.4951866E-4
181.3832, -1.8753309E-4
193.43687, -1.5914433E-4
212.64473, -1.5050959E-4
224.34773, -2.2661072E-5
241.98785, -2.886878E-4
260.51187, -6.4180036E-5
271.9116, -1.7785245E-4
283.54352, -5.340252E-5
298.2867, -1.372487E-4
309.19302, 5.96027E-5
320.75186, -2.1150704E-4
332.57407, 1.8285356E-5
347.3159, -2.1197424E-4
363.04065, 8.120464E-6
384.21808, -1.8308111E-4
399.2076, -3.6153655E-5
415.37927, -9.376855E-5
430.5317, -7.857656E-5
443.5159, -1.4714806E-4
457.58667, 2.6435637E-5
468.32144, -1.286129E-4
479.4181, -5.915618E-6
493.498, -1.2655661E-4
508.62622, 5.4895125E-5
528.36865, -1.1277461E-4
542.2951, 1.2891155E-5
577.1393, -8.894295E-5
606.07697, -8.296789E-5
619.93677, -7.298207E-5
632.38696, -1.1433029E-4
645.91327, 5.1850344E-5
745.91327, -6.486465E-5
766.0475, -8.655848E-5
777.7898, 1.9656807E-5
877.7898, -6.942316E-5
977.7898, -9.3966926E-5
1077.7898, -9.5149524E-5
