#    time,   allPop,  allPop,  allPop,  allPop,  allPop,  allPop,  allPop,  allPop,  allPop, ions1, ions1, ions1, ions1, ions1, ions1, ions1, ions1, ions1, elec1, elec1, elec1, elec1, elec1, elec1, elec1, elec1, elec1, ions2, ions2, ions2, ions2, ions2, ions2, ions2, ions2, ions2, elec2, elec2, elec2, elec2, elec2, elec2, elec2, elec2, elec2, photoElec, photoElec, photoElec, photoElec, photoElec, photoElec, photoElec, photoElec, photoElec, secondElec True from ambiant electrons, secondElec True from ambiant electrons, secondElec True from ambiant electrons, secondElec True from ambiant electrons, secondElec True from ambiant electrons, secondElec True from ambiant electrons, secondElec True from ambiant electrons, secondElec True from ambiant electrons, secondElec True from ambiant electrons, secondElec BS from ambiant electrons, secondElec BS from ambiant electrons, secondElec BS from ambiant electrons, secondElec BS from ambiant electrons, secondElec BS from ambiant electrons, secondElec BS from ambiant electrons, secondElec BS from ambiant electrons, secondElec BS from ambiant electrons, secondElec BS from ambiant electrons, secondElec from ambiant protons, secondElec from ambiant protons, secondElec from ambiant protons, secondElec from ambiant protons, secondElec from ambiant protons, secondElec from ambiant protons, secondElec from ambiant protons, secondElec from ambiant protons, secondElec from ambiant protons, 
#        ,   allNodes,  node0,  node1,  node2,  node3,  node4,  node5,  node6,  node7,  allNodes,  node0,  node1,  node2,  node3,  node4,  node5,  node6,  node7,  allNodes,  node0,  node1,  node2,  node3,  node4,  node5,  node6,  node7,  allNodes,  node0,  node1,  node2,  node3,  node4,  node5,  node6,  node7,  allNodes,  node0,  node1,  node2,  node3,  node4,  node5,  node6,  node7,  allNodes,  node0,  node1,  node2,  node3,  node4,  node5,  node6,  node7,  allNodes,  node0,  node1,  node2,  node3,  node4,  node5,  node6,  node7,  allNodes,  node0,  node1,  node2,  node3,  node4,  node5,  node6,  node7,  allNodes,  node0,  node1,  node2,  node3,  node4,  node5,  node6,  node7, 
10.004141, -0.0023805834, -2.5000714E-4, -5.1685114E-5, -9.502426E-6, -2.3342758E-5, -8.166089E-5, -0.0015876018, -3.3257468E-4, -4.4209126E-5, 1.2338425E-6, 1.4254475E-7, 5.759753E-8, 1.0162359E-8, 1.9954346E-8, 8.898546E-8, 3.683993E-7, 4.9751617E-7, 4.868298E-8, -1.6688366E-5, -1.971987E-6, -7.827544E-7, -1.3646111E-7, -3.0852252E-7, -1.2618619E-6, -6.403566E-6, -5.2015785E-6, -6.216462E-7, 2.3954155E-5, 2.7217216E-6, 1.0972635E-6, 1.7911943E-7, 3.806682E-7, 1.7074758E-6, 8.473713E-6, 8.487718E-6, 9.0647677E-7, -9.5845986E-4, -1.15350216E-4, -4.5754427E-5, -8.235634E-6, -1.8135614E-5, -7.375975E-5, -3.3027987E-4, -3.2912413E-4, -3.7819587E-5, -0.001039424, -1.1490338E-4, -3.4944296E-6, -9.2526847E-7, -3.926881E-6, -3.842287E-6, -9.06159E-4, -1.8664387E-6, -4.3063014E-6, -3.554527E-4, -1.3936753E-5, -1.1824158E-6, -2.3312302E-7, -5.627144E-7, -1.2852526E-6, -3.340013E-4, -2.7196E-6, -1.5314E-6, -6.9236266E-6, -1.3468792E-6, -7.996511E-7, -1.0843903E-7, -4.2880853E-7, -2.1946707E-6, -6.627642E-7, -9.542179E-7, -4.2819573E-7, -2.882336E-5, -5.3621384E-6, -8.26291E-7, -5.278257E-8, -3.8083806E-7, -1.1135364E-6, -1.8936675E-5, -1.6939211E-6, -4.5717456E-7, 
20.60349, -0.002581822, -2.6519145E-4, -4.668555E-5, -8.978893E-6, -2.065559E-5, -7.571517E-5, -0.0018048834, -3.1934437E-4, -4.0371553E-5, 2.1002668E-6, 2.43803E-7, 1.0053165E-7, 1.8728498E-8, 3.3314063E-8, 1.5304843E-7, 5.126614E-7, 9.510483E-7, 8.713077E-8, -1.095522E-5, -1.2139968E-6, -4.762571E-7, -7.5240244E-8, -1.9023548E-7, -7.6776394E-7, -5.469989E-6, -2.4250578E-6, -3.366773E-7, 2.4108636E-5, 2.7450394E-6, 1.1042E-6, 1.8154012E-7, 3.8251494E-7, 1.7225459E-6, 8.487162E-6, 8.572549E-6, 9.1309494E-7, -9.514756E-4, -1.1446352E-4, -4.5408084E-5, -8.1610015E-6, -1.8002811E-5, -7.320141E-5, -3.2941898E-4, -3.2536156E-4, -3.7458165E-5, -0.0012030026, -1.3145692E-4, -4.565624E-7, 0.0, -1.7126956E-6, -5.303638E-7, -0.0010668329, -1.1480872E-11, -2.0127636E-6, -4.0550428E-4, -1.3389574E-5, -5.063836E-7, -3.827589E-8, -4.3899897E-7, -3.274122E-7, -3.8984496E-4, -3.223279E-7, -6.3616875E-7, -7.908635E-6, -1.8264351E-6, -5.673603E-7, -8.931451E-7, -3.7215042E-7, -2.236451E-6, -8.2656703E-7, -6.3855157E-7, -5.479722E-7, -2.9188366E-5, -5.8298942E-6, -4.7564075E-7, -1.1495722E-8, -3.545262E-7, -5.274253E-7, -2.148883E-5, -1.2051261E-7, -3.8003512E-7, 
30.379232, -0.002393584, -2.491752E-4, -4.4418248E-5, -7.836275E-6, -2.2441925E-5, -7.672769E-5, -0.0016443797, -3.0990585E-4, -3.86979E-5, 3.801883E-6, 4.394017E-7, 1.795159E-7, 3.4118962E-8, 5.8493793E-8, 2.730384E-7, 9.74288E-7, 1.6849406E-6, 1.580861E-7, -4.5130955E-6, -4.58882E-7, -1.725793E-7, -2.3042846E-8, -7.413006E-8, -2.782114E-7, -2.7551105E-6, -6.3979996E-7, -1.1133951E-7, 2.4422063E-5, 2.771759E-6, 1.1205E-6, 1.8694294E-7, 3.8337518E-7, 1.7383018E-6, 8.575501E-6, 8.7187655E-6, 9.2691755E-7, -9.3763636E-4, -1.1275859E-4, -4.4751858E-5, -8.0237505E-6, -1.7755741E-5, -7.214351E-5, -3.2619835E-4, -3.1917533E-4, -3.682936E-5, -0.0010925113, -1.1963206E-4, -5.5723298E-8, 0.0, -4.3031114E-6, -4.0667945E-7, -9.6610247E-4, 0.0, -2.0112911E-6, -3.5010482E-4, -1.0831622E-5, -3.8394467E-7, -1.03436255E-8, -3.3613253E-7, -9.163223E-8, -3.3778773E-4, -1.4261425E-7, -5.2079776E-7, -1.1080772E-5, -3.8137791E-6, -4.159656E-9, -1.9890924E-10, -4.665093E-9, -5.6483677E-6, -1.3414037E-6, -2.6591525E-7, -2.28175E-9, -2.5960357E-5, -4.891445E-6, -3.500027E-7, 0.0, -4.100172E-7, -1.706304E-7, -1.9744535E-5, -8.5899785E-8, -3.0782456E-7, 
31.736023, -0.002686691, -2.7947564E-4, -4.78074E-5, -7.83039E-6, -2.230758E-5, -7.068264E-5, -0.0019132784, -3.0651715E-4, -3.8791888E-5, 4.463341E-6, 5.2119407E-7, 2.0639948E-7, 4.131584E-8, 6.710213E-8, 3.128437E-7, 1.1204146E-6, 2.0092716E-6, 1.8479977E-7, -3.3160006E-6, -3.119122E-7, -1.13207825E-7, -1.4120191E-8, -4.940727E-8, -1.8249985E-7, -2.2280703E-6, -3.4565477E-7, -7.112811E-8, 2.4679557E-5, 2.801915E-6, 1.1472544E-6, 1.8327475E-7, 3.8391124E-7, 1.7851469E-6, 8.66936E-6, 8.776034E-6, 9.32663E-7, -9.322897E-4, -1.1206287E-4, -4.4495915E-5, -7.970902E-6, -1.7654707E-5, -7.173092E-5, -3.252356E-4, -3.165673E-4, -3.6571444E-5, -0.001321023, -1.517319E-4, -5.1351908E-8, 0.0, -4.310194E-6, -5.123291E-7, -0.0011622456, 0.0, -2.1715987E-6, -4.2073676E-4, -1.2277336E-5, -4.316222E-7, -5.3707595E-8, -3.632563E-7, -4.459107E-8, -4.0678232E-4, -2.918121E-7, -4.9209115E-7, -5.5829296E-6, -4.4638906E-9, -3.7070556E-6, 0.0, -2.2304147E-9, 0.0, -1.8683058E-6, 0.0, -8.738593E-10, -3.2885637E-5, -6.410249E-6, -3.6189817E-7, -1.625154E-8, -3.7879565E-7, -3.1028304E-7, -2.4708283E-5, -9.766276E-8, -6.022144E-7, 
42.584393, -0.002368311, -2.48229E-4, -4.4461976E-5, -7.742369E-6, -2.3695911E-5, -7.1556504E-5, -0.0016292955, -3.0485942E-4, -3.8470735E-5, 5.090618E-6, 5.971459E-7, 2.409317E-7, 4.5763436E-8, 7.792803E-8, 3.6666827E-7, 1.2828116E-6, 2.2680558E-6, 2.1131251E-7, -2.5165352E-6, -2.220535E-7, -7.938544E-8, -9.5296375E-9, -3.503313E-8, -1.2797555E-7, -1.7745558E-6, -2.1848507E-7, -4.9517457E-8, 2.4693738E-5, 2.7949284E-6, 1.1297134E-6, 1.8752009E-7, 3.9312812E-7, 1.757545E-6, 8.641911E-6, 8.85214E-6, 9.368493E-7, -9.2726026E-4, -1.1141083E-4, -4.425525E-5, -7.922794E-6, -1.756072E-5, -7.134292E-5, -3.241193E-4, -3.1430804E-4, -3.634039E-5, -0.001090854, -1.2174908E-4, -3.5136747E-8, 0.0, -4.054731E-6, -4.9941514E-7, -9.6224557E-4, 0.0, -2.2701204E-6, -3.4069223E-4, -1.0445205E-5, -3.9392955E-7, -3.1953647E-8, -3.759437E-7, -1.4964472E-7, -3.2867622E-4, -1.5278927E-7, -4.6656544E-7, -9.884729E-6, -2.4621784E-6, -6.1741275E-7, -9.891181E-10, -1.8146278E-6, -1.2960271E-6, -2.4826502E-6, -1.210395E-6, -4.4750384E-10, -2.6887968E-5, -5.3317126E-6, -4.5151668E-7, -1.0388186E-8, -3.2590907E-7, -2.64749E-7, -1.9921916E-5, -8.9905E-8, -4.9186485E-7, 
54.993843, -0.0023125159, -2.3946357E-4, -4.4405155E-5, -7.684488E-6, -2.2559812E-5, -7.0590766E-5, -0.0015921774, -2.9761842E-4, -3.801627E-5, 6.495855E-6, 7.72161E-7, 3.0814442E-7, 5.6696123E-8, 9.781177E-8, 4.6775727E-7, 1.6166443E-6, 2.9078979E-6, 2.6874164E-7, -1.3974654E-6, -1.0421379E-7, -3.4688412E-8, -3.705602E-9, -1.5892939E-8, -5.5920456E-8, -1.0903105E-6, -7.05814E-8, -2.215255E-8, 2.4966886E-5, 2.8289007E-6, 1.1399634E-6, 1.9405891E-7, 3.9722846E-7, 1.7738327E-6, 8.696393E-6, 8.98743E-6, 9.49076E-7, -9.161684E-4, -1.09949935E-4, -4.372717E-5, -7.81512E-6, -1.735414E-5, -7.049163E-5, -3.2178414E-4, -3.0922116E-4, -3.582519E-5, -0.0010666519, -1.17942654E-4, -2.6044335E-8, 0.0, -3.658019E-6, -5.3965135E-7, -9.420979E-4, 0.0, -2.3875666E-6, -3.255926E-4, -9.3562985E-6, -4.0722114E-7, -8.6844985E-9, -3.6168933E-7, -1.0588985E-7, -3.1462364E-4, -1.1399313E-7, -6.151689E-7, -7.625184E-6, -6.460103E-7, -1.2122105E-6, -1.0773436E-7, -1.207253E-6, -1.3228681E-6, -3.11982E-6, -4.150496E-11, -9.24648E-9, -2.6543232E-5, -5.0654703E-6, -4.4591837E-7, 0.0, -4.578582E-7, -3.1640872E-7, -1.977484E-5, -1.0797739E-7, -3.7476272E-7, 
62.179157, -0.0023151534, -2.385011E-4, -4.2430223E-5, -7.482603E-6, -2.18068E-5, -6.955658E-5, -0.0016031127, -2.934775E-4, -3.8785733E-5, 8.03053E-6, 9.439139E-7, 3.8430142E-7, 7.095491E-8, 1.2145912E-7, 5.768786E-7, 2.0223122E-6, 3.5777875E-6, 3.3292213E-7, -7.4731884E-7, -4.7937657E-8, -1.44924E-8, -1.3882375E-9, -7.1395134E-9, -2.336289E-8, -6.2131795E-7, -2.195109E-8, -9.729041E-9, 2.531015E-5, 2.8900035E-6, 1.1656399E-6, 1.9040273E-7, 4.0448126E-7, 1.7950207E-6, 8.786284E-6, 9.1229585E-6, 9.553605E-7, -9.0444647E-4, -1.0849199E-4, -4.3170225E-5, -7.703425E-6, -1.7148719E-5, -6.959381E-5, -3.1907498E-4, -3.039759E-4, -3.528751E-5, -0.0010831391, -1.1797657E-4, -2.2505223E-8, 0.0, -3.7293141E-6, -5.7006974E-7, -9.5825753E-4, 0.0, -2.5831314E-6, -3.264076E-4, -9.6389695E-6, -3.661149E-7, -2.8541006E-8, -4.347183E-7, -6.370307E-8, -3.1495045E-4, -2.1301459E-7, -7.120388E-7, -6.0150683E-6, -7.0643796E-7, -3.992399E-10, 0.0, -5.1466577E-7, -1.3553305E-6, -6.0357877E-7, -1.8381551E-6, -9.965016E-7, -2.7738628E-5, -5.473145E-6, -4.0642405E-7, -1.0605869E-8, -4.9818624E-7, -3.2221126E-7, -2.0413734E-5, -1.2922348E-7, -4.850982E-7, 
74.03353, -0.002305449, -2.3905729E-4, -4.1830826E-5, -7.3468827E-6, -2.0868314E-5, -7.1119124E-5, -0.0015998427, -2.8722547E-4, -3.8158858E-5, 9.266515E-6, 1.0769927E-6, 4.389546E-7, 8.0102645E-8, 1.3905621E-7, 6.655437E-7, 2.3910125E-6, 4.08984E-6, 3.850131E-7, -4.1704888E-7, -2.510251E-8, -7.2385857E-9, -6.5010036E-10, -3.6388528E-9, -1.1669172E-8, -3.547099E-7, -9.187622E-9, -4.852149E-9, 2.5538113E-5, 2.9158193E-6, 1.1661061E-6, 1.9626859E-7, 4.0060925E-7, 1.8193542E-6, 8.826752E-6, 9.243868E-6, 9.693354E-7, -8.952281E-4, -1.07404696E-4, -4.2742548E-5, -7.619881E-6, -1.6990678E-5, -6.8904345E-5, -3.1649557E-4, -3.0018148E-4, -3.4889017E-5, -0.0010850659, -1.1930009E-4, -3.008154E-8, 0.0, -3.2300754E-6, -5.5530666E-7, -9.594961E-4, 0.0, -2.454152E-6, -3.2398777E-4, -9.343912E-6, -2.476277E-7, 0.0, -5.2873986E-7, -1.3234562E-7, -3.1291952E-4, -2.369786E-7, -5.786791E-7, -7.4415093E-6, -1.398796E-6, -1.7820798E-10, -1.808662E-10, -1.06858036E-10, -3.7137174E-6, -1.2522127E-6, 0.0, -1.0763157E-6, -2.811347E-5, -5.577508E-6, -4.082191E-7, -2.540396E-9, -6.547406E-7, -2.86632E-7, -2.0542066E-5, -1.3157533E-7, -5.101879E-7, 
83.55899, -0.0022702927, -2.4165284E-4, -4.2626325E-5, -7.3755723E-6, -2.1267942E-5, -6.670334E-5, -0.0015695748, -2.8302413E-4, -3.8068152E-5, 1.0655208E-5, 1.2444972E-6, 5.0099925E-7, 9.3782106E-8, 1.5923348E-7, 7.5105515E-7, 2.741726E-6, 4.723017E-6, 4.4089603E-7, -2.5300423E-7, -1.3118432E-8, -3.3564793E-9, -2.6945782E-10, -1.8383202E-9, -5.410908E-9, -2.2330401E-7, -3.143295E-9, -2.5633127E-9, 2.5737672E-5, 2.937563E-6, 1.1881222E-6, 1.9385888E-7, 4.066172E-7, 1.8332258E-6, 8.8842635E-6, 9.3137E-6, 9.803232E-7, -8.8507135E-4, -1.06139974E-4, -4.226408E-5, -7.522503E-6, -1.6814076E-5, -6.813302E-5, -3.1423828E-4, -2.9553685E-4, -3.442275E-5, -0.0010695568, -1.2211422E-4, -1.3186522E-8, 0.0, -3.7478928E-6, -5.9597926E-7, -9.402703E-4, 0.0, -2.815256E-6, -3.1719246E-4, -9.7434895E-6, -2.8924742E-7, -3.5418758E-8, -5.9047244E-7, -1.6482359E-7, -3.0565014E-4, -1.7418061E-7, -5.446397E-7, -5.7492052E-6, -1.6991722E-6, -1.3047551E-6, -8.936971E-8, -5.014453E-11, -8.056429E-11, -2.5479363E-7, -1.2345588E-6, -1.1664256E-6, -2.8862962E-5, -6.1249307E-6, -4.408261E-7, -1.5651864E-8, -6.794637E-7, -3.883103E-7, -2.0563912E-5, -1.1212789E-7, -5.37745E-7, 
89.25104, -0.002427737, -2.487643E-4, -4.0928553E-5, -7.259198E-6, -2.203989E-5, -6.621408E-5, -0.0017267459, -2.7920792E-4, -3.657736E-5, 1.1218429E-5, 1.2682235E-6, 5.259952E-7, 1.0131294E-7, 1.6418623E-7, 8.155457E-7, 2.8907E-6, 4.979203E-6, 4.7326296E-7, -2.0199131E-7, -9.821327E-9, -2.3229494E-9, -1.75407E-10, -1.3468673E-9, -3.7447783E-9, -1.8083661E-7, -1.849727E-9, -1.89366E-9, 2.5864818E-5, 2.9615906E-6, 1.1807261E-6, 2.0630233E-7, 4.0523827E-7, 1.8238379E-6, 8.892348E-6, 9.407954E-6, 9.86821E-7, -8.806067E-4, -1.0559857E-4, -4.2050353E-5, -7.4780305E-6, -1.6739083E-5, -6.778849E-5, -3.1336685E-4, -2.9337595E-4, -3.4209435E-5, -0.0012045444, -1.3155046E-4, -1.4584156E-8, 0.0, -4.2912056E-6, -5.733082E-7, -0.001065396, 0.0, -2.7188773E-6, -3.4682374E-4, -9.854978E-6, -2.4229502E-7, -4.943793E-8, -6.78914E-7, -9.816185E-8, -3.3512557E-4, -2.1725569E-7, -5.571303E-7, -5.7334666E-9, -2.0512262E-11, -4.519825E-11, 0.0, -1.200574E-10, -2.7928835E-11, -5.5151745E-9, -4.5947855E-12, 0.0, -3.263753E-5, -5.980257E-6, -3.2567203E-7, -3.916901E-8, -8.9864557E-7, -3.8973425E-7, -2.4453946E-5, 0.0, -5.5010594E-7, 
