#    time,   allInteract,  allInteract,  allInteract,  allInteract,  allInteract,  allInteract,  allInteract,  allInteract,  allInteract, 0-photoemission, 0-photoemission, 0-photoemission, 0-photoemission, 0-photoemission, 0-photoemission, 0-photoemission, 0-photoemission, 0-photoemission, 1-secondary emission from electrons of Ambiant_Electrons, 1-secondary emission from electrons of Ambiant_Electrons, 1-secondary emission from electrons of Ambiant_Electrons, 1-secondary emission from electrons of Ambiant_Electrons, 1-secondary emission from electrons of Ambiant_Electrons, 1-secondary emission from electrons of Ambiant_Electrons, 1-secondary emission from electrons of Ambiant_Electrons, 1-secondary emission from electrons of Ambiant_Electrons, 1-secondary emission from electrons of Ambiant_Electrons, 2-secondary emission from protons of Ambiant_Protons, 2-secondary emission from protons of Ambiant_Protons, 2-secondary emission from protons of Ambiant_Protons, 2-secondary emission from protons of Ambiant_Protons, 2-secondary emission from protons of Ambiant_Protons, 2-secondary emission from protons of Ambiant_Protons, 2-secondary emission from protons of Ambiant_Protons, 2-secondary emission from protons of Ambiant_Protons, 2-secondary emission from protons of Ambiant_Protons, 
#        ,   allNodes,  node0,  node1,  node2,  node3,  node4,  node5,  node6,  node7,  allNodes,  node0,  node1,  node2,  node3,  node4,  node5,  node6,  node7,  allNodes,  node0,  node1,  node2,  node3,  node4,  node5,  node6,  node7,  allNodes,  node0,  node1,  node2,  node3,  node4,  node5,  node6,  node7, 
10.004141, -0.0021625129, -2.3175827E-4, -2.0930887E-5, -6.1994924E-6, -2.2051398E-5, -2.7818118E-5, -0.0016731706, -1.5108197E-4, -2.9500978E-5, -0.0013343365, -1.6054368E-4, -2.3596427E-7, 0.0, -1.6832782E-5, -4.5787815E-6, -0.001139917, 0.0, -1.2226179E-5, -7.364571E-4, -5.857091E-5, -1.5893846E-5, -5.345604E-6, -3.6057977E-6, -1.5945318E-5, -5.1070325E-4, -1.1331443E-4, -1.3077531E-5, -9.172089E-5, -1.2643681E-5, -4.8010907E-6, -8.5388734E-7, -1.6128192E-6, -7.294006E-6, -2.2550554E-5, -3.776755E-5, -4.197274E-6, 
20.60349, -0.0021439767, -2.2894265E-4, -2.017192E-5, -5.9193235E-6, -2.2007449E-5, -2.7500926E-5, -0.0016665327, -1.4414988E-4, -2.8749677E-5, -0.0013343351, -1.6054368E-4, -2.3596422E-7, 0.0, -1.6832788E-5, -4.578784E-6, -0.0011399168, 0.0, -1.2226179E-5, -7.164413E-4, -5.5472152E-5, -1.5062854E-5, -5.050014E-6, -3.5158482E-6, -1.5539898E-5, -5.03913E-4, -1.0559474E-4, -1.2292814E-5, -9.3198665E-5, -1.2926811E-5, -4.8731154E-6, -8.693102E-7, -1.6588183E-6, -7.3822425E-6, -2.2702574E-5, -3.855512E-5, -4.230693E-6, 
30.379232, -0.0021146834, -2.2596776E-4, -1.9425395E-5, -5.7557377E-6, -2.197056E-5, -2.7179869E-5, -0.0016462787, -1.4000267E-4, -2.810268E-5, -0.0013343339, -1.6054368E-4, -2.3596435E-7, 0.0, -1.6832779E-5, -4.5787824E-6, -0.0011399165, 0.0, -1.2226179E-5, -6.835521E-4, -5.2018037E-5, -1.4143419E-5, -4.7552317E-6, -3.4054387E-6, -1.5047688E-5, -4.8314035E-4, -9.9474964E-5, -1.1567023E-5, -9.679736E-5, -1.3406053E-5, -5.0460103E-6, -1.0005061E-6, -1.7323417E-6, -7.5533994E-6, -2.3221883E-5, -4.0527688E-5, -4.3094806E-6, 
31.736023, -0.0021074319, -2.2540412E-4, -1.9286832E-5, -5.5640944E-6, -2.182346E-5, -2.7422424E-5, -0.0016419609, -1.377553E-4, -2.8215107E-5, -0.0013343339, -1.605437E-4, -2.3596435E-7, 0.0, -1.683278E-5, -4.578783E-6, -0.0011399165, 0.0, -1.2226179E-5, -6.760651E-4, -5.118316E-5, -1.3924486E-5, -4.6877726E-6, -3.3727536E-6, -1.490042E-5, -4.786247E-4, -9.7979035E-5, -1.1392788E-5, -9.7033204E-5, -1.3677245E-5, -5.126382E-6, -8.7632185E-7, -1.6179275E-6, -7.943222E-6, -2.3419694E-5, -3.977627E-5, -4.5961424E-6, 
42.584393, -0.0021023203, -2.2481897E-4, -1.9116795E-5, -5.662089E-6, -2.1896196E-5, -2.7094668E-5, -0.0016377278, -1.3801234E-4, -2.7991191E-5, -0.001334334, -1.605437E-4, -2.3596435E-7, 0.0, -1.6832779E-5, -4.578783E-6, -0.0011399165, 0.0, -1.2226179E-5, -6.6970487E-4, -5.057143E-5, -1.3770647E-5, -4.6409177E-6, -3.347069E-6, -1.4791961E-5, -4.7432727E-4, -9.698493E-5, -1.127078E-5, -9.828132E-5, -1.3703855E-5, -5.1101842E-6, -1.0211717E-6, -1.7163482E-6, -7.723922E-6, -2.3484177E-5, -4.1027415E-5, -4.494232E-6, 
54.993843, -0.002093325, -2.2387123E-4, -1.9007332E-5, -5.499513E-6, -2.1910448E-5, -2.7250773E-5, -0.0016308716, -1.3697123E-4, -2.794301E-5, -0.001334334, -1.605437E-4, -2.3596435E-7, 0.0, -1.6832779E-5, -4.578783E-6, -0.0011399165, 0.0, -1.2226179E-5, -6.584648E-4, -4.949853E-5, -1.3502886E-5, -4.5543825E-6, -3.2974378E-6, -1.4577589E-5, -4.6691205E-4, -9.507394E-5, -1.1047949E-5, -1.0052635E-4, -1.38290025E-5, -5.2684804E-6, -9.4513086E-7, -1.7802282E-6, -8.094398E-6, -2.4042938E-5, -4.1897274E-5, -4.668884E-6, 
62.179157, -0.0020874427, -2.2386693E-4, -1.9086816E-5, -5.4891457E-6, -2.1911865E-5, -2.7016287E-5, -0.0016246641, -1.375089E-4, -2.7897077E-5, -0.0013343339, -1.6054368E-4, -2.3596435E-7, 0.0, -1.6832779E-5, -4.5787824E-6, -0.0011399165, 0.0, -1.2226179E-5, -6.484854E-4, -4.8646438E-5, -1.3284193E-5, -4.479961E-6, -3.2537148E-6, -1.43753505E-5, -4.602431E-4, -9.334904E-5, -1.0853543E-5, -1.0462165E-4, -1.46768E-5, -5.566657E-6, -1.009185E-6, -1.8253729E-6, -8.062156E-6, -2.450424E-5, -4.4159868E-5, -4.817354E-6, 
74.03353, -0.0020826713, -2.2368986E-4, -1.8996127E-5, -5.471436E-6, -2.1903707E-5, -2.7217611E-5, -0.0016197923, -1.3775409E-4, -2.7845866E-5, -0.001334334, -1.605437E-4, -2.3596435E-7, 0.0, -1.6832779E-5, -4.578783E-6, -0.0011399165, 0.0, -1.2226179E-5, -6.409302E-4, -4.8079226E-5, -1.3135778E-5, -4.4283975E-6, -3.221848E-6, -1.4225783E-5, -4.5496508E-4, -9.215427E-5, -1.071971E-5, -1.07407126E-4, -1.5066948E-5, -5.624383E-6, -1.0430387E-6, -1.8490783E-6, -8.413047E-6, -2.4910782E-5, -4.559985E-5, -4.8999827E-6, 
83.55899, -0.002079092, -2.2334742E-4, -1.9120325E-5, -5.433265E-6, -2.1964688E-5, -2.7276134E-5, -0.0016161537, -1.3786923E-4, -2.7926473E-5, -0.0013343339, -1.6054368E-4, -2.3596435E-7, 0.0, -1.6832779E-5, -4.5787824E-6, -0.0011399165, 0.0, -1.2226179E-5, -6.343105E-4, -4.7471396E-5, -1.2979746E-5, -4.3702703E-6, -3.1873947E-6, -1.4063228E-5, -4.5095285E-4, -9.071444E-5, -1.0571187E-5, -1.1044703E-4, -1.5332349E-5, -5.9046133E-6, -1.0629944E-6, -1.9445138E-6, -8.63412E-6, -2.5284522E-5, -4.7154786E-5, -5.12911E-6, 
89.25104, -0.0020781837, -2.2333638E-4, -1.8832543E-5, -5.456201E-6, -2.1955651E-5, -2.7393184E-5, -0.0016142237, -1.3899956E-4, -2.7986736E-5, -0.0013343339, -1.605437E-4, -2.3596435E-7, 0.0, -1.683278E-5, -4.578783E-6, -0.0011399165, 0.0, -1.2226179E-5, -6.3164294E-4, -4.721772E-5, -1.2911707E-5, -4.3440514E-6, -3.1729146E-6, -1.3991042E-5, -4.4945322E-4, -9.004819E-5, -1.0504135E-5, -1.1220712E-4, -1.557494E-5, -5.6848735E-6, -1.1121491E-6, -1.9499548E-6, -8.823362E-6, -2.4854047E-5, -4.8951373E-5, -5.256423E-6, 
