Time (s) ,simulation time step (s)
1.1312228, -0.8307461
2.262665, -0.2679672
3.7373421, -0.087088235
5.5496845, 0.25824025
6.610322, -1.1957127
8.254903, 0.05466594
9.531274, 0.10597701
10.83122, -0.39197487
12.595933, 0.099165134
13.719194, -0.6480395
16.259329, 0.27175426
17.30838, -0.45127526
18.419722, -0.12062779
19.52654, -0.53946745
20.60349, -0.11199819
23.233717, 0.32408226
26.604877, 0.5277794
28.276464, 0.22312932
30.379232, 0.08543056
31.736023, 0.13251281
32.86372, 0.05219297
36.306305, 0.3946024
40.57954, 0.63075674
42.584393, 0.30208218
44.63579, 0.31205025
46.325375, -0.06625771
47.397793, 0.030363023
48.908012, 0.17904098
54.993843, 0.78431976
57.039314, 0.16119356
58.21652, 0.07085125
59.713753, -0.26523224
62.179157, 0.39188832
63.686367, -0.13321516
65.314285, 0.21163224
70.69576, 0.73090154
74.03353, 0.5234561
75.379776, 0.12912546
77.15162, 0.024171239
79.81105, 0.2289007
83.55899, 0.5737927
89.25104, 0.7552685
97.07921, 0.89365995
99.17541, 0.24345951
102.321465, 0.4977664
104.360405, 0.30940485
105.39156, 0.013325203
106.83292, -0.06660526
111.122, 0.63236475
112.98028, 0.2691104
115.38602, 0.15618497
122.55, 0.855155
126.77251, 0.6255695
128.33615, -0.092797846
136.41225, 0.9072022
142.59341, 0.7910696
151.36903, 0.94327813
169.59946, 1.2607967
179.2656, 0.98525304
181.3832, 0.325845
183.61205, 0.34808096
185.79802, 0.33964318
188.05115, 0.3527872
189.56155, -0.11066244
193.43687, 0.58830756
196.3429, 0.46329927
198.31296, 0.29447845
201.10338, 0.4456696
212.64473, 1.0622569
224.34773, 1.0682969
241.98785, 1.2465018
260.51187, 1.267735
262.66486, 0.08219902
264.206, 0.1878362
271.9116, 0.8868062
279.66968, 0.8897555
283.54352, 0.58814144
287.46875, 0.5938661
298.2867, 1.0341446
309.19302, 1.037678
320.75186, 1.062914
332.57407, 1.0726991
347.3159, 1.1685506
363.04065, 1.1965843
366.29727, 0.5127697
369.61078, 0.5202845
384.21808, 1.1645699
399.2076, 1.1757882
407.16855, 0.9009647
415.37927, 0.91438097
422.80576, 0.87078434
430.5317, 0.8879518
443.5159, 1.1134144
457.58667, 1.1483184
468.32144, 1.0307928
479.4181, 1.045192
493.498, 1.1485991
508.62622, 1.1797882
511.84964, 0.5083183
515.2542, 0.5320639
528.36865, 1.1177497
542.2951, 1.14384
545.13184, 0.4528223
548.0416, 0.46385774
577.1393, 1.4638578
579.4382, 0.36151695
581.85986, 0.3841223
606.07697, 1.3841223
607.1968, 0.0491423
608.355, 0.063777134
619.93677, 1.0637771
632.38696, 1.0951749
645.91327, 1.1311802
745.91327, 2.0
750.14417, 0.6264316
754.51685, 0.6407449
766.0475, 1.0618548
777.7898, 1.0697532
877.7898, 2.0
977.7898, 2.0
1077.7898, 2.0
