#    time,   elecNode0ground, elecNode0surface, elecNode1ground, elecNode1surface, elecNode2ground, elecNode2surface, elecNode3ground, elecNode3surface, elecNode4ground, elecNode4surface, elecNode5ground, elecNode5surface, elecNode6ground, elecNode6surface, elecNode7ground, elecNode7surface, 
0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
10.004141, -140.42978, -147.13565, -140.42978, -140.42973, -140.42978, -181.84787, -140.42978, -142.91188, -140.42978, -140.42972, -140.42978, 18.540434, -140.42978, -255.23685, -140.42978, -199.86417, 
20.60349, -561.10016, -575.84436, -561.10016, -561.10016, -561.10016, -669.0377, -561.10016, -540.5208, -561.10016, -561.1001, -561.10016, -282.823, -561.10016, -796.0863, -561.10016, -683.0766, 
30.379232, -838.9751, -870.68695, -838.9751, -838.97473, -838.9751, -986.00323, -838.9751, -813.6171, -838.9751, -838.9745, -838.9751, -438.63657, -838.9751, -1182.3607, -838.9751, -1017.6214, 
31.736023, -924.7943, -963.255, -924.7943, -924.79407, -924.7943, -1077.5496, -924.7943, -897.7635, -924.7943, -924.794, -924.7943, -513.15, -924.7943, -1283.0941, -924.7943, -1111.2019, 
42.584393, -1218.686, -1291.7698, -1218.686, -1218.6855, -1218.686, -1413.7982, -1218.686, -1183.6915, -1218.686, -1218.6857, -1218.686, -672.901, -1218.686, -1693.7505, -1218.686, -1467.3306, 
54.993843, -1544.9528, -1631.7167, -1544.9528, -1544.9528, -1544.9528, -1790.2411, -1544.9528, -1491.7196, -1544.9528, -1544.9521, -1544.9528, -856.37823, -1544.9528, -2148.8064, -1544.9528, -1862.2043, 
62.179157, -1904.0035, -2001.8812, -1904.0035, -1904.0033, -1904.0035, -2175.5288, -1904.0035, -1834.0242, -1904.0035, -1904.0032, -1904.0035, -1173.7285, -1904.0035, -2580.349, -1904.0035, -2261.3562, 
74.03353, -2252.0215, -2357.1504, -2252.0215, -2252.0212, -2252.0215, -2565.326, -2252.0215, -2156.8162, -2252.0215, -2252.021, -2252.0215, -1423.9752, -2252.0215, -3042.7317, -2252.0215, -2668.775, 
83.55899, -2393.53, -2510.877, -2393.53, -2393.529, -2393.53, -2741.198, -2393.53, -2277.3694, -2393.53, -2393.5298, -2393.53, -1467.0555, -2393.53, -3274.7307, -2393.53, -2857.6917, 
89.25104, -2563.352, -2682.418, -2563.352, -2563.3523, -2563.352, -2930.0034, -2563.352, -2438.1267, -2563.352, -2563.3496, -2563.352, -1588.5648, -2563.352, -3496.2603, -2563.352, -3052.6313, 
102.321465, -2875.938, -3019.108, -2875.938, -2875.938, -2875.938, -3285.6863, -2875.938, -2735.9067, -2875.938, -2875.9365, -2875.938, -1781.1613, -2875.938, -3925.2798, -2875.938, -3421.9512, 
111.122, -3184.5273, -3341.8882, -3184.5273, -3184.5276, -3184.5273, -3637.057, -3184.5273, -3022.1401, -3184.5273, -3184.5256, -3184.5273, -2040.4261, -3184.5273, -4308.7734, -3184.5273, -3767.2222, 
122.55, -3380.4934, -3534.2048, -3380.4934, -3380.4934, -3380.4934, -3865.629, -3380.4934, -3198.4402, -3380.4934, -3380.4927, -3380.4934, -2128.293, -3380.4934, -4599.1406, -3380.4934, -4009.3083, 
136.41225, -3551.7183, -3713.49, -3551.7183, -3551.718, -3551.7183, -4076.4316, -3551.7183, -3340.687, -3551.7183, -3551.7158, -3551.7183, -2160.0232, -3551.7183, -4881.417, -3551.7183, -4232.713, 
142.59341, -3717.9956, -3874.7346, -3717.9956, -3717.9958, -3717.9956, -4259.4014, -3717.9956, -3497.6284, -3717.9956, -3717.9941, -3717.9956, -2280.5073, -3717.9956, -5095.981, -3717.9956, -4421.014, 
151.36903, -3798.93, -3966.4297, -3798.93, -3798.9292, -3798.93, -4362.3022, -3798.93, -3577.2976, -3798.93, -3798.9294, -3798.93, -2273.8223, -3798.93, -5243.84, -3798.93, -4533.099, 
169.59946, -4082.173, -4216.3306, -4082.173, -4082.1729, -4082.173, -4687.086, -4082.173, -3838.4578, -4082.173, -4082.1707, -4082.173, -2407.0745, -4082.173, -5661.0225, -4082.173, -4876.8477, 
179.2656, -4232.4536, -4378.0215, -4232.4536, -4232.453, -4232.4536, -4860.517, -4232.4536, -3985.685, -4232.4536, -4232.451, -4232.4536, -2477.495, -4232.4536, -5880.6636, -4232.4536, -5058.833, 
181.3832, -4363.538, -4519.4536, -4363.538, -4363.538, -4363.538, -4996.4893, -4363.538, -4116.0522, -4363.538, -4363.5366, -4363.538, -2608.5571, -4363.538, -6026.6963, -4363.538, -5196.6724, 
189.56155, -4680.507, -4865.224, -4680.507, -4680.5083, -4680.507, -5337.1646, -4680.507, -4417.149, -4680.507, -4680.504, -4680.507, -2905.69, -4680.507, -6399.443, -4680.507, -5542.201, 
