Time (s), esn 4 surface potential difference wrt to esn ground(V)
10.442997, 4.0346495E-5
20.983475, 1.4212972E-4
32.641376, 3.256002E-4
49.23741, 2.1913923E-4
68.72825, 3.7545187E-4
79.26487, 6.89509E-4
117.57017, 3.5756652E-4
128.20407, 0.0012716936
142.90712, -3.250161E-4
210.2775, 0.0012207031
221.10936, 9.79809E-4
231.47845, 0.0014119243
322.2836, 0.0022808453
335.1345, 0.0016535635
416.29874, 0.001953125
428.19492, 0.0038913377
512.8701, 9.765625E-4
524.379, 0.0025896358
602.626, 9.765625E-4
686.9368, 0.004360947
786.9368, 0.0078125
886.9368, 0.0078125
986.9368, 0.005859375
1086.9369, 9.765625E-4
