Time (s), esn 4 average surface potential (V), esn 4 ground potential (V), esn 4 min surface potential (V), esn 4 max surface potential (V)
10.442997, -106.54769, -106.54773, -106.54773, -106.54773
20.983475, -335.3402, -335.34036, -335.34036, -335.34036
32.641376, -565.737, -565.7373, -565.7373, -565.7373
49.23741, -813.4895, -813.48975, -813.48975, -813.48975
68.72825, -1203.6919, -1203.6923, -1203.6923, -1203.6923
79.26487, -1489.901, -1489.9016, -1489.9016, -1489.9016
117.57017, -1809.0828, -1809.0831, -1809.0831, -1809.0831
128.20407, -2243.5745, -2243.5757, -2243.5757, -2243.5757
142.90712, -2516.7678, -2516.7676, -2516.7676, -2516.7676
210.2775, -2956.6418, -2956.643, -2956.643, -2956.643
221.10936, -3447.5342, -3447.5352, -3447.5352, -3447.5352
231.47845, -3715.8726, -3715.874, -3715.874, -3715.874
322.2836, -4291.3447, -4291.347, -4291.347, -4291.347
335.1345, -4873.54, -4873.542, -4873.542, -4873.542
416.29874, -5298.6533, -5298.6553, -5298.6553, -5298.6553
428.19492, -5633.141, -5633.145, -5633.145, -5633.145
512.8701, -6030.276, -6030.277, -6030.277, -6030.277
524.379, -6457.2764, -6457.279, -6457.279, -6457.279
602.626, -6868.762, -6868.763, -6868.763, -6868.763
686.9368, -7457.222, -7457.2266, -7457.2266, -7457.2266
786.9368, -7862.9536, -7862.9614, -7862.9614, -7862.9614
886.9368, -8278.124, -8278.132, -8278.132, -8278.132
986.9368, -8714.967, -8714.973, -8714.973, -8714.973
1086.9369, -9140.772, -9140.773, -9140.773, -9140.773
