Energy (in eV), backscattering yield of material bk2k-NASCAP at incidence 70.0 degree
   X,       Y
0.0, 0.0
10.0, 0.0
20.0, 0.0
30.0, 0.0
40.0, 0.0
50.0, 0.0
60.0, 0.20245476
70.0, 0.24954724
80.0, 0.27964514
90.0, 0.3017404
100.0, 0.31910524
110.0, 0.33333498
120.0, 0.34533462
130.0, 0.35566857
140.0, 0.36471307
150.0, 0.37273127
160.0, 0.37991437
170.0, 0.38640568
180.0, 0.39231506
190.0, 0.39772877
200.0, 0.4027156
210.0, 0.40733114
220.0, 0.41162124
230.0, 0.41562375
240.0, 0.4193706
250.0, 0.42288864
260.0, 0.42620096
270.0, 0.4293273
280.0, 0.4322849
290.0, 0.43508863
300.0, 0.4377516
310.0, 0.44028533
320.0, 0.44270003
330.0, 0.44500476
340.0, 0.44720772
350.0, 0.44931605
360.0, 0.45133638
370.0, 0.4532746
380.0, 0.455136
390.0, 0.45692545
400.0, 0.45864743
410.0, 0.4603059
420.0, 0.4619046
430.0, 0.46344692
440.0, 0.4649359
450.0, 0.46637455
460.0, 0.46776542
470.0, 0.469111
480.0, 0.47041363
490.0, 0.4716753
500.0, 0.4728981
510.0, 0.47408378
520.0, 0.47523406
530.0, 0.4763506
540.0, 0.4774348
550.0, 0.47848815
560.0, 0.47951195
570.0, 0.48050734
580.0, 0.48147562
590.0, 0.48241782
600.0, 0.48333496
610.0, 0.48422804
620.0, 0.48509797
630.0, 0.4859456
640.0, 0.4867718
650.0, 0.48757732
660.0, 0.4883629
670.0, 0.48912928
680.0, 0.48987705
690.0, 0.4906069
700.0, 0.49131945
710.0, 0.4920152
720.0, 0.4926948
730.0, 0.49335864
740.0, 0.49400738
750.0, 0.49464136
760.0, 0.4952611
770.0, 0.495867
780.0, 0.49645954
790.0, 0.49703908
800.0, 0.49760595
810.0, 0.4981606
820.0, 0.49870333
830.0, 0.49923447
840.0, 0.49975437
850.0, 0.50026333
860.0, 0.5007617
870.0, 0.5012497
880.0, 0.5017276
890.0, 0.50219566
900.0, 0.5026542
910.0, 0.50310344
920.0, 0.5035436
930.0, 0.5039749
940.0, 0.5043976
950.0, 0.5048118
960.0, 0.5052179
970.0, 0.505616
980.0, 0.50600624
990.0, 0.50638884
1000.0, 0.506764
1010.0, 0.50655705
1020.0, 0.5063504
1030.0, 0.5061439
