Energy (in eV), backscattering yield of material gr2k-NASCAP at incidence 0.0 degree
   X,       Y
0.0, 0.0
10.0, 0.0
20.0, 0.0
30.0, 0.0
40.0, 0.0
50.0, 0.0
60.0, 0.010021283
70.0, 0.018471979
80.0, 0.025771804
90.0, 0.03219164
100.0, 0.037916582
110.0, 0.043078702
120.0, 0.047775596
130.0, 0.05208142
140.0, 0.05605387
150.0, 0.05973869
160.0, 0.06317278
170.0, 0.06638637
180.0, 0.069404475
190.0, 0.07224809
200.0, 0.07493499
210.0, 0.07748033
220.0, 0.07989721
230.0, 0.08219691
240.0, 0.084389366
250.0, 0.086483225
260.0, 0.08848615
270.0, 0.090404965
280.0, 0.092245705
290.0, 0.094013825
300.0, 0.095714174
310.0, 0.09735118
320.0, 0.09892881
330.0, 0.10045068
340.0, 0.10192011
350.0, 0.10334008
360.0, 0.10471337
370.0, 0.10604253
380.0, 0.10732984
390.0, 0.108577475
400.0, 0.109787464
410.0, 0.1109616
420.0, 0.11210162
430.0, 0.11320911
440.0, 0.114285536
450.0, 0.11533233
460.0, 0.11635071
470.0, 0.11734194
480.0, 0.11830717
490.0, 0.11924743
500.0, 0.120163724
510.0, 0.121057004
520.0, 0.12192815
530.0, 0.12277801
540.0, 0.12360736
550.0, 0.12441696
560.0, 0.12520754
570.0, 0.1259797
580.0, 0.12673418
590.0, 0.12747149
600.0, 0.12819226
610.0, 0.12889701
620.0, 0.12958626
630.0, 0.13026053
640.0, 0.13092026
650.0, 0.13156593
660.0, 0.13219795
670.0, 0.13281673
680.0, 0.13342267
690.0, 0.13401616
700.0, 0.13459753
710.0, 0.13516712
720.0, 0.1357253
730.0, 0.13627234
740.0, 0.13680862
750.0, 0.13733435
760.0, 0.13784984
770.0, 0.13835534
780.0, 0.13885118
790.0, 0.13933754
800.0, 0.13981467
810.0, 0.14028284
820.0, 0.14074223
830.0, 0.14119306
840.0, 0.14163557
850.0, 0.14206992
860.0, 0.14249635
870.0, 0.14291498
880.0, 0.14332607
890.0, 0.14372973
900.0, 0.14412618
910.0, 0.14451553
920.0, 0.14489797
930.0, 0.14527366
940.0, 0.1456427
950.0, 0.1460053
960.0, 0.14636157
970.0, 0.14671165
980.0, 0.14705564
990.0, 0.1473937
1000.0, 0.14772594
1010.0, 0.14756237
1020.0, 0.14739911
1030.0, 0.14723618
