Energy (in eV), backscattering yield of material sc2k-NASCAP at incidence 50.000004 degree
   X,       Y
0.0, 0.6404742
10.0, 0.33677712
20.0, 0.17708568
30.0, 0.09311601
40.0, 0.04896269
50.0, 0.025745787
60.0, 0.06368399
70.0, 0.08994255
80.0, 0.11040723
90.0, 0.12709753
100.0, 0.14112511
110.0, 0.15318404
120.0, 0.1637349
130.0, 0.17309672
140.0, 0.18149836
150.0, 0.18910903
160.0, 0.19605711
170.0, 0.20244235
180.0, 0.20834358
190.0, 0.21382435
200.0, 0.21893652
210.0, 0.22372296
220.0, 0.22821961
230.0, 0.23245677
240.0, 0.2364603
250.0, 0.24025242
260.0, 0.24385232
270.0, 0.24727677
280.0, 0.25054044
290.0, 0.25365624
300.0, 0.25663567
310.0, 0.25948885
320.0, 0.26222497
330.0, 0.2648521
340.0, 0.26737767
350.0, 0.26980826
360.0, 0.27214995
370.0, 0.2744082
380.0, 0.2765879
390.0, 0.27869377
400.0, 0.2807299
410.0, 0.28270012
420.0, 0.28460804
430.0, 0.28645688
440.0, 0.28824964
450.0, 0.28998917
460.0, 0.29167798
470.0, 0.2933186
480.0, 0.2949132
490.0, 0.29646394
500.0, 0.29797268
510.0, 0.29944134
520.0, 0.30087158
530.0, 0.3022651
540.0, 0.30362332
550.0, 0.3049477
560.0, 0.3062396
570.0, 0.30750027
580.0, 0.3087309
590.0, 0.30993262
600.0, 0.3111065
610.0, 0.31225356
620.0, 0.31337473
630.0, 0.31447095
640.0, 0.31554306
650.0, 0.3165919
660.0, 0.31761825
670.0, 0.3186228
680.0, 0.31960633
690.0, 0.32056946
700.0, 0.32151288
710.0, 0.32243714
720.0, 0.3233429
730.0, 0.32423064
740.0, 0.325101
750.0, 0.32595438
760.0, 0.32679135
770.0, 0.3276123
780.0, 0.32841778
790.0, 0.3292082
800.0, 0.32998395
810.0, 0.3307454
820.0, 0.33149296
830.0, 0.33222705
840.0, 0.33294794
850.0, 0.33365604
860.0, 0.33435163
870.0, 0.33503506
880.0, 0.33570665
890.0, 0.3363666
900.0, 0.3370153
910.0, 0.33765298
920.0, 0.33827993
930.0, 0.3388964
940.0, 0.33950254
950.0, 0.34009874
960.0, 0.34068513
970.0, 0.34126198
980.0, 0.34182954
990.0, 0.3423879
1000.0, 0.34293735
1010.0, 0.34274673
1020.0, 0.34255642
1030.0, 0.34236646
1040.0, 0.3421768
1050.0, 0.3419875
1060.0, 0.34179845
1070.0, 0.34160978
1080.0, 0.3414214
1090.0, 0.34123334
1100.0, 0.3410456
1110.0, 0.3408582
1120.0, 0.3406711
1130.0, 0.3404843
1140.0, 0.34029782
1150.0, 0.3401117
1160.0, 0.33992586
1170.0, 0.33974034
1180.0, 0.3395551
1190.0, 0.33937022
1200.0, 0.33918566
1210.0, 0.3390014
1220.0, 0.33881742
1230.0, 0.33863378
1240.0, 0.33845046
1250.0, 0.33826745
1260.0, 0.33808473
1270.0, 0.33790234
1280.0, 0.33772025
1290.0, 0.33753848
1300.0, 0.33735698
1310.0, 0.33717585
1320.0, 0.33699498
1330.0, 0.33681443
1340.0, 0.33663422
1350.0, 0.33645427
1360.0, 0.33627465
1370.0, 0.33609533
1380.0, 0.3359163
1390.0, 0.33573762
1400.0, 0.33555922
1410.0, 0.3353811
1420.0, 0.3352033
1430.0, 0.33502582
1440.0, 0.3348486
1450.0, 0.33467174
1460.0, 0.33449516
1470.0, 0.33431885
1480.0, 0.33414286
1490.0, 0.33396718
1500.0, 0.3337918
1510.0, 0.3336167
1520.0, 0.3334419
1530.0, 0.33326742
1540.0, 0.33309323
1550.0, 0.33291933
1560.0, 0.33274576
1570.0, 0.33257243
1580.0, 0.33239943
1590.0, 0.33222672
1600.0, 0.33205432
1610.0, 0.3318822
1620.0, 0.33171037
1630.0, 0.33153883
1640.0, 0.3313676
1650.0, 0.33119667
1660.0, 0.33102602
1670.0, 0.33085564
1680.0, 0.3306856
1690.0, 0.3305158
1700.0, 0.33034635
1710.0, 0.33017713
1720.0, 0.33000824
1730.0, 0.32983962
1740.0, 0.3296713
1750.0, 0.32950327
1760.0, 0.3293355
1770.0, 0.32916805
1780.0, 0.32900086
1790.0, 0.328834
1800.0, 0.32866737
1810.0, 0.32850108
1820.0, 0.32833505
1830.0, 0.3281693
1840.0, 0.32800385
1850.0, 0.32783866
1860.0, 0.3276738
1870.0, 0.32750916
1880.0, 0.32734483
1890.0, 0.3271808
1900.0, 0.32701704
1910.0, 0.32685357
1920.0, 0.32669038
1930.0, 0.32652748
1940.0, 0.32636482
1950.0, 0.32620248
1960.0, 0.3260404
1970.0, 0.3258786
1980.0, 0.3257171
1990.0, 0.32555583
2000.0, 0.32539487
2010.0, 0.3252342
2020.0, 0.3250738
2030.0, 0.32491368
2040.0, 0.32475382
2050.0, 0.32459423
2060.0, 0.32443494
2070.0, 0.3242759
2080.0, 0.32411715
2090.0, 0.32395867
2100.0, 0.32380047
2110.0, 0.32364252
2120.0, 0.32348487
2130.0, 0.32332748
2140.0, 0.3231704
2150.0, 0.32301354
2160.0, 0.32285696
2170.0, 0.32270065
2180.0, 0.32254463
2190.0, 0.3223889
2200.0, 0.32223338
2210.0, 0.32207817
2220.0, 0.3219232
2230.0, 0.32176852
2240.0, 0.32161412
2250.0, 0.32145995
2260.0, 0.32130608
2270.0, 0.32115245
2280.0, 0.32099912
2290.0, 0.32084602
2300.0, 0.32069322
2310.0, 0.32054064
2320.0, 0.32038838
2330.0, 0.32023636
2340.0, 0.32008457
2350.0, 0.3199331
2360.0, 0.31978184
2370.0, 0.31963086
2380.0, 0.31948015
2390.0, 0.3193297
2400.0, 0.31917953
2410.0, 0.3190296
2420.0, 0.31887993
2430.0, 0.31873053
2440.0, 0.31858137
2450.0, 0.3184325
2460.0, 0.3182839
2470.0, 0.3181355
2480.0, 0.31798738
2490.0, 0.31783953
2500.0, 0.31769192
2510.0, 0.3175446
2520.0, 0.3173975
2530.0, 0.3172507
2540.0, 0.3171041
2550.0, 0.3169578
2560.0, 0.31681174
2570.0, 0.31666592
2580.0, 0.3165204
2590.0, 0.31637508
2600.0, 0.31623003
2610.0, 0.31608525
2620.0, 0.3159407
2630.0, 0.31579643
2640.0, 0.31565237
2650.0, 0.3155086
2660.0, 0.31536508
2670.0, 0.3152218
2680.0, 0.31507874
2690.0, 0.31493595
2700.0, 0.31479344
2710.0, 0.31465113
2720.0, 0.3145091
2730.0, 0.31436732
2740.0, 0.3142258
2750.0, 0.31408447
2760.0, 0.31394345
2770.0, 0.31380266
2780.0, 0.31366208
2790.0, 0.31352177
2800.0, 0.31338173
2810.0, 0.3132419
2820.0, 0.31310233
2830.0, 0.312963
2840.0, 0.31282392
2850.0, 0.3126851
2860.0, 0.3125465
2870.0, 0.31240815
2880.0, 0.31227005
2890.0, 0.31213215
2900.0, 0.31199452
2910.0, 0.31185716
2920.0, 0.31171998
2930.0, 0.3115831
2940.0, 0.31144646
2950.0, 0.31131002
2960.0, 0.31117383
2970.0, 0.3110379
2980.0, 0.31090218
2990.0, 0.31076673
3000.0, 0.31063148
3010.0, 0.3104965
3020.0, 0.31036174
3030.0, 0.31022722
3040.0, 0.31009293
3050.0, 0.3099589
3060.0, 0.30982506
3070.0, 0.3096915
3080.0, 0.30955815
3090.0, 0.30942506
3100.0, 0.3092922
3110.0, 0.30915955
3120.0, 0.30902714
3130.0, 0.30889496
3140.0, 0.30876303
3150.0, 0.30863133
3160.0, 0.30849987
3170.0, 0.30836862
3180.0, 0.30823758
3190.0, 0.30810684
3200.0, 0.30797628
3210.0, 0.30784595
3220.0, 0.30771586
3230.0, 0.30758598
3240.0, 0.30745637
3250.0, 0.30732697
3260.0, 0.30719778
3270.0, 0.30706885
3280.0, 0.3069401
3290.0, 0.30681163
3300.0, 0.30668336
3310.0, 0.30655533
3320.0, 0.30642754
3330.0, 0.30629995
3340.0, 0.30617258
3350.0, 0.30604544
3360.0, 0.30591854
3370.0, 0.30579185
3380.0, 0.3056654
3390.0, 0.30553913
3400.0, 0.30541313
3410.0, 0.30528733
3420.0, 0.30516177
3430.0, 0.30503643
3440.0, 0.30491132
3450.0, 0.30478638
3460.0, 0.3046617
3470.0, 0.30453727
3480.0, 0.304413
3490.0, 0.30428898
3500.0, 0.30416518
3510.0, 0.3040416
3520.0, 0.30391824
3530.0, 0.3037951
3540.0, 0.30367216
3550.0, 0.30354947
3560.0, 0.30342698
3570.0, 0.3033047
3580.0, 0.30318263
3590.0, 0.3030608
3600.0, 0.30293918
3610.0, 0.30281776
3620.0, 0.3026966
3630.0, 0.30257562
3640.0, 0.30245486
3650.0, 0.3023343
3660.0, 0.30221397
3670.0, 0.30209386
3680.0, 0.30197394
3690.0, 0.30185425
3700.0, 0.30173478
3710.0, 0.3016155
3720.0, 0.30149645
3730.0, 0.3013776
3740.0, 0.30125898
3750.0, 0.30114058
3760.0, 0.30102235
3770.0, 0.30090436
3780.0, 0.30078655
3790.0, 0.30066898
3800.0, 0.30055162
3810.0, 0.30043444
3820.0, 0.3003175
3830.0, 0.30020076
3840.0, 0.30008423
3850.0, 0.2999679
3860.0, 0.2998518
3870.0, 0.29973587
3880.0, 0.29962015
3890.0, 0.29950467
3900.0, 0.29938936
3910.0, 0.2992743
3920.0, 0.2991594
3930.0, 0.29904473
3940.0, 0.29893026
3950.0, 0.298816
3960.0, 0.2987019
3970.0, 0.29858807
3980.0, 0.2984744
3990.0, 0.29836094
4000.0, 0.2982477
4010.0, 0.29813465
4020.0, 0.29802182
4030.0, 0.29790917
4040.0, 0.29779673
4050.0, 0.2976845
4060.0, 0.29757243
4070.0, 0.29746062
4080.0, 0.29734895
4090.0, 0.29723752
4100.0, 0.2971263
4110.0, 0.29701525
4120.0, 0.29690439
4130.0, 0.29679376
4140.0, 0.2966833
4150.0, 0.29657304
4160.0, 0.296463
4170.0, 0.29635316
4180.0, 0.2962435
4190.0, 0.29613402
4200.0, 0.29602477
4210.0, 0.29591572
4220.0, 0.29580685
4230.0, 0.29569817
4240.0, 0.29558966
4250.0, 0.29548138
4260.0, 0.2953733
4270.0, 0.29526538
4280.0, 0.29515767
4290.0, 0.29505017
4300.0, 0.29494286
4310.0, 0.29483575
4320.0, 0.29472882
4330.0, 0.29462206
4340.0, 0.29451552
4350.0, 0.29440916
4360.0, 0.294303
4370.0, 0.294197
4380.0, 0.29409122
4390.0, 0.29398564
4400.0, 0.29388022
4410.0, 0.29377502
4420.0, 0.29367
4430.0, 0.29356515
4440.0, 0.2934605
4450.0, 0.29335606
4460.0, 0.29325178
4470.0, 0.29314768
4480.0, 0.2930438
4490.0, 0.29294008
4500.0, 0.29283658
4510.0, 0.29273322
4520.0, 0.29263008
4530.0, 0.2925271
4540.0, 0.29242432
4550.0, 0.29232174
4560.0, 0.29221934
4570.0, 0.29211712
4580.0, 0.29201508
4590.0, 0.2919132
4600.0, 0.29181156
4610.0, 0.29171005
4620.0, 0.29160878
4630.0, 0.29150763
4640.0, 0.2914067
4650.0, 0.29130596
4660.0, 0.29120538
4670.0, 0.29110497
4680.0, 0.29100478
4690.0, 0.29090473
4700.0, 0.2908049
4710.0, 0.29070523
4720.0, 0.29060572
4730.0, 0.29050642
4740.0, 0.2904073
4750.0, 0.29030836
4760.0, 0.29020956
4770.0, 0.29011098
4780.0, 0.29001257
4790.0, 0.28991434
4800.0, 0.28981626
4810.0, 0.2897184
4820.0, 0.2896207
4830.0, 0.28952315
4840.0, 0.28942582
4850.0, 0.28932866
4860.0, 0.28923166
4870.0, 0.28913483
4880.0, 0.28903818
4890.0, 0.2889417
4900.0, 0.28884542
4910.0, 0.2887493
4920.0, 0.28865334
4930.0, 0.2885576
4940.0, 0.28846198
4950.0, 0.28836656
4960.0, 0.2882713
4970.0, 0.28817624
4980.0, 0.28808132
4990.0, 0.28798658
5000.0, 0.28789204
5010.0, 0.28779763
5020.0, 0.28770342
5030.0, 0.28760937
5040.0, 0.2875155
5050.0, 0.2874218
5060.0, 0.28732824
5070.0, 0.2872349
5080.0, 0.28714168
5090.0, 0.28704867
5100.0, 0.2869558
5110.0, 0.28686312
5120.0, 0.28677058
5130.0, 0.28667822
5140.0, 0.28658605
5150.0, 0.28649405
5160.0, 0.2864022
5170.0, 0.28631052
5180.0, 0.286219
5190.0, 0.28612766
5200.0, 0.28603646
5210.0, 0.28594548
5220.0, 0.2858546
5230.0, 0.28576392
5240.0, 0.2856734
5250.0, 0.28558305
5260.0, 0.28549287
5270.0, 0.28540283
5280.0, 0.28531298
5290.0, 0.28522328
5300.0, 0.28513375
5310.0, 0.28504437
5320.0, 0.28495517
5330.0, 0.28486612
5340.0, 0.28477722
5350.0, 0.28468853
5360.0, 0.28459996
5370.0, 0.28451157
5380.0, 0.28442332
5390.0, 0.28433526
5400.0, 0.28424737
5410.0, 0.2841596
5420.0, 0.284072
5430.0, 0.28398457
5440.0, 0.2838973
5450.0, 0.28381017
5460.0, 0.28372324
5470.0, 0.28363645
5480.0, 0.28354982
5490.0, 0.28346333
5500.0, 0.28337702
5510.0, 0.28329086
5520.0, 0.28320485
5530.0, 0.283119
5540.0, 0.2830333
5550.0, 0.28294778
5560.0, 0.28286242
5570.0, 0.2827772
5580.0, 0.2826921
5590.0, 0.28260723
5600.0, 0.28252247
5610.0, 0.2824379
5620.0, 0.28235343
5630.0, 0.28226915
5640.0, 0.282185
5650.0, 0.28210104
5660.0, 0.2820172
5670.0, 0.28193352
5680.0, 0.28185
5690.0, 0.28176665
5700.0, 0.28168344
5710.0, 0.2816004
5720.0, 0.28151748
5730.0, 0.2814347
5740.0, 0.2813521
5750.0, 0.28126967
5760.0, 0.2811874
5770.0, 0.28110522
5780.0, 0.28102323
5790.0, 0.2809414
5800.0, 0.28085968
5810.0, 0.28077814
5820.0, 0.28069675
5830.0, 0.28061548
5840.0, 0.2805344
5850.0, 0.28045344
5860.0, 0.28037265
5870.0, 0.280292
5880.0, 0.28021148
5890.0, 0.28013113
5900.0, 0.28005093
5910.0, 0.27997085
5920.0, 0.27989095
5930.0, 0.2798112
5940.0, 0.27973157
5950.0, 0.2796521
5960.0, 0.27957278
5970.0, 0.2794936
5980.0, 0.27941456
5990.0, 0.27933568
6000.0, 0.27925694
6010.0, 0.27917832
6020.0, 0.27909988
6030.0, 0.2790216
6040.0, 0.2789434
6050.0, 0.2788654
6060.0, 0.27878752
6070.0, 0.27870977
6080.0, 0.2786322
6090.0, 0.27855474
6100.0, 0.27847743
6110.0, 0.27840027
6120.0, 0.27832326
6130.0, 0.27824637
6140.0, 0.27816963
6150.0, 0.27809304
6160.0, 0.2780166
6170.0, 0.2779403
6180.0, 0.2778641
6190.0, 0.27778807
6200.0, 0.2777122
6210.0, 0.27763644
6220.0, 0.27756083
6230.0, 0.27748537
6240.0, 0.27741003
6250.0, 0.27733484
6260.0, 0.2772598
6270.0, 0.27718487
6280.0, 0.2771101
6290.0, 0.27703547
6300.0, 0.27696097
6310.0, 0.2768866
6320.0, 0.2768124
6330.0, 0.27673832
6340.0, 0.27666435
6350.0, 0.27659053
6360.0, 0.27651685
6370.0, 0.2764433
6380.0, 0.27636993
6390.0, 0.27629665
6400.0, 0.27622354
6410.0, 0.27615052
6420.0, 0.27607766
6430.0, 0.27600494
6440.0, 0.27593234
6450.0, 0.2758599
6460.0, 0.27578756
6470.0, 0.27571535
6480.0, 0.27564332
6490.0, 0.27557138
6500.0, 0.2754996
6510.0, 0.27542794
6520.0, 0.27535644
6530.0, 0.27528504
6540.0, 0.27521378
6550.0, 0.27514267
6560.0, 0.27507165
6570.0, 0.27500078
6580.0, 0.27493006
6590.0, 0.27485946
6600.0, 0.27478898
6610.0, 0.27471867
6620.0, 0.27464846
6630.0, 0.27457836
6640.0, 0.27450845
6650.0, 0.27443862
6660.0, 0.2743689
6670.0, 0.27429935
6680.0, 0.27422994
6690.0, 0.27416062
6700.0, 0.27409145
6710.0, 0.27402243
6720.0, 0.2739535
6730.0, 0.27388474
6740.0, 0.27381608
6750.0, 0.27374753
6760.0, 0.27367914
6770.0, 0.27361086
6780.0, 0.27354273
6790.0, 0.2734747
6800.0, 0.2734068
6810.0, 0.27333903
6820.0, 0.27327138
6830.0, 0.27320388
6840.0, 0.2731365
6850.0, 0.2730692
6860.0, 0.2730021
6870.0, 0.27293506
6880.0, 0.27286816
6890.0, 0.2728014
6900.0, 0.27273476
6910.0, 0.27266824
6920.0, 0.27260184
