Energy (in eV), backscattering yield of material te2k-NASCAP at incidence 80.0 degree
   X,       Y
0.0, 0.88659793
10.0, 0.7452677
20.0, 0.6264666
30.0, 0.52660316
40.0, 0.44265875
50.0, 0.3720957
60.0, 0.46327424
70.0, 0.50745755
80.0, 0.536106
90.0, 0.5568089
100.0, 0.5727462
110.0, 0.5855513
120.0, 0.59616375
130.0, 0.60516775
140.0, 0.6129479
150.0, 0.61976933
160.0, 0.62582165
170.0, 0.631245
180.0, 0.6361453
190.0, 0.6406045
200.0, 0.6446875
210.0, 0.64844596
220.0, 0.65192217
230.0, 0.6551508
240.0, 0.6581606
250.0, 0.66097605
260.0, 0.66361755
270.0, 0.6661027
280.0, 0.6684467
290.0, 0.67066264
300.0, 0.67276186
310.0, 0.67475444
320.0, 0.6766492
330.0, 0.678454
340.0, 0.68017566
350.0, 0.6818204
360.0, 0.6833939
370.0, 0.684901
380.0, 0.6863463
390.0, 0.6877338
400.0, 0.6890673
410.0, 0.6903501
420.0, 0.6915853
430.0, 0.6927757
440.0, 0.6939239
450.0, 0.69503224
460.0, 0.6961029
470.0, 0.69713795
480.0, 0.69813925
490.0, 0.6991085
500.0, 0.70004725
510.0, 0.70095706
520.0, 0.70183927
530.0, 0.70269525
540.0, 0.70352614
550.0, 0.7043331
560.0, 0.7051172
570.0, 0.7058794
580.0, 0.70662063
590.0, 0.7073418
600.0, 0.7080437
610.0, 0.7087271
620.0, 0.70939285
630.0, 0.71004146
640.0, 0.7106737
650.0, 0.7112901
660.0, 0.71189135
670.0, 0.7124779
680.0, 0.7130504
690.0, 0.7136093
700.0, 0.714155
710.0, 0.714688
720.0, 0.71520877
730.0, 0.7157176
740.0, 0.7162151
750.0, 0.7167014
760.0, 0.717177
770.0, 0.7176421
780.0, 0.7180972
790.0, 0.7185426
800.0, 0.7189784
810.0, 0.7194051
820.0, 0.7198228
830.0, 0.7202319
840.0, 0.7206326
850.0, 0.7210251
860.0, 0.7214097
870.0, 0.7217865
880.0, 0.7221558
890.0, 0.72251785
900.0, 0.72287273
910.0, 0.72322077
920.0, 0.723562
930.0, 0.7238967
940.0, 0.724225
950.0, 0.724547
960.0, 0.724863
970.0, 0.72517306
980.0, 0.72547734
990.0, 0.725776
1000.0, 0.7260691
1010.0, 0.72593874
1020.0, 0.72580856
1030.0, 0.7256785
1040.0, 0.72554857
1050.0, 0.7254188
1060.0, 0.72528917
1070.0, 0.7251597
1080.0, 0.72503036
1090.0, 0.7249012
1100.0, 0.72477216
1110.0, 0.7246433
1120.0, 0.72451454
1130.0, 0.724386
1140.0, 0.7242575
1150.0, 0.72412926
1160.0, 0.72400117
1170.0, 0.72387314
1180.0, 0.72374535
1190.0, 0.7236176
1200.0, 0.7234901
1210.0, 0.7233627
1220.0, 0.7232354
1230.0, 0.72310835
1240.0, 0.7229814
1250.0, 0.7228546
1260.0, 0.72272795
1270.0, 0.7226014
1280.0, 0.72247505
1290.0, 0.72234887
1300.0, 0.7222228
1310.0, 0.72209686
1320.0, 0.7219711
1330.0, 0.7218455
1340.0, 0.72172004
1350.0, 0.7215947
1360.0, 0.7214695
1370.0, 0.7213445
1380.0, 0.7212196
1390.0, 0.72109485
1400.0, 0.7209703
1410.0, 0.7208458
1420.0, 0.72072154
1430.0, 0.7205974
1440.0, 0.72047335
1450.0, 0.7203495
1460.0, 0.7202258
1470.0, 0.7201022
1480.0, 0.7199788
1490.0, 0.71985555
1500.0, 0.7197324
1510.0, 0.71960944
1520.0, 0.7194866
