Energy (in eV), backscattering yield of material te2k-NASCAP at isotropic incidence
   X,       Y
0.0, 0.63867396
10.0, 0.35205287
20.0, 0.20683554
30.0, 0.12950352
40.0, 0.08606911
50.0, 0.06031428
60.0, 0.095280185
70.0, 0.118127644
80.0, 0.13551481
90.0, 0.14950544
100.0, 0.1611625
110.0, 0.17112383
120.0, 0.17980199
130.0, 0.18747745
140.0, 0.1943488
150.0, 0.20056112
160.0, 0.20622373
170.0, 0.2114208
180.0, 0.21621864
190.0, 0.22067031
200.0, 0.22481908
210.0, 0.22870052
220.0, 0.23234442
230.0, 0.23577574
240.0, 0.23901588
250.0, 0.24208312
260.0, 0.24499318
270.0, 0.24775992
280.0, 0.2503953
290.0, 0.25290993
300.0, 0.2553132
310.0, 0.2576134
320.0, 0.25981805
330.0, 0.26193377
340.0, 0.2639666
350.0, 0.2659219
360.0, 0.26780462
370.0, 0.26961926
380.0, 0.27136984
390.0, 0.27306008
400.0, 0.27469343
410.0, 0.27627298
420.0, 0.27780166
430.0, 0.27928212
440.0, 0.2807168
450.0, 0.28210795
460.0, 0.28345776
470.0, 0.28476813
480.0, 0.28604096
490.0, 0.2872779
500.0, 0.28848058
510.0, 0.28965047
520.0, 0.290789
530.0, 0.29189745
540.0, 0.29297706
550.0, 0.29402906
560.0, 0.29505444
570.0, 0.29605427
580.0, 0.29702955
590.0, 0.29798117
600.0, 0.29891002
610.0, 0.29981694
620.0, 0.30070266
630.0, 0.3015679
640.0, 0.3024135
650.0, 0.30324
660.0, 0.30404803
670.0, 0.3048383
680.0, 0.3056113
690.0, 0.3063676
700.0, 0.30710778
710.0, 0.3078322
720.0, 0.3085415
730.0, 0.30923605
740.0, 0.30991635
750.0, 0.31058267
760.0, 0.31123558
770.0, 0.31187537
780.0, 0.31250247
790.0, 0.3131172
800.0, 0.3137199
810.0, 0.3143109
820.0, 0.3148905
830.0, 0.315459
840.0, 0.31601673
850.0, 0.31656393
860.0, 0.3171009
870.0, 0.31762785
880.0, 0.31814507
890.0, 0.31865278
900.0, 0.31915128
910.0, 0.31964067
920.0, 0.3201213
930.0, 0.32059327
940.0, 0.3210568
950.0, 0.32151216
960.0, 0.32195947
970.0, 0.32239896
980.0, 0.32283077
990.0, 0.32325503
1000.0, 0.32367203
1010.0, 0.3234865
1020.0, 0.32330132
1030.0, 0.32311645
1040.0, 0.32293186
1050.0, 0.3227476
1060.0, 0.32256365
1070.0, 0.32237998
1080.0, 0.3221966
1090.0, 0.32201353
1100.0, 0.3218308
1110.0, 0.32164836
1120.0, 0.3214662
