Time s, Total volumic energy [kinetic plus potential]m-3.eV
10.442997, 17.46759
20.983475, 1141894.0
32.641376, 721536.56
49.23741, 736498.06
68.72825, 1246366.6
79.26487, 2764443.2
117.57017, 340618.4
128.20407, 1249326.0
142.90712, 8.8033016E7
210.2775, 2.7001312E8
221.10936, 1566792.2
231.47845, 1.9382472E8
322.2836, 1819600.6
335.1345, 1518397.6
416.29874, 2.80964128E8
428.19492, 5065771.0
512.8701, 1.9405736E8
524.379, 4220749.0
602.626, 2.12107328E8
686.9368, 1124804.0
786.9368, 1.89017648E8
886.9368, 1.77360864E8
986.9368, 1.56277136E8
1086.9369, 1.8417992E8
