Time s, Total volumic energy [kinetic plus potential]m-3.eV
10.442997, 0.0
20.983475, 271493.62
32.641376, 2992821.0
49.23741, 767187.94
68.72825, 1783932.9
79.26487, 2064678.9
117.57017, 128396.96
128.20407, 4788476.0
142.90712, 6.7892904E7
210.2775, 3.7360664E7
221.10936, 3795851.2
231.47845, 1.34514496E8
322.2836, 1333948.4
335.1345, 2473274.5
416.29874, 9.38692E7
428.19492, 2458379.2
512.8701, 1.45542592E8
524.379, 6574194.0
602.626, 2.345E8
686.9368, 474185.56
786.9368, 4.2940924E7
886.9368, 2.99515072E8
986.9368, 3.4184304E7
1086.9369, 3.7209068E7
