Time s, Total volumic energy [kinetic plus potential]m-3.eV
10.442997, 0.0
20.983475, 574268.94
32.641376, 377705.94
49.23741, 416463.06
68.72825, 631560.9
79.26487, 1417423.5
117.57017, 196102.7
128.20407, 1044613.9
142.90712, 3.6596204E7
210.2775, 9.8814168E7
221.10936, 1137935.2
231.47845, 7.9559344E7
322.2836, 818722.9
335.1345, 1055322.0
416.29874, 1.18589568E8
428.19492, 2683323.8
512.8701, 8.0902112E7
524.379, 2161177.0
602.626, 7.5507488E7
686.9368, 487152.06
786.9368, 7.0254368E7
886.9368, 6.9878864E7
986.9368, 6.868396E7
1086.9369, 6.1675808E7
