Time s, Total volumic energy [kinetic plus potential]m-3.eV
10.442997, 0.0
20.983475, 38940.8
32.641376, 29781.133
49.23741, 38808.45
68.72825, 63286.9
79.26487, 145432.83
117.57017, 17098.24
128.20407, 121851.016
142.90712, 3421535.5
210.2775, 7917247.0
221.10936, 179044.11
231.47845, 8048795.5
322.2836, 89177.69
335.1345, 190796.61
416.29874, 1.171263E7
428.19492, 460605.78
512.8701, 1.2385911E7
524.379, 432276.28
602.626, 1.2806278E7
686.9368, 89429.97
786.9368, 1.5801877E7
886.9368, 1.4314164E7
986.9368, 1.450711E7
1086.9369, 1.5420757E7
