Time s, total number of superparticles-
10.442997, 99379.445
20.983475, 40242.984
32.641376, 29735.389
49.23741, 23819.434
68.72825, 19706.967
79.26487, 17088.287
117.57017, 15671.1
128.20407, 12119.387
142.90712, 12868.046
210.2775, 12385.0
221.10936, 9404.301
231.47845, 9769.087
322.2836, 9384.072
335.1345, 7997.3325
416.29874, 8034.0
428.19492, 6837.2383
512.8701, 6914.0
524.379, 6560.5684
602.626, 6628.0
686.9368, 5873.245
786.9368, 5785.0
886.9368, 5341.0
986.9368, 5145.0
1086.9369, 4968.0
