Energy (in eV), SEEE yield of material bk2k-NASCAP at incidence 90.0 degree
   X,       Y
0.0, 0.0
10.0, 0.36361098
20.0, 0.7034618
30.0, 1.0226024
40.0, 1.3212225
50.0, 1.5991218
60.0, 1.8561068
70.0, 2.0921152
80.0, 2.3072567
90.0, 2.5018198
100.0, 2.676266
110.0, 2.8312113
120.0, 2.9674077
130.0, 3.085723
140.0, 3.1871142
150.0, 3.272608
160.0, 3.3432796
170.0, 3.400229
180.0, 3.444569
190.0, 3.4774058
200.0, 3.4998212
210.0, 3.51287
220.0, 3.517561
230.0, 3.514854
240.0, 3.5056539
250.0, 3.4908059
260.0, 3.4710906
270.0, 3.4472287
280.0, 3.4198742
290.0, 3.3896213
300.0, 3.3570023
310.0, 3.3224926
320.0, 3.2865129
330.0, 3.2494328
340.0, 3.211576
350.0, 3.1732197
360.0, 3.1346033
370.0, 3.0959313
380.0, 3.0573742
390.0, 3.0190754
400.0, 2.9811516
410.0, 2.9436984
420.0, 2.9067922
430.0, 2.870492
440.0, 2.8348432
450.0, 2.7998776
460.0, 2.7656193
470.0, 2.732082
480.0, 2.6992717
490.0, 2.6671908
500.0, 2.6358345
510.0, 2.6051958
520.0, 2.5752637
530.0, 2.5460258
540.0, 2.5174677
550.0, 2.4895728
560.0, 2.462325
570.0, 2.4357069
580.0, 2.4097006
590.0, 2.384288
600.0, 2.3594527
610.0, 2.335176
620.0, 2.311441
630.0, 2.2882314
640.0, 2.2655303
650.0, 2.2433221
660.0, 2.2215912
670.0, 2.2003229
680.0, 2.1795027
690.0, 2.1591165
700.0, 2.1391516
710.0, 2.119594
720.0, 2.1004322
730.0, 2.0816536
740.0, 2.0632472
750.0, 2.0452015
760.0, 2.027506
770.0, 2.010151
780.0, 1.9931257
790.0, 1.976421
800.0, 1.9600279
810.0, 1.9439375
820.0, 1.9281412
830.0, 1.9126312
840.0, 1.8973992
850.0, 1.8824377
860.0, 1.8677397
870.0, 1.8532981
880.0, 1.8391056
890.0, 1.825156
900.0, 1.8114431
910.0, 1.7979604
920.0, 1.7847025
930.0, 1.7716632
940.0, 1.7588375
950.0, 1.7462194
960.0, 1.7338045
970.0, 1.7215871
980.0, 1.709563
990.0, 1.697727
1000.0, 1.686075
1010.0, 1.6746025
1020.0, 1.6633052
1030.0, 1.652179
1040.0, 1.6412201
