Energy (in eV), SEEE yield of material gr2k-NASCAP at incidence 0.0 degree
   X,       Y
0.0, 0.0
10.0, 0.0
20.0, 0.0
30.0, 0.0
40.0, 0.0
50.0, 0.0
60.0, 0.0
70.0, 0.0
80.0, 0.0
90.0, 0.42683157
100.0, 0.33486074
110.0, 0.39904672
120.0, 0.43265525
130.0, 0.47085607
140.0, 0.50772005
150.0, 0.5443092
160.0, 0.5805565
170.0, 0.6165319
180.0, 0.6528564
190.0, 0.6889799
200.0, 0.72501934
210.0, 0.7608706
220.0, 0.79638565
230.0, 0.8313726
240.0, 0.86547774
250.0, 0.89819413
260.0, 0.9287588
270.0, 0.95606226
280.0, 0.9785491
290.0, 0.99410564
300.0, 1.0
310.0, 0.9929222
320.0, 0.9692416
330.0, 0.9256028
340.0, 0.8599478
350.0, 0.77286017
360.0, 0.668767
370.0, 0.5561245
380.0, 0.4457422
390.0, 0.3474189
400.0, 0.2666983
410.0, 0.20402987
420.0, 0.15661967
430.0, 0.1209094
440.0, 0.09389334
450.0, 0.07332916
460.0, 0.057580844
470.0, 0.045450415
480.0, 0.036054604
490.0, 0.02873805
500.0, 0.02301146
510.0, 0.018507272
520.0, 0.014947813
530.0, 0.012122158
540.0, 0.009869217
550.0, 0.008065375
560.0, 0.006615245
570.0, 0.0054449127
580.0, 0.0044968296
590.0, 0.0037259958
600.0, 0.003097065
610.0, 0.0025821766
620.0, 0.0021592632
630.0, 0.0018107907
640.0, 0.0015227711
650.0, 0.0012840073
660.0, 0.0010855023
670.0, 9.200073E-4
680.0, 7.8165694E-4
690.0, 6.6569337E-4
700.0, 5.6824536E-4
710.0, 4.8615254E-4
720.0, 4.168277E-4
730.0, 3.5814813E-4
740.0, 3.0836512E-4
750.0, 2.6603596E-4
760.0, 2.299666E-4
770.0, 1.9916653E-4
780.0, 1.7281197E-4
790.0, 1.5021597E-4
800.0, 1.3080498E-4
810.0, 1.1409826E-4
820.0, 9.969237E-5
830.0, 8.724797E-5
840.0, 7.647901E-5
850.0, 6.71438E-5
860.0, 5.9037942E-5
870.0, 5.1987914E-5
880.0, 4.5846362E-5
890.0, 4.0487805E-5
900.0, 3.5805253E-5
910.0, 3.1707266E-5
920.0, 2.8115646E-5
930.0, 2.4963289E-5
940.0, 2.2192586E-5
950.0, 1.9753981E-5
960.0, 1.7604787E-5
