Energy (in eV), SEEE yield of material np2k-NASCAP at incidence 0.0 degree
   X,       Y
0.0, 0.0
10.0, 0.0
20.0, 0.0
30.0, 0.9293513
40.0, 0.5913015
50.0, 0.7779864
60.0, 0.9320162
70.0, 1.0874496
80.0, 1.2423753
90.0, 1.3969938
100.0, 1.5501941
110.0, 1.7000027
120.0, 1.8419881
130.0, 1.9676359
140.0, 2.0617163
150.0, 2.1000001
160.0, 2.0501115
170.0, 1.8812962
180.0, 1.5877527
190.0, 1.214716
200.0, 0.85074204
210.0, 0.5683436
220.0, 0.3786123
230.0, 0.25607148
240.0, 0.17607908
250.0, 0.12294038
260.0, 0.08705651
270.0, 0.062454727
280.0, 0.045349855
290.0, 0.03330154
300.0, 0.024711516
310.0, 0.018517554
320.0, 0.01400383
330.0, 0.010681783
340.0, 0.00821395
350.0, 0.006364552
360.0, 0.004967117
370.0, 0.0039029354
380.0, 0.0030865334
390.0, 0.0024558292
400.0, 0.0019653442
410.0, 0.0015814981
420.0, 0.0012793015
430.0, 0.0010400256
440.0, 8.495384E-4
450.0, 6.971023E-4
460.0, 5.7450996E-4
470.0, 4.754506E-4
480.0, 3.9504244E-4
490.0, 3.2948903E-4
500.0, 2.75823E-4
510.0, 2.3171229E-4
520.0, 1.9531576E-4
530.0, 1.6517301E-4
540.0, 1.4012036E-4
550.0, 1.1922704E-4
560.0, 1.0174473E-4
570.0, 8.706985E-5
580.0, 7.471371E-5
590.0, 6.427898E-5
600.0, 5.5441553E-5
610.0, 4.793623E-5
620.0, 4.154508E-5
630.0, 3.6088575E-5
640.0, 3.1418313E-5
650.0, 2.7411266E-5
660.0, 2.3965127E-5
670.0, 2.0994627E-5
680.0, 1.8428418E-5
690.0, 1.6206697E-5
700.0, 1.4279199E-5
710.0, 1.26035575E-5
720.0, 1.1143981E-5
730.0, 9.870183E-6
740.0, 8.756435E-6
750.0, 7.780856E-6
760.0, 6.9247953E-6
770.0, 6.172317E-6
780.0, 5.509779E-6
790.0, 4.9254736E-6
800.0, 4.4093504E-6
810.0, 3.952741E-6
820.0, 3.5481717E-6
830.0, 3.1891823E-6
840.0, 2.8701786E-6
850.0, 2.5863058E-6
860.0, 2.333351E-6
870.0, 2.107643E-6
880.0, 1.9059828E-6
890.0, 1.7255776E-6
900.0, 1.5639847E-6
910.0, 1.4190645E-6
