Energy (in eV), SEEE yield of material np2k-NASCAP at isotropic incidence
   X,       Y
0.0, 0.0
10.0, 0.0
20.0, 0.0
30.0, 0.0
40.0, 0.0
50.0, 0.0
60.0, 0.0
70.0, 0.0
80.0, 1.485071
90.0, 1.3286167
100.0, 1.5561167
110.0, 1.7032079
120.0, 1.8495041
130.0, 1.9846976
140.0, 2.0986922
150.0, 2.173983
160.0, 2.185801
170.0, 2.1055067
180.0, 1.9133805
190.0, 1.6189839
200.0, 1.2722077
210.0, 0.94172186
220.0, 0.6734092
230.0, 0.47543445
240.0, 0.3355247
250.0, 0.23809633
260.0, 0.17035978
270.0, 0.12304932
280.0, 0.08975397
290.0, 0.06611069
300.0, 0.049160942
310.0, 0.036892686
320.0, 0.027928755
330.0, 0.021319045
340.0, 0.01640235
350.0, 0.0127142025
360.0, 0.009925409
370.0, 0.0078005698
380.0, 0.0061698384
390.0, 0.004909667
400.0, 0.0039294446
410.0, 0.0031622103
420.0, 0.002558101
430.0, 0.0020797276
440.0, 0.0016988658
450.0, 0.0013940656
460.0, 0.0011489276
470.0, 9.508393E-4
480.0, 7.9004304E-4
490.0, 6.5894955E-4
500.0, 5.5162644E-4
510.0, 4.6341104E-4
520.0, 3.9062204E-4
530.0, 3.3033936E-4
540.0, 2.8023607E-4
550.0, 2.3845075E-4
560.0, 2.0348706E-4
570.0, 1.74138E-4
580.0, 1.4942617E-4
590.0, 1.2855705E-4
600.0, 1.1088244E-4
610.0, 9.587198E-5
620.0, 8.30898E-5
630.0, 7.217688E-5
640.0, 6.283643E-5
650.0, 5.482238E-5
660.0, 4.7930145E-5
670.0, 4.1989166E-5
680.0, 3.6856774E-5
690.0, 3.2413343E-5
700.0, 2.8558356E-5
710.0, 2.5207086E-5
720.0, 2.228794E-5
730.0, 1.9740348E-5
740.0, 1.7512857E-5
750.0, 1.5561702E-5
760.0, 1.3849582E-5
770.0, 1.2344628E-5
780.0, 1.1019552E-5
790.0, 9.850943E-6
800.0, 8.818698E-6
810.0, 7.905478E-6
820.0, 7.0963406E-6
830.0, 6.3783627E-6
840.0, 5.740355E-6
850.0, 5.17261E-6
860.0, 4.666701E-6
870.0, 4.215285E-6
880.0, 3.8119654E-6
890.0, 3.4511547E-6
900.0, 3.1279687E-6
910.0, 2.8381287E-6
920.0, 2.5778845E-6
