Energy (in eV), SEEE yield of material osr2k-NASCAP at incidence 90.0 degree
   X,       Y
0.0, 0.0
10.0, 0.14895272
20.0, 0.29607302
30.0, 0.4414823
40.0, 0.58518034
50.0, 0.7271398
60.0, 0.8673173
70.0, 1.0056653
80.0, 1.1421334
90.0, 1.2766697
100.0, 1.4092242
110.0, 1.539748
120.0, 1.6681918
130.0, 1.7945117
140.0, 1.9186627
150.0, 2.0406055
160.0, 2.1602995
170.0, 2.2777107
180.0, 2.392805
190.0, 2.5055532
200.0, 2.615927
210.0, 2.723901
220.0, 2.829455
230.0, 2.9325688
240.0, 3.0332263
250.0, 3.1314135
260.0, 3.2271194
270.0, 3.3203356
280.0, 3.4110565
290.0, 3.4992795
300.0, 3.5850034
310.0, 3.6682298
320.0, 3.7489629
330.0, 3.8272095
340.0, 3.9029782
350.0, 3.97628
360.0, 4.0471277
370.0, 4.115537
380.0, 4.1815233
390.0, 4.2451077
400.0, 4.3063097
410.0, 4.3651524
420.0, 4.4216595
430.0, 4.4758563
440.0, 4.52777
450.0, 4.5774307
460.0, 4.6248684
470.0, 4.670112
480.0, 4.7131953
490.0, 4.754153
500.0, 4.793018
510.0, 4.8298264
520.0, 4.864614
530.0, 4.897419
540.0, 4.9282784
550.0, 4.957232
560.0, 4.9843173
570.0, 5.0095744
580.0, 5.033045
590.0, 5.054766
600.0, 5.074782
610.0, 5.0931315
620.0, 5.109857
630.0, 5.124999
640.0, 5.1385994
650.0, 5.150699
660.0, 5.1613398
670.0, 5.1705627
680.0, 5.1784086
690.0, 5.184919
700.0, 5.190133
710.0, 5.194093
720.0, 5.196838
730.0, 5.1984086
740.0, 5.1988435
750.0, 5.1981807
760.0, 5.19646
770.0, 5.1937184
780.0, 5.1899934
790.0, 5.1853223
800.0, 5.179742
810.0, 5.173288
820.0, 5.165993
830.0, 5.1578946
840.0, 5.149025
850.0, 5.139417
860.0, 5.1291056
870.0, 5.1181192
880.0, 5.106491
890.0, 5.0942507
900.0, 5.081428
910.0, 5.0680513
920.0, 5.0541487
930.0, 5.03975
940.0, 5.0248795
950.0, 5.009564
960.0, 4.993829
970.0, 4.977698
980.0, 4.9611964
990.0, 4.944346
1000.0, 4.9271703
1010.0, 4.90969
1020.0, 4.891926
1030.0, 4.8738995
1040.0, 4.85563
1050.0, 4.8371353
