Energy (in eV), SEEE yield of material osr2k-NASCAP at isotropic incidence
   X,       Y
0.0, 0.0
10.0, 0.1485859
20.0, 0.2947137
30.0, 0.4386229
40.0, 0.5802799
50.0, 0.7196803
60.0, 0.8567664
70.0, 0.99150974
80.0, 1.1238493
90.0, 1.253732
100.0, 1.3811133
110.0, 1.5059507
120.0, 1.6281991
130.0, 1.7478148
140.0, 1.8647677
150.0, 1.9790283
160.0, 2.0905626
170.0, 2.1993551
180.0, 2.305382
190.0, 2.4086323
200.0, 2.5090947
210.0, 2.606763
220.0, 2.7016342
230.0, 2.7937112
240.0, 2.8829975
250.0, 2.9695034
260.0, 3.053241
270.0, 3.1342258
280.0, 3.2124767
290.0, 3.2880158
300.0, 3.360867
310.0, 3.4310591
320.0, 3.4986212
330.0, 3.5635867
340.0, 3.6259887
350.0, 3.6858652
360.0, 3.7432556
370.0, 3.798199
380.0, 3.8507376
390.0, 3.9009163
400.0, 3.9487789
410.0, 3.9943721
420.0, 4.0377426
430.0, 4.0789394
440.0, 4.118011
450.0, 4.1550064
460.0, 4.189976
470.0, 4.222971
480.0, 4.2540407
490.0, 4.2832375
500.0, 4.310611
510.0, 4.336214
520.0, 4.3600955
530.0, 4.3823075
540.0, 4.4028997
550.0, 4.421923
560.0, 4.4394264
570.0, 4.4554596
580.0, 4.47007
590.0, 4.483307
600.0, 4.4952164
610.0, 4.5058455
620.0, 4.5152407
630.0, 4.523446
640.0, 4.5305057
650.0, 4.5364633
660.0, 4.541361
670.0, 4.5452404
680.0, 4.5481424
690.0, 4.550106
700.0, 4.55117
710.0, 4.551372
720.0, 4.5507474
730.0, 4.5493336
740.0, 4.547165
750.0, 4.544274
760.0, 4.5406938
770.0, 4.5364566
780.0, 4.5315924
790.0, 4.52613
800.0, 4.5201006
810.0, 4.5135307
820.0, 4.506446
830.0, 4.4988737
840.0, 4.4908385
850.0, 4.482364
860.0, 4.473476
870.0, 4.4641924
880.0, 4.4545383
890.0, 4.4445333
900.0, 4.434198
910.0, 4.423549
920.0, 4.412608
930.0, 4.4013915
940.0, 4.3899155
950.0, 4.378197
960.0, 4.366252
970.0, 4.354094
980.0, 4.341739
990.0, 4.3292003
1000.0, 4.3164897
1010.0, 4.303621
1020.0, 4.290605
1030.0, 4.277455
1040.0, 4.2641797
1050.0, 4.2507915
