Energy (in eV), SEEE yield of material sc2k-NASCAP at incidence 0.0 degree
   X,       Y
0.0, 0.0
10.0, 0.121195704
20.0, 0.24113373
30.0, 0.360143
40.0, 0.47828448
50.0, 0.59556705
60.0, 0.711977
70.0, 0.82749057
80.0, 0.94207853
90.0, 1.0557106
100.0, 1.1683533
110.0, 1.2799726
120.0, 1.3905367
130.0, 1.5000131
140.0, 1.6083685
150.0, 1.7155731
160.0, 1.8215972
170.0, 1.92641
180.0, 2.0299857
190.0, 2.1322973
200.0, 2.233319
210.0, 2.3330276
220.0, 2.4313993
230.0, 2.5284123
240.0, 2.6240478
250.0, 2.7182856
260.0, 2.8111079
270.0, 2.9024992
280.0, 2.9924424
290.0, 3.0809252
300.0, 3.167934
310.0, 3.2534566
320.0, 3.337484
330.0, 3.4200048
340.0, 3.501013
350.0, 3.5804992
360.0, 3.6584592
370.0, 3.7348883
380.0, 3.809781
390.0, 3.883136
400.0, 3.954951
410.0, 4.0252247
420.0, 4.0939574
430.0, 4.161152
440.0, 4.226808
450.0, 4.2909303
460.0, 4.353522
470.0, 4.4145875
480.0, 4.4741325
490.0, 4.532164
500.0, 4.588688
510.0, 4.643714
520.0, 4.6972485
530.0, 4.7493014
540.0, 4.7998834
550.0, 4.849004
560.0, 4.896675
570.0, 4.9429083
580.0, 4.9877167
590.0, 5.031112
600.0, 5.073108
610.0, 5.11372
620.0, 5.1529603
630.0, 5.1908445
640.0, 5.227388
650.0, 5.2626066
660.0, 5.296517
670.0, 5.329135
680.0, 5.3604765
690.0, 5.3905597
700.0, 5.419401
710.0, 5.4470196
720.0, 5.4734316
730.0, 5.4986567
740.0, 5.522712
750.0, 5.545617
760.0, 5.5673895
770.0, 5.588048
780.0, 5.607613
790.0, 5.626102
800.0, 5.6435347
810.0, 5.65993
820.0, 5.675308
830.0, 5.6896877
840.0, 5.703088
850.0, 5.715528
860.0, 5.7270284
870.0, 5.737608
880.0, 5.747285
890.0, 5.7560797
900.0, 5.764011
910.0, 5.7710986
920.0, 5.7773604
930.0, 5.7828164
940.0, 5.7874846
950.0, 5.7913847
960.0, 5.7945337
970.0, 5.7969522
980.0, 5.798658
990.0, 5.799667
1000.0, 5.8
1010.0, 5.7996726
1020.0, 5.7987046
1030.0, 5.797112
1040.0, 5.7949133
1050.0, 5.792123
1060.0, 5.788761
