Energy (in eV), SEEE yield of material te2k-NASCAP at incidence 0.0 degree
   X,       Y
0.0, 0.0
10.0, 0.21284692
20.0, 0.41750535
30.0, 0.6154943
40.0, 0.8067153
50.0, 0.9908316
60.0, 1.1674634
70.0, 1.336251
80.0, 1.4968791
90.0, 1.6490905
100.0, 1.7926877
110.0, 1.9275352
120.0, 2.0535605
130.0, 2.1707487
140.0, 2.279141
150.0, 2.3788314
160.0, 2.4699607
170.0, 2.5527127
180.0, 2.6273108
190.0, 2.6940114
200.0, 2.7530997
210.0, 2.804886
220.0, 2.8496993
230.0, 2.887885
240.0, 2.9197981
250.0, 2.9458032
260.0, 2.9662664
270.0, 2.9815555
280.0, 2.9920359
290.0, 2.9980667
300.0, 3.0000002
310.0, 2.998179
320.0, 2.9929342
330.0, 2.9845843
340.0, 2.9734335
350.0, 2.9597716
360.0, 2.9438727
370.0, 2.925995
380.0, 2.9063804
390.0, 2.885255
400.0, 2.8628283
410.0, 2.8392947
420.0, 2.8148324
430.0, 2.7896054
440.0, 2.7637625
450.0, 2.7374394
460.0, 2.7107587
470.0, 2.683831
480.0, 2.6567538
490.0, 2.629615
500.0, 2.6024926
510.0, 2.5754545
520.0, 2.54856
530.0, 2.5218613
540.0, 2.4954019
550.0, 2.4692206
560.0, 2.4433494
570.0, 2.4178138
580.0, 2.3926363
590.0, 2.3678336
600.0, 2.3434203
610.0, 2.3194063
620.0, 2.2957985
630.0, 2.2726018
640.0, 2.2498186
650.0, 2.22745
660.0, 2.205494
670.0, 2.1839483
680.0, 2.162809
690.0, 2.1420717
700.0, 2.12173
710.0, 2.1017783
720.0, 2.082209
730.0, 2.063016
740.0, 2.0441906
750.0, 2.0257256
760.0, 2.0076127
770.0, 1.9898438
780.0, 1.9724116
790.0, 1.9553065
800.0, 1.9385216
810.0, 1.9220489
820.0, 1.9058801
830.0, 1.8900079
840.0, 1.8744245
850.0, 1.8591222
860.0, 1.8440948
870.0, 1.8293345
880.0, 1.814834
890.0, 1.8005875
900.0, 1.7865881
910.0, 1.7728295
920.0, 1.7593057
930.0, 1.7460104
940.0, 1.7329386
950.0, 1.7200838
960.0, 1.707441
970.0, 1.6950049
980.0, 1.6827706
990.0, 1.6707329
1000.0, 1.6588871
1010.0, 1.6472285
1020.0, 1.6357528
1030.0, 1.6244556
1040.0, 1.6133329
