Energy (in eV), SEEE yield of material te2k-NASCAP at isotropic incidence
   X,       Y
0.0, 0.0
10.0, 0.21638493
20.0, 0.4272009
30.0, 0.6334364
40.0, 0.83498156
50.0, 1.0315671
60.0, 1.2228796
70.0, 1.4086047
80.0, 1.5884687
90.0, 1.7622099
100.0, 1.9296118
110.0, 2.0904944
120.0, 2.24471
130.0, 2.39215
140.0, 2.5327415
150.0, 2.6664433
160.0, 2.7932487
170.0, 2.9131804
180.0, 3.026288
190.0, 3.1326494
200.0, 3.2323642
210.0, 3.3255546
220.0, 3.412362
230.0, 3.4929435
240.0, 3.567473
250.0, 3.6361353
260.0, 3.6991258
270.0, 3.756649
280.0, 3.8089166
290.0, 3.8561432
300.0, 3.898549
310.0, 3.9363542
320.0, 3.9697804
330.0, 3.9990475
340.0, 4.0243745
350.0, 4.0459757
360.0, 4.064062
370.0, 4.078841
380.0, 4.090513
390.0, 4.099273
400.0, 4.1053095
410.0, 4.108805
420.0, 4.109934
430.0, 4.1088634
440.0, 4.1057534
450.0, 4.1007566
460.0, 4.0940175
470.0, 4.0856752
480.0, 4.0758586
490.0, 4.064691
500.0, 4.052289
510.0, 4.0387597
520.0, 4.024207
530.0, 4.008727
540.0, 3.992409
550.0, 3.9753366
560.0, 3.957589
570.0, 3.939237
580.0, 3.9203496
590.0, 3.9009895
600.0, 3.8812141
610.0, 3.861078
620.0, 3.8406296
630.0, 3.8199167
640.0, 3.79898
650.0, 3.7778585
660.0, 3.7565887
670.0, 3.7352023
680.0, 3.7137306
690.0, 3.6922004
700.0, 3.6706362
710.0, 3.6490617
720.0, 3.6274972
730.0, 3.6059632
740.0, 3.584475
750.0, 3.563049
760.0, 3.5416994
770.0, 3.5204391
780.0, 3.4992797
790.0, 3.4782302
800.0, 3.4573016
810.0, 3.436502
820.0, 3.4158373
830.0, 3.3953152
840.0, 3.374941
850.0, 3.3547206
860.0, 3.3346577
870.0, 3.3147557
880.0, 3.295019
890.0, 3.2754502
900.0, 3.2560508
910.0, 3.2368236
920.0, 3.2177696
930.0, 3.1988907
940.0, 3.1801877
950.0, 3.161661
960.0, 3.14331
970.0, 3.1251366
980.0, 3.1071403
990.0, 3.0893202
1000.0, 3.071676
1010.0, 3.054208
1020.0, 3.0369143
1030.0, 3.019795
1040.0, 3.0028486
1050.0, 2.986074
