Energy (in eV), SEEP yield of material gr2k-NASCAP at incidence 90.0 degree
   X,       Y
0.0, 0.0
200.0, 0.5581013
400.0, 1.5763001
600.0, 1.9278196
800.0, 3.3343382
1000.0, 3.7226157
1200.0, 4.0721455
1400.0, 4.392198
1600.0, 6.251767
1800.0, 6.621648
2000.0, 6.969999
2200.0, 7.299914
2400.0, 9.517255
2600.0, 9.891978
2800.0, 10.251015
3000.0, 10.595968
3200.0, 10.9281845
3400.0, 11.248804
3600.0, 13.8705635
3800.0, 14.230831
4000.0, 14.580243
4200.0, 14.919584
4400.0, 15.249529
4600.0, 15.570693
4800.0, 18.530888
5000.0, 18.886917
5200.0, 19.23442
5400.0, 19.573864
5600.0, 19.905666
5800.0, 20.230219
6000.0, 20.547873
6200.0, 23.838808
6400.0, 24.187162
6600.0, 24.528673
6800.0, 24.863625
7000.0, 25.192293
7200.0, 25.514935
7400.0, 25.831785
7600.0, 26.143063
7800.0, 29.7551
8000.0, 30.093435
8200.0, 30.42617
8400.0, 30.753479
8600.0, 31.07556
8800.0, 31.392574
9000.0, 31.704693
9200.0, 32.012062
9400.0, 32.314827
9600.0, 36.236816
9800.0, 36.563457
10000.0, 36.88543
10200.0, 37.202847
10400.0, 37.515858
10600.0, 37.824566
10800.0, 38.1291
11000.0, 38.42956
11200.0, 38.72606
11400.0, 42.920547
11600.0, 43.23829
11800.0, 43.551987
12000.0, 43.86173
12200.0, 44.16762
12400.0, 44.469738
12600.0, 44.768185
12800.0, 45.063023
13000.0, 45.35435
13200.0, 49.79154
13400.0, 50.101917
13600.0, 50.408707
13800.0, 50.711975
14000.0, 51.0118
14200.0, 51.308247
14400.0, 51.60137
14600.0, 51.891266
14800.0, 52.17798
15000.0, 52.46157
15200.0, 57.137268
15400.0, 57.437927
15600.0, 57.73539
15800.0, 58.029724
16000.0, 58.320976
16200.0, 58.609207
16400.0, 58.894478
16600.0, 59.17683
16800.0, 59.456314
17000.0, 59.732983
17200.0, 64.6228
17400.0, 64.91483
17600.0, 65.203995
17800.0, 65.49032
18000.0, 65.77385
18200.0, 66.054634
18400.0, 66.33272
18600.0, 66.60815
18800.0, 66.88096
19000.0, 67.1512
19200.0, 67.4189
19400.0, 72.51868
19600.0, 72.800186
19800.0, 73.079094
20000.0, 73.35544
20200.0, 73.629265
20400.0, 73.90061
