Energy (in eV), SEEP yield of material gr2k-NASCAP at isotropic incidence
   X,       Y
0.0, 0.0
200.0, 0.29716927
400.0, 0.46363288
600.0, 0.59233767
800.0, 0.7007096
1000.0, 0.7958961
1200.0, 0.88164115
1400.0, 0.96019113
1600.0, 1.0330182
1800.0, 1.1011485
2000.0, 1.1653316
2200.0, 1.2261336
2400.0, 1.2839963
2600.0, 1.3392712
2800.0, 1.3922437
3000.0, 1.4431493
3200.0, 1.4921857
3400.0, 1.5395195
3600.0, 1.5852945
3800.0, 1.6296345
4000.0, 1.6726464
4200.0, 1.7144259
4400.0, 1.755056
4600.0, 1.794611
4800.0, 1.8331581
5000.0, 1.8707564
5200.0, 1.9074596
5400.0, 1.943317
5600.0, 1.9783735
5800.0, 2.0126684
6000.0, 2.0462396
6200.0, 2.0791216
6400.0, 2.111345
6600.0, 2.1429398
6800.0, 2.173932
7000.0, 2.2043474
7200.0, 2.2342088
7400.0, 2.2635384
7600.0, 2.2923558
7800.0, 2.3206806
8000.0, 2.3485303
8200.0, 2.3759217
8400.0, 2.4028711
8600.0, 2.4293923
8800.0, 2.4555001
9000.0, 2.4812078
9200.0, 2.506527
9400.0, 2.5314708
9600.0, 2.5560496
9800.0, 2.580274
10000.0, 2.6041558
10200.0, 2.6277025
10400.0, 2.6509244
10600.0, 2.6738303
10800.0, 2.6964285
11000.0, 2.718727
11200.0, 2.7407336
11400.0, 2.7624557
11600.0, 2.7839
11800.0, 2.8050735
12000.0, 2.8259828
12200.0, 2.8466344
12400.0, 2.8670332
12600.0, 2.8871858
12800.0, 2.9070973
13000.0, 2.926774
13200.0, 2.9462197
13400.0, 2.9654396
13600.0, 2.9844398
13800.0, 3.003224
14000.0, 3.0217953
14200.0, 3.0401604
14400.0, 3.0583208
14600.0, 3.0762837
14800.0, 3.0940506
15000.0, 3.111626
15200.0, 3.129013
15400.0, 3.1462164
15600.0, 3.1632376
15800.0, 3.1800826
16000.0, 3.1967523
16200.0, 3.2132506
16400.0, 3.2295809
16600.0, 3.2457454
16800.0, 3.2617478
17000.0, 3.27759
17200.0, 3.2932756
17400.0, 3.3088064
17600.0, 3.3241858
17800.0, 3.3394156
18000.0, 3.3544981
18200.0, 3.3694363
18400.0, 3.3842316
18600.0, 3.3988874
18800.0, 3.4134052
19000.0, 3.4277868
