Energy (in eV), SEEP yield of material np2k-NASCAP at incidence 90.0 degree
   X,       Y
0.0, 0.0
200.0, 3.3486075
400.0, 6.3052
600.0, 9.639097
800.0, 12.225906
1000.0, 16.131334
1200.0, 19.003344
1400.0, 21.960987
1600.0, 25.007065
1800.0, 28.142
2000.0, 31.364992
2200.0, 34.674587
2400.0, 38.06902
2600.0, 39.567917
2800.0, 43.054264
3000.0, 46.62226
3200.0, 50.26964
3400.0, 51.744495
3600.0, 55.482246
3800.0, 59.295124
4000.0, 63.181046
4200.0, 64.65152
4400.0, 68.62288
4600.0, 72.66323
4800.0, 74.12354
5000.0, 78.2458
5200.0, 79.68545
5400.0, 83.887985
5600.0, 88.15366
5800.0, 89.59096
6000.0, 93.93312
6200.0, 95.355225
6400.0, 99.77204
6600.0, 101.18077
6800.0, 105.670395
7000.0, 110.21628
7200.0, 111.62783
7400.0, 116.243034
7600.0, 117.643776
7800.0, 122.326515
8000.0, 123.71746
8200.0, 128.46605
8400.0, 129.84804
8600.0, 134.66075
8800.0, 136.03448
9000.0, 140.90974
9200.0, 142.27583
9400.0, 147.21202
9600.0, 148.57095
9800.0, 153.56651
10000.0, 154.9188
10200.0, 159.97226
10400.0, 161.31818
10600.0, 166.4281
10800.0, 167.76805
11000.0, 169.09007
11200.0, 174.26723
11400.0, 175.58405
11600.0, 180.81467
11800.0, 182.1265
12000.0, 187.40921
12200.0, 188.7162
12400.0, 194.04976
12600.0, 195.35207
12800.0, 200.73529
13000.0, 202.03302
13200.0, 203.31541
13400.0, 208.75797
13600.0, 210.03625
13800.0, 215.52588
14000.0, 216.80011
14200.0, 222.33571
14400.0, 223.60591
14600.0, 224.86212
14800.0, 230.45271
15000.0, 231.70526
15200.0, 237.33942
15400.0, 238.5883
15600.0, 244.2651
15800.0, 245.51036
16000.0, 246.74258
16200.0, 252.47043
16400.0, 253.69928
16600.0, 259.46762
16800.0, 260.69305
17000.0, 261.90616
17200.0, 267.72302
17400.0, 268.93286
17600.0, 274.78824
17800.0, 275.9949
18000.0, 281.8879
18200.0, 283.0913
18400.0, 284.28305
18600.0, 290.22122
18800.0, 291.40988
19000.0, 297.38388
19200.0, 298.5694
19400.0, 299.74387
19600.0, 305.76077
19800.0, 306.93216
20000.0, 312.98322
20200.0, 314.15152
20400.0, 315.30927
20600.0, 321.40115
