Energy (in eV), SEEP yield of material np2k-NASCAP at isotropic incidence
   X,       Y
0.0, 0.0
200.0, 0.38232517
400.0, 0.55110943
600.0, 0.68008024
800.0, 0.7883528
1000.0, 0.8833438
1200.0, 0.9688625
1400.0, 1.0471749
1600.0, 1.1197608
1800.0, 1.1876489
2000.0, 1.2515894
2200.0, 1.3121495
2400.0, 1.3697714
2600.0, 1.4248058
2800.0, 1.4775391
3000.0, 1.5282061
3200.0, 1.5770049
3400.0, 1.6241026
3600.0, 1.6696421
3800.0, 1.7137477
4000.0, 1.7565261
4200.0, 1.7980729
4400.0, 1.8384717
4600.0, 1.8777964
4800.0, 1.9161137
5000.0, 1.9534831
5200.0, 1.9899584
5400.0, 2.0255897
5600.0, 2.0604198
5800.0, 2.0944898
6000.0, 2.127837
6200.0, 2.160496
6400.0, 2.192497
6600.0, 2.2238705
6800.0, 2.2546422
7000.0, 2.2848387
7200.0, 2.3144815
7400.0, 2.3435931
7600.0, 2.3721938
7800.0, 2.4003026
8000.0, 2.4279373
8200.0, 2.4551148
8400.0, 2.4818504
8600.0, 2.5081592
8800.0, 2.5340557
9000.0, 2.5595527
9200.0, 2.5846622
9400.0, 2.6093965
9600.0, 2.6337674
9800.0, 2.6577845
10000.0, 2.6814587
10200.0, 2.7048
10400.0, 2.727817
10600.0, 2.7505186
10800.0, 2.7729142
11000.0, 2.7950103
11200.0, 2.8168151
11400.0, 2.838336
11600.0, 2.8595805
11800.0, 2.8805554
12000.0, 2.9012656
12200.0, 2.9217193
12400.0, 2.941921
12600.0, 2.9618773
12800.0, 2.981594
13000.0, 3.0010755
13200.0, 3.0203276
13400.0, 3.0393543
13600.0, 3.0581617
13800.0, 3.0767548
14000.0, 3.0951355
14200.0, 3.1133099
14400.0, 3.1312816
14600.0, 3.1490552
14800.0, 3.1666343
15000.0, 3.1840227
15200.0, 3.2012234
15400.0, 3.2182407
15600.0, 3.2350774
15800.0, 3.2517374
16000.0, 3.2682238
16200.0, 3.2845392
16400.0, 3.300687
16600.0, 3.3166704
16800.0, 3.3324916
17000.0, 3.3481543
17200.0, 3.3636603
17400.0, 3.3790119
17600.0, 3.3942134
17800.0, 3.4092658
18000.0, 3.4241714
18200.0, 3.4389338
18400.0, 3.453554
18600.0, 3.4680347
18800.0, 3.4823785
19000.0, 3.4965868
