Energy (in eV), SEEP yield of material sc2k-NASCAP at incidence 90.0 degree
   X,       Y
0.0, 0.0
200.0, 2.3890042
400.0, 5.0634446
600.0, 7.2287245
800.0, 9.531175
1000.0, 11.97782
1200.0, 14.56633
1400.0, 17.291817
1600.0, 19.309301
1800.0, 22.242321
2000.0, 24.362263
2200.0, 27.493145
2400.0, 29.715618
2600.0, 31.968004
2800.0, 34.251144
3000.0, 36.565536
3200.0, 38.911476
3400.0, 41.289043
3600.0, 43.69822
3800.0, 46.138885
4000.0, 48.610836
4200.0, 51.113857
4400.0, 53.647644
4600.0, 56.21189
4800.0, 58.80628
5000.0, 61.43045
5200.0, 64.084076
5400.0, 66.76678
5600.0, 69.478195
5800.0, 70.64802
6000.0, 73.39031
6200.0, 76.160736
6400.0, 78.95889
6600.0, 81.784424
6800.0, 82.944214
7000.0, 85.800125
7200.0, 88.68273
7400.0, 91.59162
7600.0, 92.74297
7800.0, 95.68163
8000.0, 98.64591
8200.0, 99.78752
8400.0, 102.78112
8600.0, 105.799614
8800.0, 108.84265
9000.0, 109.98046
9200.0, 113.05195
9400.0, 116.14729
9600.0, 117.278435
9800.0, 120.40164
10000.0, 123.54805
10200.0, 124.673515
10400.0, 127.84718
10600.0, 131.04338
10800.0, 132.16403
11000.0, 135.38687
11200.0, 136.49886
11400.0, 139.74808
11600.0, 143.01883
11800.0, 144.1272
12000.0, 147.42372
12200.0, 150.74121
12400.0, 151.84637
12600.0, 155.18898
12800.0, 156.28693
13000.0, 159.65434
13200.0, 163.04184
13400.0, 164.13737
13600.0, 167.54904
13800.0, 168.63808
14000.0, 172.07362
14200.0, 173.15645
14400.0, 176.61559
14600.0, 180.0937
14800.0, 181.17488
15000.0, 184.676
15200.0, 185.75146
15400.0, 189.27525
15600.0, 190.34521
15800.0, 193.89142
16000.0, 197.45547
16200.0, 198.52437
16400.0, 202.11032
16600.0, 203.17404
16800.0, 206.78154
17000.0, 207.84033
17200.0, 211.46909
17400.0, 212.52304
17600.0, 216.17282
17800.0, 217.22214
18000.0, 220.8926
18200.0, 224.57951
18400.0, 225.62828
18600.0, 229.33539
18800.0, 230.37975
19000.0, 234.10677
19200.0, 235.14682
19400.0, 238.89352
19600.0, 239.92937
19800.0, 243.6955
20000.0, 244.72723
20200.0, 248.51245
20400.0, 249.54022
