Energy (in eV), SEEP yield of material sc2k-NASCAP at isotropic incidence
   X,       Y
0.0, 0.0
200.0, 0.20923153
400.0, 0.29969186
600.0, 0.36892563
800.0, 0.42714223
1000.0, 0.4783004
1200.0, 0.524432
1400.0, 0.5667452
1600.0, 0.60602796
1800.0, 0.64282835
2000.0, 0.6775453
2200.0, 0.7104807
2400.0, 0.74186903
2600.0, 0.771897
2800.0, 0.80071634
3000.0, 0.82845163
3200.0, 0.855208
3400.0, 0.8810738
3600.0, 0.9061244
3800.0, 0.9304258
4000.0, 0.95403457
4200.0, 0.9770012
4400.0, 0.99936926
4600.0, 1.0211782
4800.0, 1.0424632
5000.0, 1.0632552
5200.0, 1.0835834
5400.0, 1.1034727
5600.0, 1.1229469
5800.0, 1.142027
6000.0, 1.1607327
6200.0, 1.179082
6400.0, 1.1970913
6600.0, 1.2147758
6800.0, 1.2321492
7000.0, 1.2492251
7200.0, 1.2660156
7400.0, 1.2825321
7600.0, 1.298785
7800.0, 1.3147839
8000.0, 1.3305386
8200.0, 1.3460579
8400.0, 1.3613495
8600.0, 1.3764213
8800.0, 1.3912808
9000.0, 1.4059348
9200.0, 1.4203894
9400.0, 1.4346514
9600.0, 1.4487262
9800.0, 1.4626192
10000.0, 1.476336
10200.0, 1.4898815
10400.0, 1.5032605
10600.0, 1.5164776
10800.0, 1.5295373
11000.0, 1.5424434
11200.0, 1.5552
11400.0, 1.5678104
11600.0, 1.5802789
11800.0, 1.592609
12000.0, 1.6048037
12200.0, 1.6168664
12400.0, 1.6287996
12600.0, 1.6406069
12800.0, 1.6522908
13000.0, 1.6638546
13200.0, 1.6753
13400.0, 1.6866301
13600.0, 1.6978474
13800.0, 1.7089539
14000.0, 1.7199522
14200.0, 1.7308443
14400.0, 1.7416321
14600.0, 1.7523181
14800.0, 1.7629043
15000.0, 1.7733926
15200.0, 1.783784
15400.0, 1.7940813
15600.0, 1.8042855
15800.0, 1.814399
16000.0, 1.8244224
16200.0, 1.8343587
16400.0, 1.8442087
16600.0, 1.8539736
16800.0, 1.8636554
17000.0, 1.873255
17200.0, 1.8827741
17400.0, 1.8922137
17600.0, 1.9015757
17800.0, 1.9108605
18000.0, 1.9200702
18200.0, 1.9292053
18400.0, 1.9382672
18600.0, 1.9472573
18800.0, 1.9561762
19000.0, 1.9650257
