Energy (in eV), SEEP yield of material te2k-NASCAP at incidence 90.0 degree
   X,       Y
0.0, 0.0
200.0, 4.4648094
400.0, 8.66965
600.0, 13.494735
800.0, 17.783134
1000.0, 22.33569
1200.0, 27.147633
1400.0, 30.745382
1600.0, 35.947655
1800.0, 39.72988
2000.0, 45.304985
2200.0, 49.274418
2400.0, 53.296623
2600.0, 57.37347
2800.0, 63.556293
3000.0, 67.81419
3200.0, 72.126
3400.0, 76.49186
3600.0, 80.911606
3800.0, 85.38498
4000.0, 89.91148
4200.0, 94.49068
4400.0, 99.12193
4600.0, 103.8046
4800.0, 108.53803
5000.0, 110.62337
5200.0, 115.40651
5400.0, 120.23944
5600.0, 125.12132
5800.0, 130.05138
6000.0, 135.02887
6200.0, 140.05298
6400.0, 142.09956
6600.0, 147.17201
6800.0, 152.28969
7000.0, 157.45181
7200.0, 159.46832
7400.0, 164.67761
7600.0, 169.9299
7800.0, 175.22447
8000.0, 180.56062
8200.0, 182.557
8400.0, 187.93793
8600.0, 193.35902
8800.0, 195.33156
9000.0, 200.79637
9200.0, 206.29993
9400.0, 211.84166
9600.0, 213.79721
9800.0, 219.38074
10000.0, 225.00108
10200.0, 226.93735
10400.0, 232.59831
10600.0, 238.29477
10800.0, 240.21332
11000.0, 245.94916
11200.0, 251.71933
11400.0, 253.62138
11600.0, 259.42972
11800.0, 265.27118
12000.0, 267.1578
12200.0, 273.0362
12400.0, 278.94653
12600.0, 280.81857
12800.0, 286.76468
13000.0, 292.7417
13200.0, 294.59988
13400.0, 300.61145
13600.0, 302.45218
13800.0, 308.4978
14000.0, 314.5727
14200.0, 316.4008
14400.0, 322.5085
14600.0, 328.64462
14800.0, 330.46048
15000.0, 336.62833
15200.0, 338.4284
15400.0, 344.62756
15600.0, 350.8535
15800.0, 352.64212
16000.0, 358.8983
16200.0, 360.672
16400.0, 366.95786
16600.0, 373.26917
16800.0, 375.03207
17000.0, 381.37204
17200.0, 383.12082
17400.0, 389.48895
17600.0, 395.88138
17800.0, 397.61975
18000.0, 404.0393
18200.0, 405.7642
18400.0, 412.21045
18600.0, 413.92206
18800.0, 420.39456
19000.0, 426.8897
19200.0, 428.59158
19400.0, 435.112
19600.0, 436.80103
19800.0, 443.34644
20000.0, 445.02292
20200.0, 451.5928
20400.0, 458.18378
20600.0, 459.8509
