Energy (in eV), SEEP yield of material te2k-NASCAP at isotropic incidence
   X,       Y
0.0, 0.0
200.0, 0.39056048
400.0, 0.5593213
600.0, 0.6882687
800.0, 0.796518
1000.0, 0.89148587
1200.0, 0.9769814
1400.0, 1.055271
1600.0, 1.1278338
1800.0, 1.1956993
2000.0, 1.2596171
2200.0, 1.3201547
2400.0, 1.377754
2600.0, 1.4327662
2800.0, 1.485477
3000.0, 1.5361218
3200.0, 1.5848984
3400.0, 1.6319746
3600.0, 1.677492
3800.0, 1.7215759
4000.0, 1.7643323
4200.0, 1.8058578
4400.0, 1.8462347
4600.0, 1.8855381
4800.0, 1.923834
5000.0, 1.961182
5200.0, 1.9976366
5400.0, 2.0332463
5600.0, 2.0680554
5800.0, 2.1021044
6000.0, 2.135431
6200.0, 2.1680691
6400.0, 2.2000492
6600.0, 2.231402
6800.0, 2.2621539
7000.0, 2.2923295
7200.0, 2.3219519
7400.0, 2.3510432
7600.0, 2.3796241
7800.0, 2.4077127
8000.0, 2.435327
8200.0, 2.4624846
8400.0, 2.4892008
8600.0, 2.51549
8800.0, 2.541366
9000.0, 2.5668435
9200.0, 2.591934
9400.0, 2.6166484
9600.0, 2.6409996
9800.0, 2.6649983
10000.0, 2.6886535
10200.0, 2.711975
10400.0, 2.7349734
10600.0, 2.7576559
10800.0, 2.780032
11000.0, 2.802109
11200.0, 2.8238955
11400.0, 2.8453977
11600.0, 2.8666236
11800.0, 2.8875794
12000.0, 2.9082713
12200.0, 2.9287074
12400.0, 2.9488902
12600.0, 2.9688284
12800.0, 2.9885266
13000.0, 3.0079904
13200.0, 3.0272245
13400.0, 3.0462332
13600.0, 3.0650232
13800.0, 3.0835974
14000.0, 3.1019607
14200.0, 3.1201172
14400.0, 3.1380715
14600.0, 3.1558275
14800.0, 3.1733892
15000.0, 3.19076
15200.0, 3.2079437
15400.0, 3.2249434
15600.0, 3.2417626
15800.0, 3.2584057
16000.0, 3.2748747
16200.0, 3.2911732
16400.0, 3.3073046
16600.0, 3.323271
16800.0, 3.3390756
17000.0, 3.3547208
17200.0, 3.3702102
17400.0, 3.3855455
17600.0, 3.4007306
17800.0, 3.4157665
18000.0, 3.4306555
18200.0, 3.4454014
18400.0, 3.4600058
18600.0, 3.47447
18800.0, 3.488797
19000.0, 3.5029895
19200.0, 3.5170498
