Time (s), average differential potential (V), average absolute potential (V)
10.442997, 3.9451168, -106.54755
20.983475, 7.058691, -335.3395
32.641376, 9.776383, -565.736
49.23741, 10.02151, -813.4885
68.72825, 8.673475, -1203.6892
79.26487, 6.1600595, -1489.8988
117.57017, 19.492231, -1809.075
128.20407, 2.2130501, -2243.5725
142.90712, -5.526304, -2516.764
210.2775, 27.431955, -2956.6367
221.10936, 2.7198596, -3447.5286
231.47845, -5.690428, -3715.8684
322.2836, 25.825502, -4291.3413
335.1345, -1.5475657, -4873.5293
416.29874, 22.893484, -5298.64
428.19492, 5.2699428, -5633.132
512.8701, 25.428782, -6030.2705
524.379, -0.9361388, -6457.265
602.626, 18.212606, -6868.7583
686.9368, 3.349337, -7457.208
786.9368, 19.090746, -7862.9595
886.9368, 27.23875, -8278.114
986.9368, 24.688303, -8714.936
1086.9369, 36.852814, -9140.756
