Time (s), variation of the average surface potential of esn 0 (s-1.V)
10.442997, -19.391865
20.983475, -18.53542
32.641376, -17.152275
49.23741, -16.604969
68.72825, -21.927515
79.26487, -21.012438
117.57017, -8.334499
128.20407, -55.994286
142.90712, -11.839512
210.2775, -5.192193
221.10936, -62.58494
231.47845, -14.432517
322.2836, -5.587218
335.1345, -53.015583
416.29874, -3.847246
428.19492, -35.231922
512.8701, -4.0171547
524.379, -45.165447
602.626, -3.31105
686.9368, -8.119505
786.9368, -3.8169286
886.9368, -3.9644482
986.9368, -5.202822
1086.9369, -3.1524706
