Time (s), esn 0 net current (A), esn 0 collected current (A), esn 0 emitted current (A)
10.442997, -4.1686653E-6, -2.1342632E-4, -2.0925766E-4
20.983475, -1.4485031E-5, -2.2294381E-4, -2.0845878E-4
32.641376, -1.6760112E-5, -2.2447258E-4, -2.0771245E-4
49.23741, -1.5395177E-5, -2.2224979E-4, -2.0685462E-4
68.72825, 1.06227766E-7, -2.0533435E-4, -2.0544058E-4
79.26487, -5.9383833E-6, -2.1038325E-4, -2.0444488E-4
117.57017, -7.999836E-6, -2.1183625E-4, -2.038364E-4
128.20407, -9.456466E-6, -2.1145103E-4, -2.0199457E-4
142.90712, -3.906636E-8, -2.0102548E-4, -2.0098641E-4
210.2775, -1.7560014E-5, -2.1827058E-4, -2.0071056E-4
221.10936, -4.589696E-6, -2.0302295E-4, -1.9843326E-4
231.47845, 1.7708883E-6, -1.9592627E-4, -1.9769717E-4
322.2836, -6.6633556E-6, -2.0372719E-4, -1.9706384E-4
335.1345, -1.2480791E-5, -2.0709872E-4, -1.9461794E-4
416.29874, -1.1870579E-5, -2.0614275E-4, -1.9427217E-4
428.19492, -8.748626E-6, -2.017626E-4, -1.9301397E-4
512.8701, -7.4892887E-6, -2.0004943E-4, -1.9256014E-4
524.379, -8.129976E-7, -1.9184667E-4, -1.9103367E-4
602.626, -1.4453108E-6, -1.9212018E-4, -1.9067487E-4
686.9368, -6.3490456E-6, -1.958926E-4, -1.8954356E-4
786.9368, -7.5863354E-6, -1.9623706E-4, -1.8865072E-4
886.9368, -4.721078E-6, -1.9273194E-4, -1.8801086E-4
986.9368, -1.0725038E-5, -1.980412E-4, -1.8731617E-4
1086.9369, 3.0260708E-7, -1.8626316E-4, -1.8656577E-4
