Time (s) , total current (A)
10.442997, -6.771103E-5
20.983475, -4.111077E-5
32.641376, -5.623985E-5
49.23741, -3.2420718E-5
68.72825, -5.51826E-5
79.26487, -7.115725E-5
117.57017, -7.722427E-5
128.20407, -9.648139E-5
142.90712, -1.6931752E-6
210.2775, 2.4752007E-5
221.10936, -1.0306535E-4
231.47845, -5.404734E-5
322.2836, -7.5311495E-5
335.1345, -4.8251335E-5
416.29874, -2.5299581E-5
428.19492, -8.40945E-5
512.8701, -6.53844E-5
524.379, -7.924195E-5
602.626, -6.995032E-5
686.9368, -5.260395E-5
786.9368, -7.061995E-5
886.9368, -7.6294746E-5
986.9368, -8.281786E-5
1086.9369, -6.5057495E-5
