#    time,   allPop,  allPop,  allPop,  allPop,  allPop,  allPop,  allPop,  allPop,  allPop, ions1, ions1, ions1, ions1, ions1, ions1, ions1, ions1, ions1, elec1, elec1, elec1, elec1, elec1, elec1, elec1, elec1, elec1, photoElec, photoElec, photoElec, photoElec, photoElec, photoElec, photoElec, photoElec, photoElec, secondElec True from ambiant electrons, secondElec True from ambiant electrons, secondElec True from ambiant electrons, secondElec True from ambiant electrons, secondElec True from ambiant electrons, secondElec True from ambiant electrons, secondElec True from ambiant electrons, secondElec True from ambiant electrons, secondElec True from ambiant electrons, secondElec BS from ambiant electrons, secondElec BS from ambiant electrons, secondElec BS from ambiant electrons, secondElec BS from ambiant electrons, secondElec BS from ambiant electrons, secondElec BS from ambiant electrons, secondElec BS from ambiant electrons, secondElec BS from ambiant electrons, secondElec BS from ambiant electrons, secondElec from ambiant protons, secondElec from ambiant protons, secondElec from ambiant protons, secondElec from ambiant protons, secondElec from ambiant protons, secondElec from ambiant protons, secondElec from ambiant protons, secondElec from ambiant protons, secondElec from ambiant protons, 
#        ,   allNodes,  node0,  node1,  node2,  node3,  node4,  node5,  node6,  node7,  allNodes,  node0,  node1,  node2,  node3,  node4,  node5,  node6,  node7,  allNodes,  node0,  node1,  node2,  node3,  node4,  node5,  node6,  node7,  allNodes,  node0,  node1,  node2,  node3,  node4,  node5,  node6,  node7,  allNodes,  node0,  node1,  node2,  node3,  node4,  node5,  node6,  node7,  allNodes,  node0,  node1,  node2,  node3,  node4,  node5,  node6,  node7,  allNodes,  node0,  node1,  node2,  node3,  node4,  node5,  node6,  node7, 
10.442997, -0.0020749413, -2.157374E-4, -3.7459013E-5, -7.164895E-6, -1.9546322E-5, -5.6234527E-5, -0.001485117, -2.1853649E-4, -3.514548E-5, 4.459115E-6, 5.062598E-7, 2.0387449E-7, 3.3508048E-8, 7.068615E-8, 3.1772282E-7, 1.5784427E-6, 1.5802942E-6, 1.6832666E-7, -5.903275E-4, -7.106705E-5, -2.8180302E-5, -5.0730746E-6, -1.1174812E-5, -4.5428867E-5, -2.0339157E-4, -2.0271538E-4, -2.3296228E-5, -0.001097659, -1.2588363E-4, -7.268693E-6, -1.4961762E-6, -6.9923626E-6, -7.33799E-6, -9.321611E-4, -8.2221095E-6, -8.296672E-6, -3.796427E-4, -1.6381384E-5, -1.5925156E-6, -4.206919E-7, -1.1108235E-6, -2.4921417E-6, -3.468549E-4, -7.4464256E-6, -3.3439976E-6, -5.133152E-6, -1.6833568E-6, -4.2898867E-7, -1.9427675E-7, -2.1173878E-7, -9.694519E-7, -4.409441E-7, -9.4719456E-7, -2.5720098E-7, -6.638296E-6, -1.2282262E-6, -1.9239693E-7, -1.4186546E-8, -1.2727033E-7, -3.2381686E-7, -3.8469775E-6, -7.85711E-7, -1.1970569E-7, 
20.983475, -0.002100766, -2.1589916E-4, -2.8070397E-5, -5.8897504E-6, -2.0910242E-5, -4.5740413E-5, -0.0015599552, -1.964188E-4, -2.7883032E-5, 4.486811E-6, 5.1187936E-7, 2.0597022E-7, 3.335476E-8, 7.100087E-8, 3.1873793E-7, 1.5854577E-6, 1.5902E-6, 1.7021014E-7, -5.793746E-4, -6.971308E-5, -2.764762E-5, -4.973154E-6, -1.0980338E-5, -4.4570148E-5, -2.01055E-4, -1.9763414E-4, -2.2801185E-5, -0.0011325991, -1.3116376E-4, -7.326859E-8, -7.04782E-10, -9.136148E-6, -2.3586247E-7, -9.8897E-4, -3.2657408E-12, -3.0191527E-6, -3.819889E-4, -1.286663E-5, -2.1094972E-7, -5.771512E-8, -5.455709E-7, -2.3096231E-7, -3.6659063E-4, -3.470113E-7, -1.1395468E-6, -6.2345835E-6, -1.6105631E-6, -3.0271252E-7, -8.8726586E-7, -2.0498368E-7, -9.873698E-7, -1.2211675E-6, 0.0, -1.0205207E-6, -5.0566896E-6, -1.0570077E-6, -4.1814335E-8, -4.265576E-9, -1.1420384E-7, -3.4824083E-8, -3.7039124E-6, -2.7828287E-8, -7.283333E-8, 
32.641376, -0.0021443998, -2.0455474E-4, -2.7827073E-5, -4.9522946E-6, -2.3587103E-5, -4.5587032E-5, -0.0016174029, -1.931688E-4, -2.7319576E-5, 4.5262523E-6, 5.1444425E-7, 2.0562608E-7, 3.359443E-8, 7.196385E-8, 3.2345986E-7, 1.5984989E-6, 1.6076127E-6, 1.710522E-7, -5.705459E-4, -6.8624344E-5, -2.722201E-5, -4.893728E-6, -1.082537E-5, -4.388402E-5, -1.9914263E-4, -1.9356227E-4, -2.239156E-5, -0.00117539, -1.22010184E-4, -3.9176292E-8, -1.21588775E-8, -1.1422994E-5, -3.3273938E-7, -0.0010381949, 0.0, -3.3778613E-6, -3.921055E-4, -1.2402807E-5, -2.78418E-7, -3.6942893E-8, -6.3616983E-7, -3.153693E-7, -3.766196E-4, -1.6268551E-7, -1.653467E-6, -5.6289796E-6, -1.0124772E-6, -4.4753628E-7, -4.0629292E-8, -6.341786E-7, -1.3412171E-6, -1.1077739E-6, -1.0419044E-6, -3.2631797E-9, -5.2553128E-6, -1.0193752E-6, -4.5559187E-8, -2.4299265E-9, -1.403548E-7, -3.7148347E-8, -3.9364E-6, -9.568016E-9, -6.447639E-8, 
49.23741, -0.0020860888, -2.141079E-4, -2.7089218E-5, -4.821536E-6, -2.1187649E-5, -4.4620672E-5, -0.0015615069, -1.8703146E-4, -2.572275E-5, 4.557682E-6, 5.182031E-7, 2.096254E-7, 3.3704005E-8, 7.249493E-8, 3.2503357E-7, 1.601642E-6, 1.6244459E-6, 1.7253235E-7, -5.580993E-4, -6.710966E-5, -2.6624597E-5, -4.783741E-6, -1.0606365E-5, -4.2920943E-5, -1.96271E-4, -1.8793855E-4, -2.18444E-5, -0.0011476489, -1.3313284E-4, -2.658755E-8, 0.0, -9.88187E-6, -3.7281876E-7, -0.0010009892, 0.0, -3.2456392E-6, -3.762856E-4, -1.2688277E-5, -2.3739737E-7, -6.561068E-8, -6.4472744E-7, -1.02382366E-7, -3.6157042E-4, -2.648132E-7, -7.119408E-7, -3.3286601E-6, -6.011315E-7, -3.703846E-7, -2.138882E-9, 0.0, -1.5107523E-6, -4.2292663E-7, -4.2132606E-7, 0.0, -5.2835776E-6, -1.0942002E-6, -3.9876515E-8, -3.74876E-9, -1.271791E-7, -3.8819678E-8, -3.855269E-6, -3.1177322E-8, -9.33058E-8, 
50.256447, -0.0022188225, -1.8783502E-4, -2.6318203E-5, -4.6939645E-6, -2.545702E-5, -4.346615E-5, -0.001716346, -1.859628E-4, -2.874351E-5, 4.583962E-6, 5.1775794E-7, 2.1106987E-7, 3.543074E-8, 7.192367E-8, 3.2565956E-7, 1.6056127E-6, 1.6436184E-6, 1.7288924E-7, -5.4989173E-4, -6.598505E-5, -2.6220472E-5, -4.7076346E-6, -1.0464617E-5, -4.226945E-5, -1.9510546E-4, -1.8367445E-4, -2.1464539E-5, -0.0012459239, -1.0918156E-4, -1.977949E-8, 0.0, -1.3451335E-5, -4.715805E-7, -0.0011180395, 0.0, -4.760235E-6, -4.140617E-4, -1.1016247E-5, -2.4558952E-7, -2.0619042E-8, -6.7209487E-7, -1.7168728E-7, -3.9969615E-4, -2.8350843E-7, -1.9558156E-6, -7.916716E-6, -1.2414116E-6, 0.0, 0.0, -7.5496973E-7, -8.3121665E-7, -8.625163E-7, -3.598563E-6, -6.280389E-7, -5.6124627E-6, -9.2849604E-7, -4.3433662E-8, -1.1412509E-9, -1.8592297E-7, -4.7871524E-8, -4.247945E-6, -4.987784E-8, -1.07774106E-7, 
68.72825, -0.0020502072, -2.0750386E-4, -2.5983463E-5, -4.656256E-6, -1.8973555E-5, -4.4065804E-5, -0.0015427255, -1.8000089E-4, -2.6297083E-5, 4.6109512E-6, 5.2420734E-7, 2.1250769E-7, 3.5078084E-8, 7.2378974E-8, 3.2691563E-7, 1.6133807E-6, 1.6510176E-6, 1.7546452E-7, -5.419118E-4, -6.5111766E-5, -2.584821E-5, -4.6399027E-6, -1.0319757E-5, -4.166935E-5, -1.9250397E-4, -1.8068322E-4, -2.1135733E-5, -0.0011337182, -1.2953696E-4, -2.3602373E-8, 0.0, -6.88574E-6, -4.1849103E-7, -9.930471E-4, 0.0, -3.8062756E-6, -3.6931538E-4, -1.1938083E-5, -1.1594373E-7, -4.70569E-8, -7.455893E-7, -1.08554524E-7, -3.549965E-4, -3.843137E-7, -9.793596E-7, -4.666681E-6, -3.7820453E-7, -1.8372948E-7, 0.0, -9.502803E-7, -2.1555932E-6, 0.0, -5.448916E-7, -4.5398144E-7, -5.205087E-6, -1.0630596E-6, -2.448069E-8, -4.3747597E-9, -1.4456494E-7, -4.0726906E-8, -3.791166E-6, -3.9514166E-8, -9.720084E-8, 
70.24577, -0.0021279845, -2.1756774E-4, -2.5378751E-5, -7.1889353E-6, -2.251319E-5, -4.0979252E-5, -0.0016138459, -1.7382667E-4, -2.6684795E-5, 4.644099E-6, 5.2726665E-7, 2.1459707E-7, 3.4278127E-8, 7.277245E-8, 3.2694993E-7, 1.6227766E-6, 1.6702442E-6, 1.7521454E-7, -5.299812E-4, -6.367055E-5, -2.527034E-5, -4.532288E-6, -1.0115826E-5, -4.0737774E-5, -1.8980326E-4, -1.752379E-4, -2.061332E-5, -0.0012071532, -1.4006508E-4, -3.0618683E-8, 0.0, -1.1568793E-5, -4.5107532E-7, -0.0010510898, 0.0, -3.9478796E-6, -3.8591173E-4, -1.298749E-5, -2.5068115E-7, -1.4889731E-7, -7.228526E-7, -7.3446415E-8, -3.7062622E-4, -1.9675103E-7, -9.053498E-7, -4.0528116E-6, -2.209842E-7, 0.0, -2.536689E-6, 0.0, 0.0, 0.0, 0.0, -1.2951386E-6, -5.530115E-6, -1.1508931E-6, -4.170583E-8, -5.3387077E-9, -1.784898E-7, -4.3904393E-8, -3.9491997E-6, -6.225931E-8, -9.8324094E-8, 
83.277016, -0.0020597745, -2.1306943E-4, -2.5243198E-5, -4.792163E-6, -2.029601E-5, -4.0857645E-5, -0.0015579014, -1.7071629E-4, -2.6898117E-5, 4.674043E-6, 5.3146994E-7, 2.1520765E-7, 3.5078752E-8, 7.3936455E-8, 3.3454904E-7, 1.625991E-6, 1.6810142E-6, 1.7679547E-7, -5.227336E-4, -6.277624E-5, -2.492754E-5, -4.4669996E-6, -9.978615E-6, -4.018515E-5, -1.8797597E-4, -1.721206E-4, -2.0302547E-5, -0.0011618251, -1.3546276E-4, -2.2838924E-8, 0.0, -8.760154E-6, -4.6842666E-7, -0.0010128607, 0.0, -4.2502793E-6, -3.6756415E-4, -1.2363961E-5, -2.1721173E-7, -7.6832606E-8, -6.2178077E-7, -1.0787084E-7, -3.5254192E-4, -2.501362E-7, -1.3844915E-6, -7.033862E-6, -1.8740516E-6, -2.5179145E-7, -2.7883436E-7, -8.513642E-7, -3.818386E-7, -2.3470411E-6, 0.0, -1.0489407E-6, -5.291507E-6, -1.1239123E-6, -3.9025128E-8, -4.5752078E-9, -1.5803064E-7, -4.8908138E-8, -3.8018657E-6, -2.6537744E-8, -8.865338E-8, 
117.57017, -0.0020248834, -2.1232465E-4, -2.4690271E-5, -4.415261E-6, -1.7905064E-5, -4.029441E-5, -0.0015313751, -1.6905121E-4, -2.4827681E-5, 4.682637E-6, 5.3392137E-7, 2.1297235E-7, 3.3938676E-8, 7.517289E-8, 3.3764587E-7, 1.6298487E-6, 1.6806488E-6, 1.7848863E-7, -5.1923824E-4, -6.233958E-5, -2.4759795E-5, -4.4340923E-6, -9.917676E-6, -3.991473E-5, -1.8723968E-4, -1.7048806E-4, -2.0144658E-5, -0.0011508957, -1.3496076E-4, -1.43741685E-8, 0.0, -7.157468E-6, -5.0125936E-7, -0.0010041987, 0.0, -4.0631485E-6, -3.5219482E-4, -1.2566213E-5, -1.0716686E-7, 0.0, -7.5010865E-7, -1.8631196E-7, -3.3772693E-4, -2.1043608E-7, -6.4762526E-7, -1.8613521E-6, -1.8613521E-6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -5.37609E-6, -1.1306483E-6, -2.1906896E-8, -1.5107481E-8, -1.5498287E-7, -2.975684E-8, -3.839571E-6, -3.337936E-8, -1.5073705E-7, 
117.79344, -0.002421667, -2.4805014E-4, -2.4552604E-5, -4.4119665E-6, -2.8190772E-5, -3.9896462E-5, -0.0018818455, -1.6728969E-4, -2.7430175E-5, 4.715378E-6, 5.3449406E-7, 2.1818704E-7, 3.463153E-8, 7.431907E-8, 3.364725E-7, 1.6366735E-6, 1.700552E-6, 1.8004812E-7, -5.101931E-4, -6.124745E-5, -2.4273626E-5, -4.3426908E-6, -9.786728E-6, -3.913101E-5, -1.872629E-4, -1.6447276E-4, -1.9675965E-5, -0.0014525233, -1.7062415E-4, -4.2437165E-8, 0.0, -1.755725E-5, -7.256831E-7, -0.0012574054, 0.0, -6.1684746E-6, -4.5262335E-4, -1.5356547E-5, -3.9635307E-7, -9.89786E-8, -6.42423E-7, -2.7395336E-7, -4.3388573E-4, -3.5392068E-7, -1.6154474E-6, -4.1216313E-6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -4.1216313E-6, 0.0, -6.9212133E-6, -1.3565054E-6, -5.8375218E-8, -4.928513E-9, -2.7869046E-7, -1.022931E-7, -4.928153E-6, -4.193295E-8, -1.5033473E-7, 
