#    time,   allInteract,  allInteract,  allInteract,  allInteract,  allInteract,  allInteract,  allInteract,  allInteract,  allInteract, 0-photoemission, 0-photoemission, 0-photoemission, 0-photoemission, 0-photoemission, 0-photoemission, 0-photoemission, 0-photoemission, 0-photoemission, 1-secondary emission from electrons of Ambiant_Electrons, 1-secondary emission from electrons of Ambiant_Electrons, 1-secondary emission from electrons of Ambiant_Electrons, 1-secondary emission from electrons of Ambiant_Electrons, 1-secondary emission from electrons of Ambiant_Electrons, 1-secondary emission from electrons of Ambiant_Electrons, 1-secondary emission from electrons of Ambiant_Electrons, 1-secondary emission from electrons of Ambiant_Electrons, 1-secondary emission from electrons of Ambiant_Electrons, 2-secondary emission from protons of Ambiant_Protons, 2-secondary emission from protons of Ambiant_Protons, 2-secondary emission from protons of Ambiant_Protons, 2-secondary emission from protons of Ambiant_Protons, 2-secondary emission from protons of Ambiant_Protons, 2-secondary emission from protons of Ambiant_Protons, 2-secondary emission from protons of Ambiant_Protons, 2-secondary emission from protons of Ambiant_Protons, 2-secondary emission from protons of Ambiant_Protons, 
#        ,   allNodes,  node0,  node1,  node2,  node3,  node4,  node5,  node6,  node7,  allNodes,  node0,  node1,  node2,  node3,  node4,  node5,  node6,  node7,  allNodes,  node0,  node1,  node2,  node3,  node4,  node5,  node6,  node7,  allNodes,  node0,  node1,  node2,  node3,  node4,  node5,  node6,  node7, 
10.442997, -0.002003968, -2.0945248E-4, -1.2989769E-5, -4.7551744E-6, -1.9362062E-5, -1.5723013E-5, -0.001626646, -9.224308E-5, -2.2797734E-5, -0.0013343372, -1.6054368E-4, -2.3596432E-7, 0.0, -1.6832777E-5, -4.57878E-6, -0.001139917, 0.0, -1.2226179E-5, -6.524787E-4, -4.654275E-5, -1.184708E-5, -4.594647E-6, -2.2232289E-6, -9.78148E-6, -4.8247352E-4, -8.522214E-5, -9.793801E-6, -1.7157097E-5, -2.3659509E-6, -9.067318E-7, -1.6052843E-7, -3.0605813E-7, -1.362744E-6, -4.2563947E-6, -7.0209344E-6, -7.7775667E-7, 
20.983475, -0.0019947146, -2.0859098E-4, -1.2763863E-5, -4.664746E-6, -1.9321926E-5, -1.55154E-5, -0.0016210928, -9.016392E-5, -2.260061E-5, -0.001334334, -1.6054368E-4, -2.3596435E-7, 0.0, -1.6832779E-5, -4.5787824E-6, -0.0011399165, 0.0, -1.2226179E-5, -6.4316683E-4, -4.5656E-5, -1.1623141E-5, -4.5041497E-6, -2.184538E-6, -9.596582E-6, -4.7693067E-4, -8.308596E-5, -9.585684E-6, -1.721341E-5, -2.3912908E-6, -9.047579E-7, -1.6059575E-7, -3.0460666E-7, -1.3400326E-6, -4.2454167E-6, -7.0779597E-6, -7.887495E-7, 
32.641376, -0.0019873416, -2.0787983E-4, -1.26017285E-5, -4.61523E-6, -1.928485E-5, -1.5404448E-5, -0.0016166146, -8.850659E-5, -2.2434808E-5, -0.001334334, -1.605437E-4, -2.3596435E-7, 0.0, -1.6832779E-5, -4.578783E-6, -0.0011399165, 0.0, -1.2226179E-5, -6.356038E-4, -4.4942983E-5, -1.1444214E-5, -4.432215E-6, -2.1537076E-6, -9.448854E-6, -4.7239428E-4, -8.1374135E-5, -9.413476E-6, -1.7404322E-5, -2.3931625E-6, -9.215497E-7, -1.8301489E-7, -2.9835937E-7, -1.3768102E-6, -4.303827E-6, -7.132447E-6, -7.9515235E-7, 
49.23741, -0.001976505, -2.0691757E-4, -1.234788E-5, -4.4932235E-6, -1.9250974E-5, -1.5214875E-5, -0.0016098566, -8.621605E-5, -2.2207594E-5, -0.001334334, -1.6054368E-4, -2.3596435E-7, 0.0, -1.6832779E-5, -4.5787824E-6, -0.0011399165, 0.0, -1.2226179E-5, -6.246042E-4, -4.3950982E-5, -1.11930585E-5, -4.3326013E-6, -2.1101366E-6, -9.241489E-6, -4.655826E-4, -7.900989E-5, -9.18345E-6, -1.7566443E-5, -2.4229116E-6, -9.1885806E-7, -1.6062239E-7, -3.080592E-7, -1.3946026E-6, -4.3572663E-6, -7.206156E-6, -7.9796814E-7, 
50.256447, -0.0019708038, -2.0617287E-4, -1.2266981E-5, -4.432399E-6, -1.9228046E-5, -1.5084945E-5, -0.0016070468, -8.4534E-5, -2.2038403E-5, -0.0013343338, -1.605437E-4, -2.3596435E-7, 0.0, -1.6832782E-5, -4.578783E-6, -0.0011399165, 0.0, -1.2226179E-5, -6.1874336E-4, -4.321445E-5, -1.1023161E-5, -4.263671E-6, -2.0819357E-6, -9.101214E-6, -4.6281793E-4, -7.7217286E-5, -9.023755E-6, -1.7727005E-5, -2.4147346E-6, -1.0078545E-6, -1.6872697E-7, -3.1333008E-7, -1.4049463E-6, -4.312241E-6, -7.316701E-6, -7.884677E-7, 
68.72825, -0.001962365, -2.0563244E-4, -1.20318355E-5, -4.367187E-6, -1.9189372E-5, -1.4939013E-5, -0.0016009111, -8.3354185E-5, -2.1938447E-5, -0.0013343339, -1.6054368E-4, -2.3596435E-7, 0.0, -1.6832779E-5, -4.5787824E-6, -0.0011399165, 0.0, -1.2226179E-5, -6.102284E-4, -4.2642532E-5, -1.0866663E-5, -4.2023275E-6, -2.053116E-6, -8.972004E-6, -4.5664652E-4, -7.595973E-5, -8.885525E-6, -1.7801272E-5, -2.446211E-6, -9.2920845E-7, -1.6486008E-7, -3.0347564E-7, -1.3882271E-6, -4.348092E-6, -7.394457E-6, -8.267436E-7, 
70.24577, -0.0019521007, -2.0470936E-4, -1.1777552E-5, -4.2679962E-6, -1.9150777E-5, -1.4766941E-5, -0.0015945176, -8.1189275E-5, -2.1720964E-5, -0.0013343338, -1.605437E-4, -2.3596435E-7, 0.0, -1.6832782E-5, -4.578783E-6, -0.0011399165, 0.0, -1.2226179E-5, -5.9978775E-4, -4.1698695E-5, -1.0623724E-5, -4.1048615E-6, -2.012544E-6, -8.771423E-6, -4.5024007E-4, -7.367056E-5, -8.665898E-6, -1.7978926E-5, -2.4669614E-6, -9.1786336E-7, -1.6313521E-7, -3.0545172E-7, -1.4167354E-6, -4.3611767E-6, -7.518718E-6, -8.2888647E-7, 
83.277016, -0.0019453525, -2.0414975E-4, -1.1661046E-5, -4.2109987E-6, -1.9149391E-5, -1.4667184E-5, -0.00159014, -7.9798236E-5, -2.1576077E-5, -0.001334334, -1.605437E-4, -2.3596435E-7, 0.0, -1.683278E-5, -4.578783E-6, -0.0011399165, 0.0, -1.2226179E-5, -5.930767E-4, -4.1112984E-5, -1.0479607E-5, -4.0457303E-6, -1.9852457E-6, -8.652433E-6, -4.4590546E-4, -7.236002E-5, -8.5352485E-6, -1.7941984E-5, -2.4930582E-6, -9.454745E-7, -1.6526857E-7, -3.3136607E-7, -1.4359696E-6, -4.317976E-6, -7.4382206E-6, -8.1465066E-7, 
117.57017, -0.0019423064, -2.0381827E-4, -1.1548689E-5, -4.1696035E-6, -1.9145258E-5, -1.46083785E-5, -0.0015883872, -7.909103E-5, -2.1538086E-5, -0.0013343339, -1.605437E-4, -2.3596435E-7, 0.0, -1.683278E-5, -4.578783E-6, -0.0011399165, 0.0, -1.2226179E-5, -5.9012085E-4, -4.082701E-5, -1.0409091E-5, -4.015926E-6, -1.9731217E-6, -8.5942065E-6, -4.4415888E-4, -7.16737E-5, -8.468874E-6, -1.785167E-5, -2.4475678E-6, -9.0363415E-7, -1.5367729E-7, -3.3935564E-7, -1.4353895E-6, -4.311678E-6, -7.4173336E-6, -8.4303343E-7, 
117.79344, -0.0019386715, -2.0316835E-4, -1.1456798E-5, -4.088114E-6, -1.9109615E-5, -1.4455705E-5, -0.001588488, -7.657331E-5, -2.1331593E-5, -0.0013343339, -1.605437E-4, -2.3596435E-7, 0.0, -1.683278E-5, -4.578783E-6, -0.0011399165, 0.0, -1.2226179E-5, -5.862531E-4, -4.0111747E-5, -1.0204703E-5, -3.9331444E-6, -1.94707E-6, -8.42546E-6, -4.4421435E-4, -6.914481E-5, -8.271829E-6, -1.80844E-5, -2.5128877E-6, -1.0161307E-6, -1.5496944E-7, -3.2976533E-7, -1.4514629E-6, -4.357094E-6, -7.428504E-6, -8.3358594E-7, 
