Time (s) ,simulation time step (s)
1.3303286, -0.015034709
4.923375, 0.41857937
6.244575, -0.0030886433
7.5621, 0.046072517
8.873744, 0.040314075
10.442997, 0.11721341
12.812, 0.29594472
14.768104, 0.21322177
15.797694, -0.2851858
20.983475, 0.7148142
22.487284, 0.098417394
24.168917, -0.07199057
32.641376, 0.9280094
33.706486, -0.1674925
35.173935, 0.16656357
37.263184, 0.047550917
39.21835, 8.270453E-4
49.23741, 1.0008271
50.256447, -0.37691537
54.58763, 0.5704816
56.050747, -0.13331272
57.203247, 0.06164081
68.72825, 1.0616409
70.24577, -0.04483717
79.26487, 0.9551628
83.277016, 0.5352074
117.57017, 1.5352074
118.96974, -0.29755682
120.254196, -0.17660078
126.91304, 0.8233992
128.20407, -0.17720844
134.8536, 0.8227916
136.17007, -0.17153098
142.90712, 0.82846904
210.2775, 1.828469
211.72522, -0.32278898
212.90594, -0.35921922
219.2625, 0.7334797
221.10936, -0.016828878
230.72926, 0.9831711
232.29652, -0.08721251
240.47717, 0.9127875
322.2836, 1.9127874
323.44504, -0.39086148
324.7736, -0.35418558
326.20642, -0.16052373
335.1345, 0.9093647
416.29874, 1.9093647
418.0528, -0.09965253
419.7274, -0.07224384
428.19492, 0.9277562
512.8701, 1.9277562
514.2813, -0.26893044
515.77185, -0.118053846
524.379, 0.8934674
602.626, 1.8934674
603.9602, -0.12243688
611.50354, 0.8775631
686.9368, 1.8775631
786.9368, 2.0
886.9368, 2.0
986.9368, 2.0
1086.9369, 2.0
