#    time,   elecNode0ground, elecNode0surface, elecNode1ground, elecNode1surface, elecNode2ground, elecNode2surface, elecNode3ground, elecNode3surface, elecNode4ground, elecNode4surface, elecNode5ground, elecNode5surface, elecNode6ground, elecNode6surface, elecNode7ground, elecNode7surface, 
0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
10.442997, -206.05373, -202.50919, -206.05373, -206.05365, -206.05373, -217.6198, -206.05373, -187.8824, -206.05373, -206.05368, -206.05373, -113.038414, -206.05373, -281.57858, -206.05373, -234.54068, 
20.983475, -390.35675, -397.88138, -390.35675, -390.35684, -390.35675, -411.4569, -390.35675, -345.2649, -390.35675, -390.35654, -390.35675, -210.7766, -390.35675, -538.4715, -390.35675, -456.44043, 
32.641376, -595.3449, -597.8409, -595.3449, -595.3448, -595.3449, -622.0797, -595.3449, -534.80804, -595.3449, -595.34454, -595.3449, -327.77673, -595.3449, -821.64856, -595.3449, -690.4906, 
49.23741, -846.76166, -873.41754, -846.76166, -846.76166, -846.76166, -883.8916, -846.76166, -763.25653, -846.76166, -846.7615, -846.76166, -455.2309, -846.76166, -1180.8527, -846.76166, -974.6131, 
50.256447, -983.3534, -1004.9163, -983.3534, -983.3532, -983.3534, -1021.0602, -983.3534, -904.2081, -983.3534, -983.35315, -983.3534, -600.71063, -983.3534, -1324.2417, -983.3534, -1114.9513, 
68.72825, -1290.4728, -1300.8031, -1290.4728, -1290.4724, -1290.4728, -1338.5161, -1290.4728, -1171.6351, -1290.4728, -1290.4724, -1290.4728, -787.90875, -1290.4728, -1746.1329, -1290.4728, -1463.834, 
70.24577, -1421.35, -1438.0814, -1421.35, -1421.3501, -1421.35, -1478.0818, -1421.35, -1303.2506, -1421.35, -1421.3495, -1421.35, -924.4401, -1421.35, -1886.3073, -1421.35, -1599.8082, 
83.277016, -1596.6233, -1618.3478, -1596.6233, -1596.6232, -1596.6233, -1664.2712, -1596.6233, -1471.242, -1596.6233, -1596.623, -1596.6233, -1015.1652, -1596.6233, -2138.8306, -1596.6233, -1803.1434, 
117.57017, -1834.5907, -1841.4587, -1834.5907, -1834.5908, -1834.5907, -1914.5536, -1834.5907, -1627.1465, -1834.5907, -1834.5903, -1834.5907, -1013.3312, -1834.5907, -2571.107, -1834.5907, -2095.4375, 
117.79344, -1919.0781, -1930.6234, -1919.0781, -1919.078, -1919.0781, -1999.2318, -1919.0781, -1710.8289, -1919.0781, -1919.0773, -1919.0781, -1105.2972, -1919.0781, -2657.1292, -1919.0781, -2180.4937, 
118.03845, -1967.8885, -1982.5654, -1967.8885, -1967.8883, -1967.8885, -2048.265, -1967.8885, -1760.2894, -1967.8885, -1967.8883, -1967.8885, -1158.8795, -1967.8885, -2707.4238, -1967.8885, -2230.0244, 
120.254196, -2195.9539, -2228.043, -2195.9539, -2195.9539, -2195.9539, -2277.6655, -2195.9539, -1985.9692, -2195.9539, -2195.953, -2195.9539, -1406.8612, -2195.9539, -2947.987, -2195.9539, -2464.79, 
134.8536, -2465.661, -2506.434, -2465.661, -2465.661, -2465.661, -2559.0369, -2465.661, -2223.7703, -2465.661, -2465.6611, -2465.661, -1612.7739, -2465.661, -3295.946, -2465.661, -2764.6282, 
142.90712, -2564.6921, -2610.9731, -2564.6921, -2564.6921, -2564.6921, -2661.6042, -2564.6921, -2308.7483, -2564.6921, -2564.6929, -2564.6921, -1665.557, -2564.6921, -3438.3972, -2564.6921, -2877.884, 
210.2775, -2956.643, -2960.7732, -2956.643, -2956.6423, -2956.643, -3071.9138, -2956.643, -2579.8396, -2956.643, -2956.6418, -2956.643, -1636.663, -2956.643, -4163.78, -2956.643, -3387.631, 
210.52135, -3040.1538, -3048.2222, -3040.1538, -3040.1538, -3040.1538, -3155.6008, -3040.1538, -2661.0203, -3040.1538, -3040.1523, -3040.1538, -1726.9825, -3040.1538, -4249.2915, -3040.1538, -3471.7769, 
210.78894, -3086.961, -3097.618, -3086.961, -3086.9612, -3086.961, -3202.5598, -3086.961, -2706.6643, -3086.961, -3086.9592, -3086.961, -1778.0952, -3086.961, -4297.7837, -3086.961, -3519.0137, 
211.24965, -3150.8452, -3165.3682, -3150.8452, -3150.8447, -3150.8452, -3266.8213, -3150.8452, -2769.8472, -3150.8452, -3150.8438, -3150.8452, -1848.3318, -3150.8452, -4364.126, -3150.8452, -3583.653, 
211.72522, -3220.882, -3239.084, -3220.882, -3220.8818, -3220.882, -3337.1633, -3220.882, -2838.6768, -3220.882, -3220.8813, -3220.882, -1926.4559, -3220.882, -4436.61, -3220.882, -3654.521, 
212.20938, -3288.126, -3309.932, -3288.126, -3288.1262, -3288.126, -3404.7683, -3288.126, -2904.7407, -3288.126, -3288.1248, -3288.126, -2002.0485, -3288.126, -4506.2666, -3288.126, -3722.5977, 
212.46864, -3323.115, -3346.38, -3323.115, -3323.1152, -3323.115, -3440.1514, -3323.115, -2939.3499, -3323.115, -3323.1135, -3323.115, -2041.9108, -3323.115, -4542.5684, -3323.115, -3758.1562, 
220.14735, -3573.639, -3596.6138, -3573.639, -3573.6382, -3573.639, -3693.1584, -3573.639, -3164.4395, -3573.639, -3573.6372, -3573.639, -2288.056, -3573.639, -4829.7515, -3573.639, -4018.902, 
230.72926, -3711.12, -3718.3965, -3711.12, -3711.121, -3711.12, -3834.917, -3711.12, -3279.219, -3711.12, -3711.1187, -3711.12, -2387.3477, -3711.12, -5014.7876, -3711.12, -4180.442, 
240.47717, -3873.637, -3894.3137, -3873.637, -3873.637, -3873.637, -4001.9539, -3873.637, -3423.2058, -3873.637, -3873.6362, -3873.637, -2519.3032, -3873.637, -5220.17, -3873.637, -4354.9893, 
322.2836, -4337.8726, -4295.6846, -4337.8726, -4337.8726, -4337.8726, -4594.226, -4337.8726, -3753.5613, -4337.8726, -4337.87, -4337.8726, -2512.4941, -4337.8726, -6025.7856, -4337.8726, -5129.931, 
322.52728, -4407.954, -4371.059, -4407.954, -4407.9536, -4407.954, -4668.318, -4407.954, -3819.6877, -4407.954, -4407.951, -4407.954, -2590.34, -4407.954, -6097.6367, -4407.954, -5200.3306, 
322.78928, -4450.9937, -4417.76, -4450.9937, -4450.992, -4450.9937, -4713.2754, -4450.9937, -3860.5583, -4450.9937, -4450.9917, -4450.9937, -2639.0513, -4450.9937, -6141.9937, -4450.9937, -5243.591, 
323.03845, -4494.8027, -4464.6265, -4494.8027, -4494.8027, -4494.8027, -4758.0615, -4494.8027, -3903.622, -4494.8027, -4494.8003, -4494.8027, -2688.1707, -4494.8027, -6186.948, -4494.8027, -5287.56, 
323.44504, -4561.6797, -4536.1206, -4561.6797, -4561.6787, -4561.6797, -4825.51, -4561.6797, -3969.245, -4561.6797, -4561.678, -4561.6797, -2763.2107, -4561.6797, -6255.547, -4561.6797, -5354.8467, 
323.89612, -4629.474, -4608.703, -4629.474, -4629.475, -4629.474, -4893.8433, -4629.474, -4035.7878, -4629.474, -4629.4697, -4629.474, -2839.8513, -4629.474, -6325.206, -4629.474, -5422.9233, 
324.3312, -4698.696, -4682.7495, -4698.696, -4698.6963, -4698.696, -4963.2456, -4698.696, -4103.8926, -4698.696, -4698.694, -4698.696, -2918.5432, -4698.696, -6396.194, -4698.696, -5492.5347, 
324.7736, -4757.1904, -4745.6084, -4757.1904, -4757.1904, -4757.1904, -5022.076, -4757.1904, -4161.0815, -4757.1904, -4757.1885, -4757.1904, -2985.28, -4757.1904, -6456.4473, -4757.1904, -5551.298, 
335.1345, -4954.735, -4976.982, -4954.735, -4954.7354, -4954.735, -5223.823, -4954.735, -4327.421, -4954.735, -4954.7334, -4954.735, -3160.6648, -4954.735, -6693.2793, -4954.735, -5754.1226, 
416.29874, -5298.6553, -5289.2407, -5298.6553, -5298.654, -5298.6553, -5605.0625, -5298.6553, -4540.2, -5298.6553, -5298.6533, -5298.6553, -3141.4504, -5298.6553, -7325.019, -5298.6553, -6183.873, 
416.7646, -5375.986, -5371.272, -5375.986, -5375.9863, -5375.986, -5683.015, -5375.986, -4614.8423, -5375.986, -5375.985, -5375.986, -3225.7795, -5375.986, -7404.5376, -5375.986, -6261.4116, 
417.25784, -5418.9194, -5417.5625, -5418.9194, -5418.919, -5418.9194, -5726.3564, -5418.9194, -4656.649, -5418.9194, -5418.915, -5418.9194, -3273.151, -5418.9194, -7449.4927, -5418.9194, -6304.5454, 
418.0528, -5473.3887, -5475.8213, -5473.3887, -5473.388, -5473.3887, -5781.4346, -5473.3887, -4711.3086, -5473.3887, -5473.3867, -5473.3887, -3332.905, -5473.3887, -7506.9155, -5473.3887, -6359.6987, 
418.88065, -5532.777, -5539.087, -5532.777, -5532.7754, -5532.777, -5841.1143, -5532.777, -4769.3726, -5532.777, -5532.774, -5532.777, -3399.012, -5532.777, -7569.3027, -5532.777, -6419.559, 
419.7274, -5583.3315, -5593.6353, -5583.3315, -5583.331, -5583.3315, -5891.9487, -5583.3315, -4818.383, -5583.3315, -5583.3286, -5583.3315, -3455.1829, -5583.3315, -7622.8604, -5583.3315, -6470.8936, 
428.19492, -5689.565, -5708.3657, -5689.565, -5689.564, -5689.565, -6001.566, -5689.565, -4912.9546, -5689.565, -5689.5605, -5689.565, -3539.8098, -5689.565, -7757.6235, -5689.565, -6581.8535, 
512.8701, -6030.277, -6048.519, -6030.277, -6030.278, -6030.277, -6356.237, -6030.277, -5177.7363, -6030.277, -6030.276, -6030.277, -3541.9412, -6030.277, -8367.313, -6030.277, -6985.9697, 
513.2957, -6101.706, -6124.49, -6101.706, -6101.706, -6101.706, -6428.2334, -6101.706, -5245.6733, -6101.706, -6101.7017, -6101.706, -3623.1384, -6101.706, -8440.911, -6101.706, -7058.011, 
513.743, -6162.8896, -6189.341, -6162.8896, -6162.888, -6162.8896, -6489.727, -6162.8896, -5304.893, -6162.8896, -6162.8867, -6162.8896, -3693.878, -6162.8896, -8503.933, -6162.8896, -7119.3345, 
514.2813, -6221.259, -6251.2715, -6221.259, -6221.2603, -6221.259, -6548.3784, -6221.259, -5361.9907, -6221.259, -6221.2554, -6221.259, -3761.3237, -6221.259, -8564.269, -6221.259, -7177.758, 
514.43884, -6240.5615, -6271.5615, -6240.5615, -6240.56, -6240.5615, -6567.766, -6240.5615, -5380.3003, -6240.5615, -6240.557, -6240.5615, -3785.406, -6240.5615, -8584.281, -6240.5615, -7197.1455, 
514.60175, -6255.4727, -6287.1367, -6255.4727, -6255.4727, -6255.4727, -6582.723, -6255.4727, -5394.4497, -6255.4727, -6255.468, -6255.4727, -3803.6191, -6255.4727, -8599.874, -6255.4727, -7212.0493, 
515.0099, -6289.8765, -6322.4883, -6289.8765, -6289.878, -6289.8765, -6617.351, -6289.8765, -5427.923, -6289.8765, -6289.8735, -6289.8765, -3842.519, -6289.8765, -8635.669, -6289.8765, -7246.552, 
515.77185, -6352.171, -6386.6816, -6352.171, -6352.1704, -6352.171, -6679.7217, -6352.171, -5489.2915, -6352.171, -6352.168, -6352.171, -3912.4229, -6352.171, -8700.394, -6352.171, -7308.9966, 
516.5543, -6401.4062, -6437.0586, -6401.4062, -6401.4067, -6401.4062, -6729.1406, -6401.4062, -5536.823, -6401.4062, -6401.4004, -6401.4062, -3968.2632, -6401.4062, -8752.085, -6401.4062, -7358.492, 
524.379, -6542.805, -6568.3257, -6542.805, -6542.805, -6542.805, -6874.328, -6542.805, -5662.3975, -6542.805, -6542.803, -6542.805, -4105.1816, -6542.805, -8916.605, -6542.805, -7505.0947, 
602.626, -6868.763, -6827.4053, -6868.763, -6868.7637, -6868.763, -7218.418, -6868.763, -5840.874, -6868.763, -6868.762, -6868.763, -4166.869, -6868.763, -9462.783, -6868.763, -7889.503, 
603.2059, -6927.198, -6890.5474, -6927.198, -6927.196, -6927.198, -7277.2603, -6927.198, -5896.0967, -6927.198, -6927.1987, -6927.198, -4236.204, -6927.198, -9523.808, -6927.198, -7948.303, 
603.9602, -6979.1963, -6947.406, -6979.1963, -6979.195, -6979.1963, -7329.5435, -6979.1963, -5948.0396, -6979.1963, -6979.192, -6979.1963, -4297.286, -6979.1963, -9578.383, -6979.1963, -8000.549, 
611.50354, -7196.015, -7189.5796, -7196.015, -7196.0156, -7196.015, -7548.8936, -7196.015, -6170.059, -7196.015, -7196.0107, -7196.015, -4522.397, -7196.015, -9815.994, -7196.015, -8218.335, 
686.9368, -7492.2026, -7511.968, -7492.2026, -7492.2036, -7492.2026, -7858.9263, -7492.2026, -6617.6035, -7492.2026, -7492.198, -7492.2026, -4579.545, -7492.2026, -10304.999, -7492.2026, -8538.6875, 
786.9368, -7862.9614, -7893.6606, -7862.9614, -7862.9604, -7862.9614, -8228.78, -7862.9614, -6885.1914, -7862.9614, -7862.9536, -7862.9614, -4670.5176, -7862.9614, -10912.977, -7862.9614, -8915.212, 
886.9368, -8278.132, -8290.105, -8278.132, -8278.131, -8278.132, -8651.672, -8278.132, -7397.8394, -8278.132, -8278.124, -8278.132, -4836.8647, -8278.132, -11550.658, -8278.132, -9361.847, 
986.9368, -8714.973, -8810.388, -8714.973, -8714.971, -8714.973, -9152.105, -8714.973, -7701.995, -8714.973, -8714.967, -8714.973, -5050.7954, -8714.973, -12192.319, -8714.973, -9816.275, 
1086.9369, -9140.773, -9125.635, -9140.773, -9140.774, -9140.773, -9601.303, -9140.773, -8226.974, -9140.773, -9140.772, -9140.773, -5281.4736, -9140.773, -12809.073, -9140.773, -10254.768, 
