Energy (in eV), backscattering yield of material ITOC-NASCAP at incidence 10.0 degree
   X,       Y
0.0, 0.0
10.0, 0.0
20.0, 0.0
30.0, 0.0
40.0, 0.0
50.0, 0.0
60.0, 0.02066566
70.0, 0.037761867
80.0, 0.052448925
90.0, 0.065330535
100.0, 0.07680176
110.0, 0.08713874
120.0, 0.09654299
130.0, 0.10516636
140.0, 0.11312623
150.0, 0.12051524
160.0, 0.12740782
170.0, 0.13386473
180.0, 0.13993612
190.0, 0.14566402
200.0, 0.15108384
210.0, 0.15622582
220.0, 0.16111594
230.0, 0.16577667
240.0, 0.17022765
250.0, 0.17448603
260.0, 0.17856696
270.0, 0.18248391
280.0, 0.18624878
290.0, 0.1898723
300.0, 0.19336407
310.0, 0.19673271
320.0, 0.19998612
330.0, 0.20313132
340.0, 0.20617485
350.0, 0.20912257
360.0, 0.2119799
370.0, 0.21475177
380.0, 0.21744274
390.0, 0.22005707
400.0, 0.22259863
410.0, 0.22507094
420.0, 0.22747745
430.0, 0.22982118
440.0, 0.23210503
450.0, 0.23433171
460.0, 0.23650374
470.0, 0.23862344
480.0, 0.24069309
490.0, 0.24271467
500.0, 0.2446902
510.0, 0.24662144
520.0, 0.24851009
530.0, 0.25035793
540.0, 0.2521663
550.0, 0.25393674
560.0, 0.25567064
570.0, 0.25736925
580.0, 0.25903383
590.0, 0.26066554
600.0, 0.26226544
610.0, 0.26383469
620.0, 0.26537418
630.0, 0.26688495
640.0, 0.26836786
650.0, 0.2698238
660.0, 0.27125356
670.0, 0.27265796
680.0, 0.27403778
690.0, 0.2753937
700.0, 0.27672642
710.0, 0.2780366
720.0, 0.27932492
730.0, 0.28059188
740.0, 0.28183824
750.0, 0.2830644
760.0, 0.2842709
770.0, 0.28545836
780.0, 0.28662717
790.0, 0.28777796
800.0, 0.28891104
810.0, 0.2900269
820.0, 0.29112598
830.0, 0.2922087
840.0, 0.29327542
850.0, 0.29432657
860.0, 0.29536244
870.0, 0.29638347
880.0, 0.29738998
890.0, 0.29838228
900.0, 0.29936075
910.0, 0.30032557
920.0, 0.30127722
930.0, 0.30221584
940.0, 0.3031418
950.0, 0.30405533
960.0, 0.30495673
970.0, 0.3058462
980.0, 0.3067241
990.0, 0.30759054
1000.0, 0.3084458
1010.0, 0.30828175
1020.0, 0.30811802
1030.0, 0.30795464
