Energy (in eV), backscattering yield of material ITOC-TabulatedSEEE at incidence 40.0 degree
   X,       Y
0.0, 0.0
10.0, 0.0
20.0, 0.0
30.0, 0.0
40.0, 0.0
50.0, 0.0
60.0, 0.04892114
70.0, 0.07818871
80.0, 0.10095593
90.0, 0.119763374
100.0, 0.1358228
110.0, 0.14984103
120.0, 0.1622755
130.0, 0.1734424
140.0, 0.18357052
150.0, 0.19283131
160.0, 0.20135671
170.0, 0.20925069
180.0, 0.21659645
190.0, 0.22346196
200.0, 0.22990316
210.0, 0.23596685
220.0, 0.24169253
230.0, 0.2471138
240.0, 0.25225952
250.0, 0.2571547
260.0, 0.26182106
270.0, 0.26627764
280.0, 0.27054122
290.0, 0.2746267
300.0, 0.27854726
310.0, 0.2823147
320.0, 0.28593966
330.0, 0.28943163
340.0, 0.29279932
350.0, 0.29605046
360.0, 0.2991922
370.0, 0.302231
380.0, 0.3051728
390.0, 0.3080231
400.0, 0.3107868
410.0, 0.31346852
420.0, 0.31607258
430.0, 0.31860283
440.0, 0.32106292
450.0, 0.3234563
460.0, 0.325786
470.0, 0.32805502
480.0, 0.33026618
490.0, 0.3324219
500.0, 0.33452463
510.0, 0.3365766
520.0, 0.3385799
530.0, 0.3405366
540.0, 0.34244838
550.0, 0.34431717
560.0, 0.34614453
570.0, 0.34793207
580.0, 0.34968126
590.0, 0.35139346
600.0, 0.35307
610.0, 0.3547122
620.0, 0.35632116
630.0, 0.3578981
640.0, 0.35944396
650.0, 0.36095992
660.0, 0.36244684
670.0, 0.3639057
680.0, 0.3653374
690.0, 0.36674273
700.0, 0.36812255
710.0, 0.36947757
720.0, 0.3708086
730.0, 0.37211627
740.0, 0.37340134
750.0, 0.37466437
760.0, 0.375906
770.0, 0.37712684
780.0, 0.37832746
790.0, 0.37950847
800.0, 0.38067028
810.0, 0.38181344
820.0, 0.38293847
830.0, 0.3840458
840.0, 0.38513592
850.0, 0.38620925
860.0, 0.38726616
870.0, 0.3883071
880.0, 0.38933244
890.0, 0.3903426
900.0, 0.3913379
910.0, 0.39231867
920.0, 0.3932853
930.0, 0.39423805
940.0, 0.39517733
950.0, 0.39610338
960.0, 0.3970165
970.0, 0.39791697
980.0, 0.3988051
990.0, 0.39968115
1000.0, 0.40054536
1010.0, 0.40037963
1020.0, 0.40021423
1030.0, 0.40004912
