Energy (in eV), backscattering yield of material ITOC-TabulatedSEEE at isotropic incidence
   X,       Y
0.0, 0.0
10.0, 0.0
20.0, 0.0
30.0, 0.0
40.0, 0.0
50.0, 0.0
60.0, 0.11650132
70.0, 0.1526178
80.0, 0.17853288
90.0, 0.19904315
100.0, 0.21608053
110.0, 0.23066418
120.0, 0.24341042
130.0, 0.25472486
140.0, 0.26489022
150.0, 0.27411214
160.0, 0.28254533
170.0, 0.29030913
180.0, 0.29749763
190.0, 0.30418655
200.0, 0.31043744
210.0, 0.31630123
220.0, 0.3218206
230.0, 0.32703137
240.0, 0.33196428
250.0, 0.3366456
260.0, 0.3410981
270.0, 0.34534168
280.0, 0.34939367
290.0, 0.35326943
300.0, 0.3569825
310.0, 0.36054495
320.0, 0.3639677
330.0, 0.36726022
340.0, 0.37043136
350.0, 0.373489
360.0, 0.37644032
370.0, 0.3792917
380.0, 0.38204914
390.0, 0.3847181
400.0, 0.38730353
410.0, 0.38980994
420.0, 0.39224163
430.0, 0.39460236
440.0, 0.39689583
450.0, 0.39912534
460.0, 0.40129396
470.0, 0.40340462
480.0, 0.40545994
490.0, 0.40746248
500.0, 0.40941456
510.0, 0.41131827
520.0, 0.41317573
530.0, 0.414989
540.0, 0.41675967
550.0, 0.41848952
560.0, 0.42018017
570.0, 0.4218331
580.0, 0.42344984
590.0, 0.42503166
600.0, 0.4265798
610.0, 0.4280955
620.0, 0.42957994
630.0, 0.43103418
640.0, 0.43245924
650.0, 0.4338561
660.0, 0.43522578
670.0, 0.43656906
680.0, 0.43788677
690.0, 0.43917984
700.0, 0.44044894
710.0, 0.44169483
720.0, 0.4429182
730.0, 0.44411978
740.0, 0.4453002
750.0, 0.44646007
760.0, 0.44759983
770.0, 0.44872028
780.0, 0.44982177
790.0, 0.450905
800.0, 0.45197028
810.0, 0.45301828
820.0, 0.4540493
830.0, 0.45506388
840.0, 0.45606244
850.0, 0.45704535
860.0, 0.458013
870.0, 0.45896578
880.0, 0.45990413
890.0, 0.4608283
900.0, 0.46173868
910.0, 0.46263564
920.0, 0.46351948
930.0, 0.46439037
940.0, 0.46524882
950.0, 0.46609494
960.0, 0.46692914
970.0, 0.46775156
980.0, 0.4685627
990.0, 0.4693625
1000.0, 0.47015136
1010.0, 0.47000015
1020.0, 0.46984908
1030.0, 0.4696984
