Energy (in eV), SEEE yield of material ITOC-TabulatedSEEE at incidence 90.0 degree
   X,       Y
0.0, 0.0
10.0, 0.2416579
20.0, 0.47292867
30.0, 0.69567066
40.0, 0.91036487
50.0, 1.1172099
60.0, 1.3163061
70.0, 1.507715
80.0, 1.6914895
90.0, 1.8676833
100.0, 2.0363579
110.0, 2.1975873
120.0, 2.3514574
130.0, 2.4980676
140.0, 2.6375287
150.0, 2.7699654
160.0, 2.8955126
170.0, 3.0143147
180.0, 3.1265278
190.0, 3.232314
200.0, 3.3318439
210.0, 3.4252927
220.0, 3.5128431
230.0, 3.5946798
240.0, 3.6709912
250.0, 3.7419689
260.0, 3.807805
270.0, 3.8686926
280.0, 3.924825
290.0, 3.9763954
300.0, 4.023594
310.0, 4.06661
320.0, 4.1056314
330.0, 4.140842
340.0, 4.172422
350.0, 4.2005496
360.0, 4.225397
370.0, 4.2471347
380.0, 4.2659264
390.0, 4.281933
400.0, 4.295307
410.0, 4.3062024
420.0, 4.3147616
430.0, 4.3211255
440.0, 4.325428
450.0, 4.3278003
460.0, 4.328366
470.0, 4.3272433
480.0, 4.3245482
490.0, 4.3203883
500.0, 4.3148675
510.0, 4.3080854
520.0, 4.300136
530.0, 4.291109
540.0, 4.281089
550.0, 4.270157
560.0, 4.2583876
570.0, 4.245855
580.0, 4.232625
590.0, 4.2187634
600.0, 4.2043285
610.0, 4.189378
620.0, 4.173965
630.0, 4.1581383
640.0, 4.141946
650.0, 4.125429
660.0, 4.1086297
670.0, 4.0915866
680.0, 4.0743337
690.0, 4.056904
700.0, 4.039328
710.0, 4.021633
720.0, 4.0038457
730.0, 3.9859905
740.0, 3.968089
750.0, 3.9501612
760.0, 3.932227
770.0, 3.914302
780.0, 3.8964028
790.0, 3.8785439
800.0, 3.8607378
810.0, 3.8429964
820.0, 3.8253303
830.0, 3.8077493
840.0, 3.7902615
850.0, 3.772876
860.0, 3.755599
870.0, 3.7384367
880.0, 3.7213943
890.0, 3.7044766
900.0, 3.6876886
910.0, 3.6710331
920.0, 3.6545134
930.0, 3.6381316
940.0, 3.6218917
950.0, 3.6057937
960.0, 3.5898387
970.0, 3.5740294
980.0, 3.558366
990.0, 3.5428486
1000.0, 3.5274773
1010.0, 3.512253
1020.0, 3.4971747
1030.0, 3.4822426
1040.0, 3.4674554
