Energy (in eV), backscattering yield of material al2k-NASCAP at incidence 60.0 degree
   X,       Y
0.0, 0.0
10.0, 0.0
20.0, 0.0
30.0, 0.0
40.0, 0.0
50.0, 0.0
60.0, 0.119853064
70.0, 0.16275074
80.0, 0.19227263
90.0, 0.21492921
100.0, 0.23330136
110.0, 0.2487212
120.0, 0.2619771
130.0, 0.2735776
140.0, 0.2838708
150.0, 0.29310593
160.0, 0.30146754
170.0, 0.30909634
180.0, 0.31610176
190.0, 0.32257092
200.0, 0.32857397
210.0, 0.33416843
220.0, 0.33940193
230.0, 0.34431434
240.0, 0.3489394
250.0, 0.35330594
260.0, 0.35743862
270.0, 0.36135894
280.0, 0.36508548
290.0, 0.36863467
300.0, 0.37202084
310.0, 0.37525678
320.0, 0.37835386
330.0, 0.38132218
340.0, 0.38417083
350.0, 0.38690794
360.0, 0.38954097
370.0, 0.39207658
380.0, 0.39452082
390.0, 0.39687926
400.0, 0.39915696
410.0, 0.40135852
420.0, 0.40348825
430.0, 0.40555003
440.0, 0.40754747
450.0, 0.40948394
460.0, 0.4113625
470.0, 0.41318598
480.0, 0.41495717
490.0, 0.41667846
500.0, 0.41835216
510.0, 0.4199804
520.0, 0.4215653
530.0, 0.42310867
540.0, 0.42461228
550.0, 0.42607784
560.0, 0.42750692
570.0, 0.42890093
580.0, 0.4302613
590.0, 0.43158934
600.0, 0.43288624
610.0, 0.43415326
620.0, 0.4353914
630.0, 0.43660182
640.0, 0.4377854
650.0, 0.43894312
660.0, 0.4400759
670.0, 0.44118455
680.0, 0.44226992
690.0, 0.4433328
700.0, 0.44437388
710.0, 0.4453938
720.0, 0.44639334
730.0, 0.4473731
740.0, 0.44833368
750.0, 0.4492756
760.0, 0.4501995
770.0, 0.45110592
780.0, 0.4519953
790.0, 0.4528682
800.0, 0.45372507
810.0, 0.4545663
820.0, 0.45539236
830.0, 0.45620373
840.0, 0.4570007
850.0, 0.4577837
860.0, 0.45855314
870.0, 0.45930934
880.0, 0.4600526
890.0, 0.4607833
900.0, 0.46150175
910.0, 0.46220824
920.0, 0.4629031
930.0, 0.46358657
940.0, 0.46425894
950.0, 0.46492046
960.0, 0.46557146
970.0, 0.4662121
980.0, 0.46684268
990.0, 0.46746334
1000.0, 0.46807444
1010.0, 0.46789965
1020.0, 0.46772516
1030.0, 0.46755096
