Energy (in eV), SEEE yield of material al2k-NASCAP at incidence 0.0 degree
   X,       Y
0.0, 0.0
10.0, 0.08542934
20.0, 0.1651075
30.0, 0.23972157
40.0, 0.30956024
50.0, 0.37481788
60.0, 0.43565577
70.0, 0.49222344
80.0, 0.54466784
90.0, 0.59313744
100.0, 0.63778406
110.0, 0.67876303
120.0, 0.7162329
130.0, 0.7503547
140.0, 0.78129196
150.0, 0.8092081
160.0, 0.8342673
170.0, 0.8566323
180.0, 0.87646395
190.0, 0.89392054
200.0, 0.9091569
210.0, 0.9223238
220.0, 0.93356746
230.0, 0.9430289
240.0, 0.95084393
250.0, 0.957142
260.0, 0.96204734
270.0, 0.9656775
280.0, 0.9681439
290.0, 0.9695518
300.0, 0.97
310.0, 0.96958166
320.0, 0.9683832
330.0, 0.96648496
340.0, 0.9639627
350.0, 0.9608853
360.0, 0.95731694
370.0, 0.9533167
380.0, 0.9489389
390.0, 0.94423276
400.0, 0.93924344
410.0, 0.9340124
420.0, 0.9285765
430.0, 0.92296994
440.0, 0.91722274
450.0, 0.9113623
460.0, 0.905413
470.0, 0.89939696
480.0, 0.89333314
490.0, 0.88723916
500.0, 0.8811303
510.0, 0.87501955
520.0, 0.8689188
530.0, 0.8628383
540.0, 0.8567867
550.0, 0.85077214
560.0, 0.8448005
570.0, 0.83887774
580.0, 0.83300835
590.0, 0.8271964
600.0, 0.82144487
610.0, 0.81575674
620.0, 0.8101336
630.0, 0.80457735
640.0, 0.7990891
650.0, 0.79366964
660.0, 0.78831947
670.0, 0.78303903
680.0, 0.77782804
690.0, 0.7726864
700.0, 0.76761395
710.0, 0.76260996
720.0, 0.75767386
730.0, 0.752805
740.0, 0.7480025
750.0, 0.7432656
760.0, 0.7385933
770.0, 0.7339847
780.0, 0.72943866
790.0, 0.7249543
800.0, 0.7205307
810.0, 0.71616656
820.0, 0.71186095
830.0, 0.70761293
840.0, 0.7034213
850.0, 0.699285
860.0, 0.69520324
870.0, 0.69117486
880.0, 0.6871989
890.0, 0.68327427
900.0, 0.67940015
910.0, 0.67557555
920.0, 0.6717996
930.0, 0.6680712
940.0, 0.6643897
950.0, 0.660754
960.0, 0.6571634
970.0, 0.653617
980.0, 0.650114
990.0, 0.6466537
1000.0, 0.6432351
1010.0, 0.6398576
1020.0, 0.63652027
1030.0, 0.6332227
