Energy (in eV), SEEP yield of material al2k-NASCAP at incidence 90.0 degree
   X,       Y
0.0, 0.0
200.0, 1.7917534
400.0, 3.37563
600.0, 5.1633754
800.0, 7.148381
1000.0, 8.650649
1200.0, 10.924747
1400.0, 12.575868
1600.0, 14.272093
1800.0, 16.014471
2000.0, 17.803194
2200.0, 19.63796
2400.0, 21.518208
2600.0, 23.443207
2800.0, 25.41214
3000.0, 26.28148
3200.0, 28.299255
3400.0, 30.359592
3600.0, 32.461533
3800.0, 33.32253
4000.0, 35.47278
4200.0, 37.66284
4400.0, 39.891838
4600.0, 40.753628
4800.0, 43.028988
5000.0, 43.878895
5200.0, 46.20015
5400.0, 48.557655
5600.0, 49.40672
5800.0, 51.808548
6000.0, 54.245014
6200.0, 55.095
6400.0, 57.574192
6600.0, 58.41745
6800.0, 60.938614
7000.0, 61.776093
7200.0, 64.33845
7400.0, 65.170975
7600.0, 67.77372
7800.0, 70.40725
8000.0, 71.24428
8200.0, 73.91669
8400.0, 74.749916
8600.0, 77.460434
8800.0, 78.29034
9000.0, 81.038246
9200.0, 81.86521
9400.0, 84.64973
9600.0, 85.47411
9800.0, 88.29455
10000.0, 89.11664
10200.0, 91.97228
10400.0, 92.79232
10600.0, 93.602425
10800.0, 96.50072
11000.0, 97.309326
11200.0, 100.24135
11400.0, 101.04861
11600.0, 104.01371
11800.0, 104.819786
12000.0, 107.81735
12200.0, 108.62235
12400.0, 111.65175
12600.0, 112.455795
12800.0, 113.25141
13000.0, 116.3196
13200.0, 117.11456
13400.0, 120.21329
13600.0, 121.00766
13800.0, 124.136375
14000.0, 124.930176
14200.0, 125.71635
14400.0, 128.88167
14600.0, 129.66748
14800.0, 132.8616
15000.0, 133.64713
15200.0, 134.4254
15400.0, 137.65474
15600.0, 138.43289
15800.0, 141.68988
16000.0, 142.4679
16200.0, 145.75209
16400.0, 146.53
16600.0, 147.30121
16800.0, 150.61865
17000.0, 151.38988
17200.0, 152.1546
17400.0, 155.5047
17600.0, 156.26952
17800.0, 159.64519
18000.0, 160.41011
18200.0, 161.16884
18400.0, 164.57593
18600.0, 165.33484
18800.0, 168.76656
19000.0, 169.52562
19200.0, 170.27875
19400.0, 173.74077
19600.0, 174.4941
19800.0, 177.97986
20000.0, 178.73338
20200.0, 179.48123
20400.0, 182.99617
20600.0, 183.74426
